"name","date"
sguardia6,2019-05-16T17:44:25Z
sguardia6,2019-05-16T15:57:16Z
sguardia6,2019-05-16T11:38:28Z
sguardia6,2019-05-16T11:29:05Z
sguardia6,2019-04-10T11:23:03Z
sguardia6,2019-04-10T09:27:19Z
sguardia6,2019-04-10T09:24:20Z
sguardia6,2019-04-10T08:45:11Z
sguardia6,2019-04-10T08:24:50Z
sguardia6,2019-04-10T08:18:50Z
sguardia6,2019-04-10T08:16:57Z
j.gomez-pamo,2019-03-07T11:36:21Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:33:17Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:03:06Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:00:11Z
