"name","date","total","additions","deletions","sha"
"AlvaroLVillarroel","2021-05-28T19:49:30Z",383,383,0,"4aab94ce26e2d3c6ecca69b342db5bc52d70a240"
"AlvaroLVillarroel","2021-05-28T19:14:25Z",1,0,1,"e206085c34c2b1e89846c609d24f6d088948ec51"
"AlvaroLVillarroel","2021-05-28T19:12:48Z",1,1,0,"86857581f870ea549d03f8049e021df606f6d60a"
"JavierLerinAlonso","2021-05-28T18:46:12Z",1,0,1,"0c4c54d5b9dda00aa2c37ed7866494b38fa9a77b"
"JavierLerinAlonso","2021-05-28T18:45:55Z",0,0,0,"20d2e2be32ddf4ac9660c6ca01ecfc1a186c43bb"
"JavierLerinAlonso","2021-05-28T18:45:27Z",1,1,0,"f83e1d24a92c3067d729f9b5338269aba37c55bb"
"davidpintollorente","2021-05-28T18:35:53Z",117,117,0,"b90399851e4588bde40dc7d96b1aa069c6b86f41"
"davidpintollorente","2021-05-28T18:32:47Z",59,30,29,"084a00c0b52f60222a45bc1e294f9b6b5cd3522b"
"JavierLerinAlonso","2021-05-28T18:01:30Z",0,0,0,"10a3d0f4d636353aec89b3dd39f840c342641a9b"
"JavierLerinAlonso","2021-05-28T18:01:00Z",1,1,0,"0bef27b901feb7f723ba01048ef8db155754137c"
"JavierLerinAlonso","2021-05-28T18:00:15Z",1,0,1,"71f690164d2ad3d77c174fc4b6a3c77fc27aa0f7"
"JavierLerinAlonso","2021-05-28T18:00:03Z",1,1,0,"190ce9782df3e00cb1c625c178c3ad1c00f3b0fa"
"JavierLerinAlonso","2021-05-28T17:59:24Z",0,0,0,"01352aed9979cbb1bc05a1e6ecd745037db41561"
"JavierLerinAlonso","2021-05-28T17:58:59Z",0,0,0,"b7319d7ba8289e83e8066233cb012ff60705b856"
"JavierLerinAlonso","2021-05-28T17:58:47Z",0,0,0,"f770bfaa3000142add6a1ccabd8e01870c628067"
"JavierLerinAlonso","2021-05-28T17:58:27Z",0,0,0,"b0178c0aa57862732ceaffb406b56c5b8e3b4119"
"JavierLerinAlonso","2021-05-28T17:58:20Z",0,0,0,"66e495e6141c89022998297e79bc34902c43e244"
"JavierLerinAlonso","2021-05-28T17:58:13Z",0,0,0,"3559229d467526b9f3809354f691ed74b7217063"
"JavierLerinAlonso","2021-05-28T17:56:42Z",0,0,0,"123cff69a1aa1a9e26a8ad90ec5220a99574eb28"
"AlvaroLVillarroel","2021-05-28T16:33:34Z",65,50,15,"163c154e6ebda746f58b5d3d97e4274bf95842f2"
"davidpintollorente","2021-05-27T21:45:32Z",164,164,0,"57a9173fdbcde2bf96e02c61e74db0e7b37f7a74"
"davidpintollorente","2021-05-27T21:43:16Z",164,0,164,"71c57b0b7764e6c7105d43b94932c2dcac243467"
"davidpintollorente","2021-05-27T21:41:31Z",164,164,0,"c6e02f4743b8e41e187182f4e95c50fcb9dfd44b"
"tobiaskos","2021-05-26T17:19:27Z",100,100,0,"0c4e9018c3c6617658cd6481f0264cfa3a6c0872"
"AlvaroLVillarroel","2021-05-26T16:33:33Z",54,43,11,"63a67bfa7d8ee6e104c17b248ca68926cd79d253"
"JavierLerinAlonso","2021-05-26T15:09:08Z",43,43,0,"16a146f9433b6bf40afb2a2fd30b5e958f989c1c"
"JavierLerinAlonso","2021-05-26T15:08:32Z",126,126,0,"406dad797b875e6ca6d70f5d27788555933eb76f"
"JavierLerinAlonso","2021-05-26T15:07:14Z",139,139,0,"39156106ebeb8fa05ef91b79c9bd1247f60355fa"
"tobiaskos","2021-05-25T17:28:03Z",4,2,2,"d4ae53f32b3106dc29d656e56b14734b99f92511"
"AlvaroLVillarroel","2021-05-25T16:56:11Z",126,126,0,"dfa59bd5f7ef4d93dc93b939361e3073d7b607b7"
"AlvaroLVillarroel","2021-05-25T16:54:05Z",182,182,0,"13c063b34ff5cc6bc6fc25684adbc84b9fc6f853"
"davidpintollorente","2021-05-23T20:32:26Z",20,10,10,"05d188412b31f41b08e1969bc38b00c7a30eb69b"
"davidpintollorente","2021-05-23T20:26:38Z",13,6,7,"1f1316a11e41ee865f4b36058b71174f7738bf30"
"davidpintollorente","2021-05-23T20:25:24Z",25,17,8,"40a23e13112e2a11bff47e3668d79b9615c12cb9"
