"name","date","total","additions","deletions","sha"
"celia-t22","2021-05-28T21:32:55Z",0,0,0,"f36559ab5e2ec5be56d0de1244a6131e41980951"
"Amélie","2021-05-27T16:26:31Z",22,13,9,"c498bbf8fa2f5beadcea73db4582d486e4dbd276"
"Amélie","2021-05-27T15:18:38Z",9,4,5,"26801f4d9c3940672afa0036d9b63d7317872ea9"
"echedey-luis-alvarez","2021-05-25T15:31:10Z",612,612,0,"4841f1114c9963a071461eea9179fce50e376423"
"echedey-luis-alvarez","2021-05-24T18:22:21Z",2,1,1,"a84dbff9f519f1716fcb650e4fe8113c68ea1507"
"echedey-luis-alvarez","2021-05-24T18:09:31Z",21,13,8,"69c7e227abd1a4455b210eeb5a81792e07dc2b44"
"echedey-luis-alvarez","2021-05-24T17:57:10Z",4,4,0,"01171462ae5d6cfb852dd3eea4b27e7d5126f2a7"
"Amélie","2021-05-23T15:59:42Z",16,8,8,"e7650875f1b643584c71525c1540da864d5ecc2f"
"Amélie","2021-05-23T15:50:41Z",22,7,15,"667546565467bfeaa1df2515f1ea695a81b7c646"
"Amélie","2021-05-20T18:38:42Z",26,16,10,"eab26bba63161b43afafb839de6a595a31710bb7"
"echedey-luis-alvarez","2021-05-19T15:59:54Z",28,15,13,"6851bf7ffdf8a43c0c89750d94aa5fb1c4fe36eb"
"luc-39","2021-05-18T20:04:37Z",12,6,6,"f7fd18b3cf79c688c80c4c431f0f38ff289a868f"
"echedey-luis-alvarez","2021-05-18T19:01:09Z",38,11,27,"b7017adb45255a42a2dde362f5be870cad55976b"
"Fer014","2021-05-18T11:18:18Z",68,28,40,"0a9f520af914b7a945030ace88a3c79fcf05a431"
"echedey-luis-alvarez","2021-05-18T10:53:45Z",852,289,563,"e381749e7ece2fc44e6c248939258cbb98a52087"
"echedey-luis-alvarez","2021-05-18T09:24:56Z",2,1,1,"51723e3f2e472baba7d79ed13a9eb53a76c40168"
"luisrubio27","2021-05-17T22:47:29Z",504,504,0,"6ab19d034a07a90b0466de5ca529f146447298dc"
"Amélie","2021-05-17T14:17:58Z",453,0,453,"d91b0af38eef243702eca6a033bdd66936f9d3e2"
"Amélie","2021-05-15T18:21:48Z",6,2,4,"ff0b3743f19339e3ca965ac69ffba678cc322c0c"
"Fer014","2021-05-15T14:22:15Z",11,6,5,"ff1e90fcd3cca506fbaf131e66708317fcb10e8d"
"Amélie","2021-05-08T14:11:23Z",40,19,21,"99e3a0c3cbcac96e44fe1cc80b323257f4e94251"
"echedey-luis-alvarez","2021-05-08T11:36:05Z",456,456,0,"bf6a7292b80cb5be0d66b5d70910663297ee4628"
"Amélie","2021-05-08T08:20:16Z",19,14,5,"f05cee205e5e35e4b0c7a86c104f523769a793d7"
