"name","date","total","additions","deletions","sha"
"lucia-phermosa","2021-05-28T07:24:17Z",24,12,12,"c2c46ce4ce6e1d623ac6d3259ee734fa3a76e96d"
"lucia-phermosa","2021-05-27T21:55:46Z",41,21,20,"0a62e7ff58221a074ca20e8675582f7165724700"
"lucia-phermosa","2021-05-27T21:50:49Z",168,84,84,"6fe888d2c61d6a3f2b1cfa4f3d073f102c5a6d1f"
"Iris281","2021-05-27T21:44:19Z",2,1,1,"ab40d01a778d91ad320129cd2fc3063c3a6aab0e"
"lucia-phermosa","2021-05-27T21:24:28Z",2,1,1,"3917389249b465bfb03601ceb552816d003149d3"
"lucia-phermosa","2021-05-27T21:19:39Z",10,5,5,"78945917c8f64552471d853358fb9c5e937bac2d"
"lucia-phermosa","2021-05-27T21:10:16Z",2,1,1,"cc208c1a7bb73e033796a3bfda175d726711e21e"
"Iris281","2021-05-27T18:52:47Z",4,4,0,"f0f9395385929f99a50ce4bf2f5a537bd3614ee0"
"lucia-phermosa","2021-05-26T18:57:45Z",10,2,8,"294ed0e8c103e0481d4237f5af64ed3d871c19b4"
"Gabriel-Rpascual","2021-05-26T18:38:08Z",388,199,189,"4bdaa332015c3e0dd5c2af7abd125ef04a53fccf"
"eduardo-luque","2021-05-26T18:27:46Z",1,0,1,"25869831c9e3d5a915b9e4186eb043ff20c4b0ab"
"eduardo-luque","2021-05-26T18:27:02Z",1,1,0,"abb612ccf732d514f37611f98b5704855e7e2b6d"
"Gabriel-Rpascual","2021-05-26T18:24:26Z",2,2,0,"63a69db4330baaed0f6eb3c3eabb186870d7b19e"
"eduardo-luque","2021-05-26T18:21:16Z",6,4,2,"cbe0f5f8c66dbdfc04b17e17006e68d6243497c4"
"eduardo-luque","2021-05-26T18:02:29Z",1,0,1,"7882f01f22ec4ff7919128f28ff415bb9127d9b4"
"eduardo-luque","2021-05-26T17:59:36Z",2,1,1,"22aa83fc9443d6b3ba7cd07a2eb6aaf60600d913"
"eduardo-luque","2021-05-26T17:58:13Z",1,1,0,"83c2be3923d70c7697b5e57764484017f21ecf5e"
"eduardo-luque","2021-05-26T17:57:00Z",1,0,1,"5f9eed5f5675c915be35ca290e6ca5dc2e719f72"
"eduardo-luque","2021-05-26T17:53:45Z",12,10,2,"1bb5429f9b6e1adb7ad44a40424a2dab83dee55a"
"eduardo-luque","2021-05-26T17:50:01Z",3,3,0,"b89562ef1403dffc0fd8b797c852235614f71d48"
"eduardo-luque","2021-05-26T17:49:31Z",116,115,1,"97d38cfda436bc14e80bab6119e63166f864bde9"
"eduardo-luque","2021-05-26T17:44:04Z",39,39,0,"95c8ec46eee5a28c45701b06580eebcb94699304"
