"name","date","total","additions","deletions","sha"
"Fidalg02","2021-05-07T14:34:08Z",2,1,1,"b8e454fbc79cf77a8904de51e47035927f1f53ee"
"Fidalg02","2021-05-07T14:33:46Z",0,0,0,"d31a5da2bea1f8d7334d9e86914ff1e7aa0657e7"
"Fidalg02","2021-05-07T14:32:09Z",0,0,0,"dd818aeddea8cca0bdefbc102255e7af207eb7da"
"Pablo-crespo02","2021-05-06T15:46:08Z",1,1,0,"912296e81a636e8cef6f8a0095cc7dbeb1304aa3"
"Pablo-crespo02","2021-05-06T15:45:52Z",102,102,0,"75f353f33e8129fe4ac239189c670e4354435458"
"Pablo-crespo02","2021-05-06T15:45:36Z",108,0,108,"9ee9aed868b478925b20fcfa884c183422a3a03e"
"Pablo-crespo02","2021-05-06T15:43:56Z",1,0,1,"03733f8d19d33e8abffd722dd289f353d83ab899"
"Pablo-crespo02","2021-05-06T15:43:44Z",0,0,0,"55f81cdeda840f03d4dcd905c105ca7e94f4ec8f"
"Pablo-crespo02","2021-05-06T15:43:21Z",1,1,0,"92d29699d77cdb3b0a5e623acff7e7d40936f057"
"Pablo-crespo02","2021-05-06T15:42:43Z",1,0,1,"8d2c1a2b03e4b8088b28c70203dd7779736b70d2"
"Pablo-crespo02","2021-05-06T15:39:36Z",1,1,0,"fae4d366b22cd03507a9ee8fb541d6821662dd0c"
"Pablo-crespo02","2021-05-06T15:35:42Z",0,0,0,"9b35d2587f1278cb7745e705164bc872828558ef"
"Pablo-crespo02","2021-05-06T15:27:11Z",6,6,0,"71894f730c10af1994f537a7710a84b2d183efb0"
"Pablo-crespo02","2021-05-06T15:25:08Z",102,102,0,"2d6112976ff37ef129ef33cd6fd936f70e2ecfb5"
"Pablo-crespo02","2021-05-03T14:58:27Z",0,0,0,"d086e9c8cc7069ae14ef8c8db698c0133952bcfc"
"Fidalg02","2021-04-02T09:45:51Z",15,12,3,"f4949900478b5ea208e650b6ddb36e101a9b529e"
"Fidalg02","2021-03-31T15:16:18Z",2,1,1,"1c4c67b6b5948a428124e06ee2ec73a74b21a16c"
"Fidalg02","2021-03-31T15:13:58Z",112,23,89,"fab032dc0147ff432cda32170b2eb95c32192dd1"
"Fidalg02","2021-03-31T14:34:52Z",108,101,7,"1da6eb7cb7e355eb92a7ac8294e7062bda2a2777"
"Fidalg02","2021-03-31T14:29:44Z",6,3,3,"8dc96aeaa73a104ae51132331d2e7b9dde963230"
"github-classroom[bot]","2021-03-31T14:16:57Z",737,737,0,"960f5235879ee6ee8c3e762803e5746a573b3f11"
