"name","date","total","additions","deletions","sha"
"SergioGH-byte","2021-05-28T21:41:56Z",0,0,0,"c58053d312804c30287afe3e0c5e53d06cc70f4c"
"SergioGH-byte","2021-05-28T21:37:09Z",0,0,0,"ca7a3e20f37db693440abe9b424154f6c1d0bf30"
"SergioGH-byte","2021-05-28T21:28:26Z",250,250,0,"093d458510e9bf65d34e20de40b6ebcd144701c3"
"elenadiezdeantonio","2021-05-28T15:56:10Z",1037,1037,0,"be052f3e5d5ccc0cff5769bc53de7349900d924b"
"elenadiezdeantonio","2021-05-28T15:54:13Z",964,964,0,"fec7c488a6972a145803f5e5afe7656b43730a4a"
"andrianadovhanych","2021-05-28T15:53:45Z",1037,1037,0,"4d23aaa7d38b21432b02203adf3e1ece33d4b8d9"
"SergioGH-byte","2021-05-28T00:00:34Z",893,893,0,"1a5384f3530ec16dca98d3594dbd952e8eb74954"
"elenadiezdeantonio","2021-05-11T16:45:22Z",2,2,0,"40b66992000eecbdae2112bdcc88bc09aba1aabb"
"andrianadovhanych","2021-05-09T21:37:58Z",3,2,1,"14ce89ce39a2d165d04dc14bf2c72cbdd1c8c449"
"elenadiezdeantonio","2021-05-09T17:22:38Z",5,5,0,"f351d4b3a40a7dc43bf697c1f31df972b54b37c5"
"elenadiezdeantonio","2021-05-09T17:18:21Z",0,0,0,"f3cb1eb7c26065ee22a5f09a14ab839363691166"
"remigg","2021-05-06T08:01:27Z",3,3,0,"022307b6e8a7bd45dcd9af723ad68e3eab37fff0"
"SantiagoGarCubCarr","2021-05-06T07:57:36Z",1,0,1,"a3c612b1afe568f6046a37d63d00f6b2fa9bb3ef"
"SantiagoGarCubCarr","2021-04-25T13:40:06Z",9,4,5,"9c57d06a9b8bf18765f9aee0018f71e0611dcd7d"
"SantiagoGarCubCarr","2021-04-25T13:38:45Z",2,2,0,"2523837c5b6d77533fff4aadcc1b8a94019a6557"
"andrianadovhanych","2021-04-24T20:32:03Z",7,5,2,"98c726a72ae18132251f2476af05d317429b0614"
"SantiagoGarCubCarr","2021-04-24T13:53:08Z",4,3,1,"604e08d902100b2a11b7a2c64f03d80f087cfbbd"
"SaraAparicio22","2021-04-23T16:04:35Z",4,4,0,"b34f29ddd248610a1c1daaa288bc2551c858f4f7"
"andrianadovhanych","2021-04-20T09:43:35Z",2,1,1,"bd19199a3063b0dd45922be15d65af2a3ac0bd5d"
"andrianadovhanych","2021-04-20T09:43:16Z",2,1,1,"62a10106cbaee7b13c16caf1f5ebbf95e004c41a"
"andrianadovhanych","2021-04-20T09:42:57Z",3,3,0,"fa03566d93a24f7d34b6c4ce0dbee705072c04b1"
"andrianadovhanych","2021-04-16T15:00:28Z",8,2,6,"a13f39d529dcde416ecdc265ee76c7c25ec9013a"
"SergioGH-byte","2021-04-16T09:36:56Z",0,0,0,"a76a34a81760f09fd26c002dd14d25120417935d"
"andrianadovhanych","2021-04-16T06:37:18Z",4,4,0,"b3e6ba44f3dd4c24e8da95dd4f56c501d1c8d8fc"
"andrianadovhanych","2021-04-16T06:35:09Z",3,2,1,"e1ed143569c7e3e1fc3f60b8a91ef7246c99c05a"
"andrianadovhanych","2021-03-31T18:42:56Z",7,4,3,"629ccde03ba66de1eb3d40993615b823a5a910ca"
"andrianadovhanych","2021-03-31T18:41:58Z",1,1,0,"7d671fdb31c4b3f5eedbdf0dfb33c890bf02b0ff"
"andrianadovhanych","2021-03-31T18:41:08Z",1,1,0,"6aab972100a61496127fb0f885e494261bc41057"
"andrianadovhanych","2021-03-31T09:54:06Z",2,1,1,"a1abfc1f0939cc2e3b3437b7f5457fd03fc1c95b"
"elenadiezdeantonio","2021-03-30T19:41:35Z",0,0,0,"835c0c2889ac5c9d4c7b10a7b73c0ebe3f78bfe1"
"andrianadovhanych","2021-03-20T21:18:16Z",7,6,1,"233664085f3c8df32208aef871a705d4a417455a"
"andrianadovhanych","2021-03-20T09:59:20Z",9,4,5,"ea157f94c6b4b7bd4c4706eb4f69129b9b96b7a4"
"andrianadovhanych","2021-03-20T09:58:48Z",18,14,4,"6e53011a6f6f30e1401fba9b072f2aff0c234c21"
"andrianadovhanych","2021-03-20T09:58:03Z",14,7,7,"730d8d206821c69922076e55a6d1a6c5ba75e71a"
"andrianadovhanych","2021-03-20T09:56:53Z",10,5,5,"784750d38921e24820d93fda013e9c978af05a73"
"andrianadovhanych","2021-03-20T09:56:24Z",14,10,4,"64e36fda5205a224087a38dd3435a2d3c8ddab2e"
"github-classroom[bot]","2021-03-16T12:23:16Z",737,737,0,"273a81634bff0b7ca5aad3f98b78f67ff0855f53"
