"name","date","total","additions","deletions","sha"
"victorbarreralopez","2021-05-26T13:38:17Z",7,3,4,"b0fc3815045bb043ec1dffabe804251364431947"
"victorbarreralopez","2021-05-26T13:36:37Z",41,17,24,"cc2a35c26cb3ec08943adbc12aeef569ad1d9a56"
"victorbarreralopez","2021-05-26T10:03:01Z",29,14,15,"663a0595f14ff1a02fa0ead73ff9bf9df0594a58"
"jaime0010","2021-05-23T11:50:00Z",7,3,4,"b660bda89cd225b497a95300f33862425d7165de"
"jaime0010","2021-05-20T18:56:01Z",52,32,20,"464366533eaf4245b6d40aa11da9c57e7085146a"
"victorbarreralopez","2021-05-18T19:18:03Z",6,3,3,"5f482eb2e637c246443f49fd507268e95aa83af6"
"victorbarreralopez","2021-05-18T19:16:12Z",68,47,21,"952859942c755138b517c1afaeeab9d6f7b7e9ee"
"victorbarreralopez","2021-05-18T15:21:44Z",358,194,164,"1d9309b023037f79dae8165504ff89bde81a31d4"
"victorbarreralopez","2021-05-18T03:50:23Z",5,3,2,"20c70f8ce4a983d9e8f21bb40e9fb049f6f44d31"
"victorbarreralopez","2021-05-18T03:48:50Z",3,3,0,"5cc52f0c52dd4261b980a93af8457a5dbc1688c4"
"victorbarreralopez","2021-05-18T03:40:55Z",151,151,0,"384acd5ee89f516ba5d6d4888be80bbd1a29b5ca"
"victorbarreralopez","2021-05-18T03:40:03Z",0,0,0,"f2adc90e65ed9fc4f822ede0a95e40921a750411"
"victorbarreralopez","2021-05-18T03:37:54Z",619,457,162,"02b9ac7a251b53a1a9ed0cd793d0520fd7a3d9ea"
"jaime0010","2021-05-13T20:03:13Z",236,236,0,"9fe884d5e90ff10e1388fb3459bb01a5d7003e8d"
"victorbarreralopez","2021-05-07T18:00:01Z",6,4,2,"885031cb126356ad8775414dea398642a34ddbf6"
"victorbarreralopez","2021-05-07T17:51:54Z",232,135,97,"f1e7bfedb6b789c1cc3bb5d668a6abda3849aabb"
"victorbarreralopez","2021-05-07T02:39:59Z",9,5,4,"beab85faa69e11eb46a39fd09eb16e005ab5efb9"
"victorbarreralopez","2021-05-07T02:35:48Z",0,0,0,"c6603ec3ca44f82d022744ae806dffe6e363768f"
"victorbarreralopez","2021-05-07T02:35:19Z",44,44,0,"a4375d24e647f9a06b45d4da2b9b308e46204581"
"victorbarreralopez","2021-05-07T02:33:15Z",1,1,0,"66337685eaf6287f9af32150320eb1788df5cf45"
"victorbarreralopez","2021-05-07T02:31:34Z",2,1,1,"8c92f8dc1720d4b046f959ceb3bd1953cfca1aa9"
"victorbarreralopez","2021-05-07T02:31:13Z",2,1,1,"4d33b04672ae0d145d42bf3327d7998331cdd3df"
"victorbarreralopez","2021-05-07T02:30:38Z",2,1,1,"88a33b4a6dae709ae4b931e36cfdc4ebe91e0497"
"victorbarreralopez","2021-05-07T02:29:58Z",72,61,11,"dbe223e387b23c07e08d7ee0017b8cbdfaf6efab"
"jaime0010","2021-05-06T21:18:09Z",194,143,51,"f0db14c91a90dd3b0bcf571fc66748ab29c42cf1"
"AnaArroyo55130","2021-05-06T15:51:12Z",33,32,1,"50a7ce07dbe939ba9f5eff80a9ac3ef2bfb6ec1f"
"victorbarreralopez","2021-05-02T15:42:43Z",2,1,1,"79dd7464edb314160e4d72fa7025b2549214f989"
"victorbarreralopez","2021-05-02T15:41:50Z",38,38,0,"d6ec64c219382de5f83eaf19b8a6afac791be11b"
"victorbarreralopez","2021-04-15T19:44:14Z",10,5,5,"c806cf44e92a63418cecd8f49c4a50a3f3120379"
"victorbarreralopez","2021-04-15T19:39:51Z",45,24,21,"577346e930ab805ae42a909df6d8fec655e09920"
"jaime0010","2021-04-13T18:15:53Z",29,28,1,"228c5305d2597d3ea5ef87971b96b056083e1f82"
"jaime0010","2021-04-13T17:55:14Z",2,1,1,"d243d1bc342e68d1ac1207989063342ad97f74ef"
"jaime0010","2021-04-13T17:45:15Z",3,2,1,"32b55ffe7cecacaaab6f213e7285553d2b40b8ae"
"jaime0010","2021-04-13T17:42:18Z",1,1,0,"ddd001238ad03b7518a8c29cc7b7e0d628f7bdd6"
"victorbarreralopez","2021-04-01T02:26:06Z",2,1,1,"04f0fb68fe9deebaddc50880286f1ebfaafd9db4"
"victorbarreralopez","2021-04-01T02:24:36Z",10,5,5,"0f1f408859386fc924766ffe7e1807624045104f"
"jaime0010","2021-03-31T23:34:22Z",5,5,0,"451710329609f3e9931d44fbd4b0ac6f59073b36"
"Jorge-88","2021-03-31T22:53:13Z",2,1,1,"064f1ae4ba3632d3e3fcc250a632110b08db16d1"
"Jorge-88","2021-03-31T22:52:30Z",2,1,1,"9a08efd64691d840363cf41987afe60a12823dad"
"Jorge-88","2021-03-31T22:50:44Z",4,2,2,"85afb3827e3d478187804468d225645a588ca259"
"Jorge-88","2021-03-31T22:50:30Z",4,2,2,"28d0d758cb5789edbb1ff06eed0a6fc04d956f16"
"victorbarreralopez","2021-03-31T22:50:06Z",6,6,0,"4cf8e394afc8e4b63a0bbe25f71601bf8242f79b"
"Jorge-88","2021-03-31T22:48:46Z",4,3,1,"b345a8706e57fa3ee1d230e07958a8ff50b0da9b"
"Jorge-88","2021-03-31T22:48:19Z",2,2,0,"5ebde849546061dc34eec38283ef105d7c3eae33"
"Jorge-88","2021-03-31T22:13:29Z",2,2,0,"da22ce2cfb9ce3e44dad0f27555eb350b3d1f702"
"victorbarreralopez","2021-03-31T21:57:39Z",1,1,0,"8eae0fb3d0097faf1415584bf7bbe6cd04db8072"
"pedrogallardolozano","2021-03-15T23:24:31Z",1,1,0,"54f01c6857ed46d341b07a7433890365bc6c932b"
"victorbarreralopez","2021-03-15T19:40:00Z",2,0,2,"dbb4dd6deab182a7e85cf5f97c06a5d57afa83a5"
"victorbarreralopez","2021-03-15T19:38:38Z",9,9,0,"b2ce35810eb7fc0f5bc6ea3c35fe5b3f23e44dcf"
"victorbarreralopez","2021-03-15T19:17:15Z",1,1,0,"0adce69d855837b63f44e449c69431bae563f1bd"
"victorbarreralopez","2021-03-15T19:15:28Z",4,2,2,"2cc3204ab11d417bdbaa7459b57cf28717706d1b"
"AnaArroyo55130","2021-03-15T19:06:40Z",1,1,0,"eaae4280ebe3851315c03005f7e3b46b519b9a41"
"victorbarreralopez","2021-03-15T19:04:14Z",2,1,1,"29948d93a35902368d1c4d9f25de0b3258960ef8"
"victorbarreralopez","2021-03-15T19:03:52Z",3,2,1,"f61cb686883ce376f15048a30029ffe19a042468"
"Pedrooo8","2021-03-10T19:28:40Z",2,1,1,"2538a6d76c5a9b94cdf5d71cd32691b51b8ac6c9"
"jaime0010","2021-03-10T19:18:07Z",5,2,3,"117d0324ef2815c4a3bb4a150956a3688a4852b1"
"github-classroom[bot]","2021-03-10T19:11:18Z",737,737,0,"689e6bfa8a45d5765070f774ae01f1bf58a548e4"
