"name","date","total","additions","deletions","sha"
"mariogsc","2021-05-28T11:36:10Z",1008,1008,0,"0c5ca09373d2195ddd3366f84deea7bc70e79b3a"
"mariogsc","2021-05-28T11:35:09Z",1008,0,1008,"2eae56c64b1fef019f1f735cdc198bfff32bed7d"
"mariogsc","2021-05-28T11:34:53Z",1002,0,1002,"87c30f39b430bb7ce3fc9b50ca5689d1955aeeb0"
"mariogsc","2021-05-28T11:31:43Z",1008,1008,0,"c7d6b47033012919b203c128eb80560d7e5bae94"
"mariogsc","2021-05-28T11:14:13Z",1002,1002,0,"589cdac512dec323982d46284f228a8d163985cd"
"Raul-Granadero","2021-05-27T21:40:19Z",0,0,0,"8a35104dee887d527926765cec8fe3f89d44269b"
"Raul-Granadero","2021-05-27T21:21:21Z",0,0,0,"a3e8ff9919f4d1f2c4939e45c8cea0a023d65f66"
"Raul-Granadero","2021-04-20T18:41:36Z",0,0,0,"1b735bfdf2c91e20f3c031bef6a19d6440c66b2d"
"Raul-Granadero","2021-03-31T18:55:34Z",0,0,0,"b80cd488f99506a3943e10861637fdb3db7af07c"
"Raul-Granadero","2021-03-09T19:53:27Z",12,8,4,"7fd7bf790e02bc8e06a05c01f218c79239d24792"
"github-classroom[bot]","2021-03-09T19:37:21Z",737,737,0,"704ab8400e396ebafa800ea1f8e2b0a7b250b072"
