"name","date","total","additions","deletions","sha"
"loarte","2021-05-25T11:03:06Z",0,0,0,"b430cb722caa644515588d109a78cf17a252a721"
"loarte","2021-05-25T10:42:33Z",0,0,0,"ae27d842a17a7a8437b4f7a4d61719f4488b08a7"
"loarte","2021-05-25T10:42:16Z",0,0,0,"ad9940b6559f83bb0794bcccde8f0c13612cf544"
"loarte","2021-05-25T10:27:00Z",9,4,5,"2c2d4306341b55c21c7020f7d71d27edf3f4b172"
"loarte","2021-03-30T17:25:48Z",0,0,0,"96ff468dd81dbf1442358379d7cd5fb99cdc08e9"
"loarte","2021-03-30T17:25:32Z",0,0,0,"b001c46ffc2e912b7089688234c09dafb08e2ffa"
"loarte","2021-03-30T17:24:47Z",0,0,0,"15f543024125ea6ce6021669adc26bbed3873a25"
"nataliaaaajm","2021-03-30T16:26:56Z",2,1,1,"1bd696cf417947a50b0c1e872833271ef51500f5"
"nataliaaaajm","2021-03-30T16:24:39Z",2,1,1,"c8ad49b328d87ba3353e70002513d89bb4d76cb1"
"nataliaaaajm","2021-03-30T16:24:23Z",3,3,0,"f730998886bbb62cf227d498494ae3c88e3559fb"
"nataliaaaajm","2021-03-30T16:23:46Z",3,2,1,"d50cdce1b1efb1b7d9a10b76e9cabb6c5cb3fc13"
"nataliaaaajm","2021-03-30T16:19:11Z",1,0,1,"78fe82266b672099d76e2ed4b64866f7207a2653"
"loarte","2021-03-30T16:17:35Z",2,1,1,"c92ac47b60405e4dd24ca09af78af85c1fa0fc58"
"loarte","2021-03-30T16:15:35Z",2,1,1,"5c1df3b6861f3b12aaec1f7cc190ccd3ccba50ca"
"mariacdl","2021-03-15T23:00:17Z",1,1,0,"722c5efb1d71d5d911d05bb2a34572a23bcc5d0c"
"nataliaaaajm","2021-03-15T18:30:30Z",1,1,0,"87fd3449563d35626a8ff6d7342c1fe27defa5c8"
"marcossssss","2021-03-15T18:16:55Z",2,1,1,"82771fb93ed12f5a5294dab05c5bdc399ad3e76e"
"loarte","2021-03-15T18:15:07Z",5,3,2,"ca9111ba23852d11290255d0083a763ba75192d4"
"github-classroom[bot]","2021-03-15T18:11:55Z",737,737,0,"5bf5666f73f7660c1e4adab60608ab2bdca2d942"
