"name","date","total","additions","deletions","sha"
"PabloGarciadeLucas","2021-05-28T17:25:39Z",20,6,14,"9f239aea3ba5e3267aab2e07ec3d6c3918c3f4c8"
"PabloGarciadeLucas","2021-05-28T17:19:26Z",2,1,1,"390574860c71dd9d85f28151229a87ba8a5162e3"
"PabloGarciadeLucas","2021-05-28T17:17:33Z",12,8,4,"6c5e6abbbc91de8914bfddbb98d3571484e56f88"
"PabloGarciadeLucas","2021-05-28T17:08:43Z",2,1,1,"51a10cd4350fd22a61e6fbe7261b36d4a707cf14"
"PabloGarciadeLucas","2021-05-28T17:05:59Z",53,23,30,"ec75cd70f59a1d4d78da73e3ca111b58b751f0c2"
"SergioCantalejoVillasante","2021-05-28T17:01:55Z",252,103,149,"b33f116d07013f79141671cfde1c2af2f43a0b91"
"PabloGarciadeLucas","2021-05-28T15:49:46Z",3,1,2,"b384839dbfea56b2d112ad4b54b79ac09b2af29d"
"PabloGarciadeLucas","2021-05-28T15:48:33Z",730,0,730,"d0c5796f1ffbe346955dec54460792c1a1dce9cd"
"PabloGarciadeLucas","2021-05-28T15:29:24Z",251,0,251,"50faf8515ee2116303100d75d8c2bd2cef355bf1"
"PabloGarciadeLucas","2021-05-28T15:25:17Z",12,6,6,"614658a071863b8bc79345ed0697b8570d530e14"
"PabloGarciadeLucas","2021-05-28T15:23:09Z",799,799,0,"9f401617467bb276b9e0ae94891d9cce83feb035"
"PabloGarciadeLucas","2021-05-28T15:21:08Z",744,0,744,"7a58f3b451c39a281b5b8a0a60c881c260c64408"
"PabloGarciadeLucas","2021-05-20T12:06:37Z",0,0,0,"51185e015a24744aa19d3e1b501d9ffaed820915"
"PabloGarciadeLucas","2021-05-20T12:05:38Z",0,0,0,"b94121aaf819b5218074217dcadcffd914e8f05f"
"PabloGarciadeLucas","2021-05-20T12:05:19Z",0,0,0,"ed1525597a199cae262de476a154dcdf6ff47fb7"
"PabloGarciadeLucas","2021-05-20T12:02:06Z",0,0,0,"51c2d65eb3f0c2a8c87a8cb1159d0bb98006a271"
"PabloGarciadeLucas","2021-05-20T12:00:48Z",0,0,0,"0760e8890a310384f4fe06ca48c9fd97e6be850f"
"PabloGarciadeLucas","2021-05-20T08:50:01Z",977,977,0,"8b7e1ac13ad55eef870962aefcf10257a6b9c27e"
"PabloGarciadeLucas","2021-05-07T21:57:22Z",2,1,1,"35f9f022b39f420dd7fb41bb37cfa8e582182375"
"PabloGarciadeLucas","2021-05-07T21:56:24Z",2,1,1,"ceb5362531dcc67de05de8ff8c3e8315ed6bf307"
"PabloGarciadeLucas","2021-05-07T21:55:01Z",2,1,1,"f55dc65810961fe082e5b3a06c5bace4da33f66e"
"PabloGarciadeLucas","2021-05-07T21:53:40Z",319,308,11,"1db8e2954078d8ed7eb3c479af320730cb81752b"
"PabloGarciadeLucas","2021-05-06T19:05:09Z",34,34,0,"b43fc542d474610853ef88551811858a9774f0d3"
"SergioCantalejoVillasante","2021-05-06T19:02:44Z",121,121,0,"590e046af62c5b1516b767246b0829a82341b071"
"javieralonso1","2021-05-06T19:00:46Z",73,72,1,"e6f636d8f87d70cdfd0926e8e982f94f917a7ef7"
"AlbertoCL22","2021-05-06T18:59:45Z",367,367,0,"cc2b8612c88031440ef5c5f942e426ceb664c8ee"
"javieralonso1","2021-05-06T18:55:38Z",296,0,296,"2d45c4e2871ad47410453cef39a7f123c242c708"
"AlbertoCL22","2021-05-06T18:54:22Z",67,0,67,"5f25b15352446612cd7c7471b115b2736a02123e"
"SergioCantalejoVillasante","2021-05-06T18:50:32Z",1,0,1,"3b8ecf4dfc7b6d3d448c332e1ff9ec1e6e1f7005"
"AlbertoCL22","2021-05-06T18:39:57Z",367,367,0,"f5d91515d8b02ef21765353042635e034133ca80"
"SergioCantalejoVillasante","2021-04-14T15:28:39Z",5,5,0,"254635ab6957a45a9ee4d0198b295df7499aeb65"
"SergioCantalejoVillasante","2021-04-10T11:51:55Z",52,52,0,"bb0588098cb8b2e7634d3bdce7b311cb382df072"
"javieralonso1","2021-03-29T17:10:10Z",2,1,1,"7c4cef20c461a3828ccc081fc700b4ecbd13e4e0"
"javieralonso1","2021-03-29T17:07:48Z",69,67,2,"8a2cf690d6ca67c41e0d87f7b5193746c2a46a53"
"javieralonso1","2021-03-29T16:27:10Z",2,1,1,"ab9f7e13e9ec855661dc6ae19821e90ea7dcc085"
"javieralonso1","2021-03-29T16:23:34Z",16,8,8,"822ff237ae669e0707941c1b7e780103a7211d15"
"javieralonso1","2021-03-29T16:20:21Z",7,4,3,"20407ecc1896569c44c3f4d62cd897bcc1c626e2"
"javieralonso1","2021-03-29T16:14:20Z",4,3,1,"3ba0b5d43fbcaf82cb4c5ebfd8ed78ad5fa9ef98"
"javieralonso1","2021-03-29T16:12:51Z",13,11,2,"4968a63b6aaec67c7c0771249cc9a764f10a27f1"
"javieralonso1","2021-03-29T15:48:41Z",8,4,4,"ca180d12284f29d0ab05facd54a673cf657d3bd8"
"javieralonso1","2021-03-29T15:48:17Z",8,4,4,"6ba7bab14c754b27d0887642e32fea348c38e52e"
"javieralonso1","2021-03-29T15:45:34Z",8,4,4,"96975e5738e1acc4f8aba0f74bbc75228433224b"
"javieralonso1","2021-03-29T15:38:08Z",13,7,6,"6b9d539a9974bbe7c28cb28a324a820abcd2aa05"
"javieralonso1","2021-03-29T15:29:00Z",6,1,5,"349e391c504a8decd77ffc1ae24d827444ddd858"
"javieralonso1","2021-03-29T15:28:17Z",12,6,6,"867954beb741e8fa74891a62a41274768c488627"
"javieralonso1","2021-03-29T15:27:34Z",8,7,1,"b71b8fc1a3f1733e65e0cec09967745c97ebe822"
"javieralonso1","2021-03-29T15:18:59Z",11,6,5,"279b5c34d910b4f08f33fd51ba50b78459f69d2b"
"javieralonso1","2021-03-29T13:01:24Z",5,3,2,"f67cbe6fcf25c693300ae8ddfe8a2776f97760e7"
"javieralonso1","2021-03-29T13:00:40Z",2,1,1,"71d348691173e4c3f08514288040bc8fdef5fc3d"
"javieralonso1","2021-03-29T13:00:14Z",2,1,1,"19a6783db211e15a9c095250fcf747b22255cb44"
"javieralonso1","2021-03-29T12:59:56Z",2,1,1,"a265a70a5273393fae45b729ae570de4fe136a49"
"javieralonso1","2021-03-29T12:58:50Z",4,2,2,"03c39cc6c9aeba2a021656d10d70886cff788ebb"
"javieralonso1","2021-03-29T12:54:53Z",8,4,4,"dc4a6ad61477c28072d27bda5e05c51686348311"
"javieralonso1","2021-03-29T12:49:49Z",2,1,1,"70d09bb75abf769e23c82d4887ee0b816c7676f1"
"javieralonso1","2021-03-29T12:49:00Z",6,0,6,"63875107a0055a69d49c651ccdb88e2ccc4a3bb4"
"javieralonso1","2021-03-29T12:48:17Z",8,4,4,"2995de07e019e2656dadae18dafe6db4662d4a14"
"javieralonso1","2021-03-29T12:46:37Z",39,39,0,"03897a5a9683ba1f5b1e5318f00d1729d892a5dc"
"SergioCantalejoVillasante","2021-03-29T11:56:34Z",5,2,3,"c5fc65058630b40241c28b30032709bbcf69ed87"
"javieralonso1","2021-03-29T11:53:56Z",3,2,1,"fbb9a3975504f4fe2793d2a3b4ec3fc1ea6599bb"
"PabloGarciadeLucas","2021-03-29T11:52:24Z",2,1,1,"600af592633747c26aef852f4c70a1d7a46f2018"
"PabloGarciadeLucas","2021-03-29T11:52:05Z",2,1,1,"a35bc179a8b8799f942abc8ce75f68b29295030b"
"javieralonso1","2021-03-29T11:48:07Z",2,1,1,"48a5e5724d3ab969128306f006cce2a2e48abce0"
"SergioCantalejoVillasante","2021-03-29T11:46:49Z",3,1,2,"9992bb17d9d3f40343504b06bee2cce0aa7378a3"
"SergioCantalejoVillasante","2021-03-29T11:39:02Z",3,2,1,"d251ca54160c3c21baf1e46c18b05b90d4001663"
"AlbertoCL22","2021-03-29T10:46:33Z",4,2,2,"b30df5d3b773fcdda00fa73eebe488d3a2ef5f60"
"SergioCantalejoVillasante","2021-03-29T10:43:15Z",2,1,1,"761a7ebcbc0522312e3948ae846fd8a4f81d043d"
"AlbertoCL22","2021-03-29T10:40:23Z",2,1,1,"f2d45430d424853f876a44a76285020c04b56d79"
"SergioCantalejoVillasante","2021-03-29T10:38:56Z",11,5,6,"950e5c0099209f2da069ea2a940e1f1d15df3052"
"AlbertoCL22","2021-03-29T10:32:56Z",2,1,1,"5b4bddc0ec35b28bbb6d46b8aef1ca7ae32619e3"
"SergioCantalejoVillasante","2021-03-19T11:58:28Z",9,9,0,"9a2cc48c7d6f876a9f5120a703f263b874202ae8"
"github-classroom[bot]","2021-03-19T11:46:29Z",737,737,0,"fd566b949b20660ac132d4e1caa6215fdb25623f"
