"name","date","total","additions","deletions","sha"
"jhuirse","2021-05-28T21:01:27Z",5,3,2,"68deff66aff4b7dbe799e6835d67011f9bc58645"
"jhuirse","2021-05-28T21:00:04Z",10,5,5,"c02401805724e37efb4705e6253134f651516129"
"jhuirse","2021-05-28T20:51:34Z",46,28,18,"20fb557f2fd6d28e2782885c79830a47f40dc2ee"
"antoniogmontes","2021-05-20T12:39:40Z",2,1,1,"4614485c41314dcaf03241a73913496bc52d6971"
"antoniogmontes","2021-05-20T12:39:06Z",8,4,4,"59f2891803f4570577ea389c18715947f3c600e5"
"antoniogmontes","2021-05-20T12:38:04Z",71,46,25,"782fc62da6c98c94dc1a398c9523b68dc2fa94ae"
"Sergio Rodríguez Sanz","2021-05-20T11:39:00Z",6,3,3,"a84b8d21726ff771285976ca4127f51663afd2a9"
"Sergio Rodríguez Sanz","2021-05-20T11:38:06Z",9,6,3,"ddd7aeede1421c82252aa2af8068138f7594481a"
"Sergio Rodríguez Sanz","2021-05-20T11:37:02Z",5,5,0,"2b9d1b2bc758072c8609c826298cdfa5d1059da4"
"Sergio Rodríguez Sanz","2021-05-20T11:18:35Z",4,4,0,"b1930c4566c5bad7cfb1b7680e7bdb85537e7b93"
"Sergio Rodríguez Sanz","2021-05-06T18:50:47Z",658,658,0,"cef2a6ac296b68251cf4a0d0cce006f5824b03d3"
"jhuirse","2021-05-06T17:17:01Z",48,48,0,"a140f9c4a67f45eba6945b340f6066877e2ee67c"
"jhuirse","2021-05-04T12:26:11Z",14,7,7,"e8a89f4259d89cba1602bb953cd23713c1be94a1"
"jhuirse","2021-05-03T10:38:20Z",41,20,21,"0b878beceb4afd112147bc3981cdfd4d397d258d"
"j-riveiro","2021-05-01T14:17:57Z",46,46,0,"c64773b570921f7b134497833b308c58bfda9f89"
"j-riveiro","2021-05-01T13:09:42Z",2,1,1,"de647736a5d6f3379597309ad5e7b5d5a2a520a6"
"j-gasco","2021-04-15T21:43:01Z",4,2,2,"15ab2456e99b7c5f83e17836bdf66c2838f76510"
"j-gasco","2021-04-15T21:41:12Z",4,2,2,"e451f7f047b090e00c7dbc82da6e37bd3e53623e"
"j-gasco","2021-04-15T21:39:34Z",4,4,0,"ed24bd056570c1c310b11ba5bde37d5850ac799d"
"antoniogmontes","2021-04-13T17:28:07Z",10,8,2,"2b01aa87efa52025c212836bb26ccb80c999053b"
"Sergio Rodríguez Sanz","2021-04-13T16:52:01Z",11,11,0,"f65f8431135a408cb12244e20a42540e4d110a7b"
"j-riveiro","2021-03-28T20:21:25Z",14,9,5,"71837788503325c963a0d36c5a9a855566653ae1"
"github-classroom[bot]","2021-03-18T15:03:01Z",737,737,0,"f914976f9f24f0b02d5cb0a92edb9d91d0193e7d"
