"name","date","total","additions","deletions","sha"
"amayore","2021-05-28T21:47:57Z",5,4,1,"28241400f0f7dba0235cea25c75b8304c0df9aae"
"gemass","2021-05-28T19:58:45Z",69,33,36,"0e6ecd3ff1f0e0c10bb458d0ea9ef72a54474a38"
"gemass","2021-05-28T19:57:30Z",28,16,12,"815ac5909f4632c0812d2215d45b4840177d8b35"
"gemass","2021-05-28T17:08:47Z",195,195,0,"7f5d05b0e9c27b702378f6713701fda91ae0d84a"
"gemass","2021-05-28T17:06:21Z",261,261,0,"98057f2356ad99ef3cf7a28b8c96460cfde8d36c"
"gemass","2021-05-23T18:56:22Z",7,4,3,"e83b978b1014efdd91cea08557a48f6273a6bf3c"
"gemass","2021-05-23T18:50:02Z",2,1,1,"6dcf0ac0db13b8b00c9c7ae47ce22717ec48e409"
"roberto53444-lang","2021-05-12T20:27:31Z",138,138,0,"9a3518ac4aeb71b71b5ebaa28d556da287a96003"
"gemass","2021-05-12T20:03:18Z",0,0,0,"534e3974fc73b9bd58ec7cae4cf1d15a9051ea66"
"gemass","2021-05-12T20:03:02Z",0,0,0,"c63d1ca4661869d06330874ddff47b2d04cf7a39"
"gemass","2021-05-12T20:01:24Z",0,0,0,"1c7e21c2786e7c34f42ecccec23347add814b16a"
"gemass","2021-05-12T19:59:22Z",0,0,0,"8e3fd123c1e0a62e2867ed503a9aec3b55692c42"
"Raquel Roca Pereira","2021-05-07T16:16:10Z",8,4,4,"f73aa4552bcdb64a17bca07067aef0c0d2c8e370"
"Raquel Roca Pereira","2021-05-07T16:14:17Z",309,172,137,"103c17d8c32ee1883d29d4a56ab229a271e4c38f"
"amayore","2021-05-06T21:25:21Z",138,138,0,"52f6b95f240f5c9f6c4ff70966d7a29f04cffb40"
"gemass","2021-05-04T17:50:33Z",81,81,0,"79ceb2ebb504687de74906a964f8a7f0c3b90183"
"gemass","2021-04-24T18:30:54Z",2,1,1,"264dfe041b8328e705fc1b9ec8e2b798a5b0a025"
"roberto53444-lang","2021-04-16T06:22:35Z",0,0,0,"16d08f778016f1bf4cb5d147d966bec3a5eb41e6"
"roberto53444-lang","2021-04-04T21:48:23Z",0,0,0,"cf45a4d640ccfa060ce47456ed4b2189b37293a1"
"Raquel Roca Pereira","2021-03-31T22:47:53Z",4,1,3,"035ed89f98383dd2ffa25379da1779adf73fcba3"
"Raquel Roca Pereira","2021-03-31T22:47:03Z",4,4,0,"f7b1b2027f358db87a106f84af181ab2084c3e6c"
"inesrico","2021-03-31T21:45:18Z",0,0,0,"e7e58643e7962f220fba69aa21df965c16d62222"
"amayore","2021-03-31T21:27:26Z",0,0,0,"ef885613c0bc63423303844c84723dffc09faeaf"
"inesrico","2021-03-31T21:23:28Z",4,4,0,"20ec26e2a37f02a45516cd3a45a3845baa0960bf"
"gema-upm","2021-03-31T21:14:52Z",23,18,5,"6be6bde089e2d3d5e6cd2a47d30090004fe636a2"
"gema-upm","2021-03-31T14:29:32Z",10,5,5,"fcd071e98b39e448ce954c173760f5e21d3ca455"
"gema-upm","2021-03-31T14:28:59Z",12,6,6,"d2aebf2f48839d1b11c20896fa22d5891d0f7cf2"
"gema-upm","2021-03-31T14:25:42Z",12,10,2,"b7b4fe69b3e115c028fe8b934a9c38ea6454fb2c"
"amayore","2021-03-14T18:41:18Z",6,5,1,"a13f6b4b6bc14207d93948a0257644596d3c31ab"
"amayore","2021-03-10T18:35:16Z",9,5,4,"84ea74e4c57c7781166ed5351ae90b0b7ac5d5bb"
"amayore","2021-03-10T09:59:50Z",6,3,3,"5e8032aa8dc51b208720724b370c658babf4a632"
"github-classroom[bot]","2021-03-09T20:07:22Z",737,737,0,"90f9fe26259a03566c767a4fb7ea463d7ab72268"
