"name","date","total","additions","deletions","sha"
"Alberto Valcárcel González","2021-05-29T07:39:18Z",6,5,1,"b313a117504ef506ae993f0fcff1f0af8362239c"
"Alberto Valcárcel González","2021-05-28T20:39:55Z",874,438,436,"4aca29abe175469d23ed894a5d4957bd2c265ce1"
"JA1Me23","2021-05-28T13:30:56Z",220,167,53,"7dfe691d3619d286ddbccbb40ced0810b4c7ac0d"
"ASB02","2021-05-28T12:42:50Z",165,165,0,"cde3a7a97e5f6c6fe49b34f627026c1f728f7cf0"
"ASB02","2021-05-28T12:41:50Z",187,187,0,"bee8a55ddae280e419d2d5d1ef4d4e474e710977"
"ASB02","2021-05-28T12:40:55Z",46,46,0,"0b2fe013f1881ed7d3b23e64e99a60f725062e03"
"Alberto Valcárcel González","2021-05-28T07:28:09Z",10,5,5,"74893493ccb46fb8c389a159376c839b41a5a7a3"
"jqviy","2021-05-27T21:03:49Z",2,1,1,"a610751f3da157b68982a7e5dd0124ab38acab7f"
"Alberto Valcárcel González","2021-05-27T20:54:22Z",2,1,1,"96da3adc7307f6b5492280e0c203336c55b8a779"
"Alberto Valcárcel González","2021-05-27T20:51:58Z",730,730,0,"9e19ca43bac29c6e5c8fb98ae063de66fd7ce4be"
"pablovanden","2021-05-27T20:25:17Z",1,1,0,"056d03226e53177b4c9ffbded89c54dbb3b2442b"
"Alberto Valcárcel González","2021-05-27T20:21:46Z",1,1,0,"cee99accea00a8246c33566689a86b8fdaac9405"
"Alberto Valcárcel González","2021-05-27T20:17:31Z",2,1,1,"058dc7f0fb2efda5e3cfc1f56773658dc0089a63"
"pablovanden","2021-05-27T20:01:03Z",4,2,2,"15ff405a9e70a1ae9c686ee552a8916e5bdd88c8"
"pablovanden","2021-05-27T19:57:21Z",172,87,85,"a0365de39fdaf1d4061479c38b7dcb312c419f05"
"pablovanden","2021-05-27T18:37:41Z",152,117,35,"b7528ce0bafa7d2c11dde67d69bdfc636b750408"
"Alberto Valcárcel González","2021-05-27T18:30:07Z",376,223,153,"88eb105460b1666d92d96941944dbeaa9de2576c"
"jqviy","2021-05-27T15:06:54Z",37,26,11,"4c402d4ec7de8c8a7af75d538b4d2d73f46556ba"
"pablovanden","2021-05-27T12:31:40Z",562,491,71,"2a5f5a109d251d727f620712b6d1a42f5db02974"
"Alberto Valcárcel González","2021-05-26T15:11:04Z",108,108,0,"7c95472572678082b47cdc24721bde0c069c4c19"
"Alberto Valcárcel González","2021-05-15T07:40:15Z",1,0,1,"412d6a26f3023fefa83b0a57d699ed76d8fb85ad"
"Alberto Valcárcel González","2021-05-15T07:40:05Z",88,0,88,"da337ff365d8bcb33d03a548d86169cf2ea14234"
"Alberto Valcárcel González","2021-05-14T09:33:54Z",34,0,34,"4ea2af2935e781330efdac6508771c91fea7d19b"
"Alberto Valcárcel González","2021-05-06T16:52:42Z",0,0,0,"98852d4bf190bbd40643ad66c0b306bb688d7609"
"Alberto Valcárcel González","2021-05-06T16:52:21Z",0,0,0,"d45842f712b74c6d7a13a0634bf8840607c658a1"
"Alberto Valcárcel González","2021-05-06T16:44:24Z",1,1,0,"209e7f5525c028646c7247caf55750a216c0e09a"
"Alberto Valcárcel González","2021-05-06T16:40:41Z",2,2,0,"d110b257bd853bf225712be3fb92954e74a70079"
"Alberto Valcárcel González","2021-05-06T16:40:17Z",2,2,0,"a9f1b67b52ac728f83c91a745474f638f45d81f0"
"Alberto Valcárcel González","2021-05-06T08:51:19Z",85,85,0,"54d657003f3d0a521f62d0894ae2e7bcbd02403b"
