"name","date","total","additions","deletions","sha"
"David2Santos","2021-05-27T20:37:11Z",1,0,1,"42e634bb891af11f96c295b1bbadcbe3151dde78"
"David2Santos","2021-05-27T20:36:32Z",43,0,43,"18f2eca4fb7c9fd48c6161882785133b9843a8a8"
"David2Santos","2021-05-27T20:28:49Z",8,4,4,"56c3d74255f91bba450c5ced4e994dee3680b49a"
"David2Santos","2021-05-27T20:27:56Z",42,42,0,"3e6dbe4deefd1e4a09f1ee1d4879373b2eb0ab09"
"raquelclementebastante","2021-05-27T20:18:10Z",183,116,67,"214404b6e4343a06646794fa21860669b4501ab0"
"AlvaroChS","2021-05-12T14:35:10Z",18,16,2,"6ac13efa70dd9ce1b8249e523f99a0bcaf79a173"
"danieldelacruzredondo","2021-05-10T13:20:19Z",5,5,0,"9ff80f432d16cd51511dabd2e8fa9079894202db"
"danieldelacruzredondo","2021-05-10T13:11:26Z",7,7,0,"61e60882ffc64036cad6893c32d2ac2ea34ee776"
"raquelclementebastante","2021-05-09T17:58:32Z",32,32,0,"3e6a82ea4e2c302a3f3125021cf5802e7f857bd6"
"David2Santos","2021-05-09T15:50:31Z",76,28,48,"8fff633fbb1a86442fc07a53db32061d99c5cf83"
"David2Santos","2021-05-09T15:47:19Z",48,48,0,"0f91409b9b7525fdc8ff6b6c757156a6ff08db00"
"David2Santos","2021-05-09T15:46:35Z",25,0,25,"084aa85152857102782291426075f92ba630a9e8"
"David2Santos","2021-05-09T15:46:21Z",25,25,0,"b358a64a0fd9f92e8c5a949266ebe7cb57a2dc90"
"David2Santos","2021-05-09T15:45:56Z",118,0,118,"124c9db12b3730ded3707b69663cc53e01e86431"
"David2Santos","2021-05-09T15:45:32Z",118,118,0,"7e542f2eac1f6921383c3d9a0de7e6b50a6ea188"
"raquelclementebastante","2021-04-25T18:01:32Z",0,0,0,"d3a6bfa19f5d1fd4da109867a1c7ba6797ef5b2e"
"danieldelacruzredondo","2021-04-16T16:47:01Z",0,0,0,"f19e73898edf77b5783dfb0c52fe81ddc435eb69"
"danieldelacruzredondo","2021-04-16T16:46:29Z",43,43,0,"a9cfdd100253d5ddcec38802d9ff63c4b0859434"
"cbravosa","2021-04-05T07:19:10Z",2,1,1,"99ca6d63b003b535c8cb16526d8babd31feae82b"
"AlvaroChS","2021-04-01T07:40:11Z",5,3,2,"687e05f6179f6bbb6e7250f5263594867feaaee6"
"danieldelacruzredondo","2021-03-31T17:23:02Z",17,17,0,"7b1541d3c71c59d62ba8dd200254f7da29b26bde"
"raquelclementebastante","2021-03-23T16:56:39Z",4,2,2,"e6a634a5a30f9316f561700471b45f929f3e65ed"
"danieldelacruzredondo","2021-03-16T09:02:45Z",1,1,0,"3c590bac28595858cfeb506fbf271fe2de3126f0"
"raquelclementebastante","2021-03-16T08:59:48Z",3,2,1,"72b34eb4af09ff6f9d9f78139582c2aac4159c6a"
"David2Santos","2021-03-16T08:50:09Z",5,3,2,"f47d2bbfd1cc4d8af9527988d645ba3f61ce553d"
"github-classroom[bot]","2021-03-16T08:39:19Z",737,737,0,"d3475fcc50c4924d676c35d4a10c4b36b7387823"
