"name","date","total","additions","deletions","sha"
"idebenitog","2021-05-27T18:30:49Z",598,598,0,"44f7c3ebf6d1485eadd52cc0fb5b664081969ddb"
"idebenitog","2021-05-27T18:29:48Z",0,0,0,"7fc3168d471f8f2e5c5ae7a948ff70f1b2b32580"
"idebenitog","2021-05-27T09:32:09Z",220,220,0,"0ccfe9fd43083922c41dae187a82dd8bd3005386"
"idebenitog","2021-05-27T09:28:53Z",106,106,0,"370335f8728318c2e019b5e81ee9f6b1fe959e4b"
"victoraragonesp","2021-05-24T07:43:59Z",28,28,0,"c7c46822cccbe74a46ab37572da7f2895f3f436c"
"idebenitog","2021-05-06T21:03:53Z",0,0,0,"63896c3c3f7893daf5882a411ca58d3a6599c6c3"
"victoraragonesp","2021-05-06T19:40:18Z",108,108,0,"8b6bd04e2b960bb8189dd5c18add9b27d82258e4"
"MMPablo","2021-05-06T17:50:15Z",181,181,0,"3bac7d9ed9046dc3212bbc09daf7f8bc6f2a1b2b"
"MMPablo","2021-05-03T11:58:50Z",0,0,0,"9ca825c13d3c0af46ab44e58fba1e37659a0ed2f"
"idebenitog","2021-04-25T13:07:48Z",0,0,0,"1822af3d9b5b9176343da1bdf6c967e87a9f5f65"
"idebenitog","2021-03-31T10:33:02Z",11,11,0,"720ad0670e8a8f7ca8ffd402b35c795f5cf9fec8"
"MMPablo","2021-03-09T16:24:06Z",2,1,1,"94d99a5d8a2c5c2e48ed964737c7333976ff68a4"
"MMPablo","2021-03-09T16:01:33Z",2,1,1,"73782c289b5a8cd4cd7ed6e2c01d00d8bd60b1d2"
"idebenitog","2021-03-09T10:21:22Z",6,3,3,"d32b5e96f770397b41037b2f842af8ca334686b2"
"MMPablo","2021-03-09T09:30:02Z",2,1,1,"3d5971fba0e7f188eb19eeb1278af94af1d14e4c"
"MMPablo","2021-03-09T09:28:12Z",5,2,3,"015064028eeedcfdfa3331f57ac45ebd0027246a"
"github-classroom[bot]","2021-03-09T09:20:33Z",737,737,0,"c889c39bc1269884e211f09b3025edf5356230fb"
