"name","date","total","additions","deletions","sha"
"Natalia","2021-05-28T14:38:18Z",138,9,129,"30f43457b6a53754b521ba97a4f1a635fe5f5ae3"
"Jimenalopez02","2021-05-27T16:15:31Z",8,4,4,"8f67c21ebb55ef91047a32ddd3a5c0df28a993ef"
"Natalia","2021-05-20T21:41:49Z",595,592,3,"17a512185625d058b6957286a716b65c95422152"
"aitana-martinez","2021-04-20T14:20:43Z",0,0,0,"d494cf3d93c7d44e6ad72cdd21707f145b5be913"
"aitana-martinez","2021-04-20T14:16:00Z",64,64,0,"c88d721e239b29c4b3d96c514a3f55b945939488"
"aitana-martinez","2021-04-20T13:52:08Z",1,1,0,"9aaa0e20c6f2a7535c6fba4709d4504bc646763d"
"Natalia","2021-04-15T14:04:35Z",1,1,0,"be7e3d92bdaa82fc386fa63c1d4794ca2e24b1a1"
"Natalia","2021-03-31T13:42:26Z",3,1,2,"96e80b85126da46fc3dadbe7181522aded1226f3"
"Natalia","2021-03-31T13:41:52Z",3,2,1,"4f00a6cfd55ee2c5b987c90f390e7ad8f1ec27b9"
"Natalia","2021-03-31T13:38:01Z",10,10,0,"dd934096d4331e77fd3a307b4001957776543b9c"
"Natalia","2021-03-31T13:37:14Z",5,5,0,"3ac65c62979015af82af1b0396a3ac706e3cea2e"
"Natalia","2021-03-31T13:36:23Z",15,9,6,"1ccf6ee831441847501e163041747f8220bdb4a3"
"Natalia","2021-03-31T13:34:37Z",10,5,5,"6772bc2ff2624fff25225117443718f03de6535d"
"Natalia","2021-03-31T13:32:47Z",13,6,7,"845e68e11a929fde2153f9b305fd997e689171b9"
"Natalia","2021-03-31T13:30:40Z",42,26,16,"aef39e6307d3847e3dda300cb0a75ece72a76fb0"
"Natalia","2021-03-31T12:39:42Z",58,33,25,"ed2b5eb7531d6b7d1dfe4670b802f5d6ece80e09"
"Jimenalopez02","2021-03-31T11:27:39Z",2,1,1,"8ec10114e1b3ce4ad035b713f7f7d57ba5bdffb9"
"Jimenalopez02","2021-03-31T11:27:07Z",2,2,0,"36bf7211f3178a7bc240280012a8dbe8d93ca483"
"Jimenalopez02","2021-03-31T11:25:25Z",0,0,0,"d9f3d703b11d466df066a1e433eed58c01ee53df"
"Jimenalopez02","2021-03-31T11:25:13Z",2,1,1,"89e0a86eae1a3970d5a2e9d34d9f4af4b75ead84"
"Jimenalopez02","2021-03-31T11:24:25Z",32,30,2,"90a1d0e171b9e9f3646c25f72e5a0b0ce48eaedc"
"aitana-martinez","2021-03-30T11:41:07Z",4,2,2,"d41c32fcdbac3237d66035397c62fb5676ad2839"
"aitana-martinez","2021-03-30T11:37:23Z",4,2,2,"032c8e372105d02fae2d0b0420e1538a4b51fdd7"
"aitana-martinez","2021-03-30T11:33:00Z",22,17,5,"d53bf7e7b8138747cff1ca53896c6c24f9ffdc9e"
"aitana-martinez","2021-03-30T10:47:29Z",6,6,0,"86b19e38b6b3d8a61c858941900a6abff0eb358f"
"aitana-martinez","2021-03-09T13:34:13Z",4,2,2,"252c738ef240dd5dfa293e70303ec71f0c95facc"
"Jimenalopez02","2021-03-07T21:25:10Z",4,2,2,"7d4450d33fed2d8e4ce96edda67057c7fb6ce91c"
"Jimenalopez02","2021-03-07T20:39:18Z",3,1,2,"b9045129888dda06f63dfa065352f445c53b3fec"
"Jimenalopez02","2021-03-07T20:38:06Z",8,4,4,"2fdeacf8392e755f0bda5fe211657360833ec765"
"Jimenalopez02","2021-03-07T20:35:44Z",1,1,0,"01f4c9826e6ad9e436290efd326788af4150a357"
"Jimenalopez02","2021-03-07T20:25:27Z",4,2,2,"67a74cb699575154a990f06f64750d497cdbc4af"
"Jimenalopez02","2021-03-07T20:24:45Z",10,5,5,"4842f8991c218a2e6974cdbbd635ea7841f15079"
"Jimenalopez02","2021-03-07T20:23:58Z",10,5,5,"b07ecdd02f4f4fadc1649ab05ddbdf411e3246d0"
"Jimenalopez02","2021-03-07T20:22:40Z",12,8,4,"288d6a243d602dcf51c53821583a82210898c10f"
"github-classroom[bot]","2021-03-05T09:08:57Z",737,737,0,"2b692d960ab55fc9c8bcfb0f1ebb3514d6680454"
