"name","date","total","additions","deletions","sha"
"sofiatoledo","2021-05-28T16:56:31Z",76,76,0,"65d109acb934b307138a593ce8ef2973b2fc5903"
"PatriciaPlazaRamos","2021-05-28T16:51:42Z",216,216,0,"9f9700318bf6082c39d3a30e5b0f6cb98612eca8"
"PatriciaPlazaRamos","2021-05-28T16:49:26Z",714,714,0,"ab269542d556c6ab043351000f2b686142008be1"
"almuperezzz","2021-05-08T10:48:53Z",150,150,0,"d68f932e63e864212cc37b1a2d9ea99f22bfaca1"
"PatriciaPlazaRamos","2021-05-08T10:36:01Z",37,37,0,"769768440c7bdbb29e61721a4adecf9ec211324d"
"PatriciaPlazaRamos","2021-05-08T10:33:40Z",92,92,0,"94ef2c59f6d7ad0699a6e75329a766045d8c09ac"
"PatriciaPlazaRamos","2021-05-08T10:31:59Z",0,0,0,"4c668a4042ac287e12180aced5b514fc9d10e7c4"
"PatriciaPlazaRamos","2021-05-08T10:31:46Z",0,0,0,"a19d92568763158bf9a05da34daaf3b4f5fae20e"
"PatriciaPlazaRamos","2021-05-08T10:31:28Z",39,39,0,"256c62e240aa3b7acc7c7172f6a4a927039f1d99"
"almuperezzz","2021-05-06T16:17:26Z",0,0,0,"8fbba952e57052ad083a291a153426db95866722"
"almuperezzz","2021-05-06T16:16:39Z",0,0,0,"2a77094636f825d21332e65ee3710f7e2c3b1073"
"TianYaoLin","2021-04-15T21:45:14Z",0,0,0,"145251fc3fbe51247456877b36c4863d3d7bba0e"
"TianYaoLin","2021-04-15T21:43:26Z",0,0,0,"3e877807cf0e8ec732e70681c2cd7a8583014f13"
"sofiatoledo","2021-04-15T21:33:59Z",0,0,0,"d07720efe57c0dd7b7adb9163d31c1547f1300f1"
"TianYaoLin","2021-04-15T21:21:28Z",0,0,0,"54afd3e081b1070c99979b6fafed0b23fe74e0f6"
"laurasedanomolero","2021-04-15T20:47:29Z",1,1,0,"b237038635c62d60a673a981bc706c405e46f8a8"
"TianYaoLin","2021-03-10T16:52:37Z",5,3,2,"6296fd5a796d30377497ecb111de315b3c4947df"
"TianYaoLin","2021-03-10T16:52:09Z",6,3,3,"ae24d6aad57840c19b495178b112e70f4ad2b307"
"sofiatoledo","2021-03-10T16:48:34Z",2,1,1,"1ea7c161d36373916ebcee576115f3eefb7780f0"
"almuperezzz","2021-03-10T16:47:55Z",2,1,1,"b0ff6ec682f4e9d604c654a4de02c339e08ccc0e"
"sofiatoledo","2021-03-10T16:47:18Z",6,3,3,"d8268e8e81ecc0af0ab234f38207ae6250e3b747"
"laurasedanomolero","2021-03-10T16:44:18Z",3,2,1,"24072a956970680efe6b7491a0f38586456e10c8"
"almuperezzz","2021-03-10T16:43:04Z",10,4,6,"98c1775a238875580acf1e61aa6d6a9cf8b4fc6e"
"laurasedanomolero","2021-03-10T16:40:00Z",3,1,2,"94ebc9af06decbfdb8fae3dcf17ab53b95b2a25d"
"laurasedanomolero","2021-03-10T16:39:32Z",2,2,0,"eda0f41654f5e2fe17742a4f65862e8610528152"
"laurasedanomolero","2021-03-10T16:36:37Z",1,1,0,"93a05b4b4a3a76a3c58fdd4824acb76b2b77333d"
"sofiatoledo","2021-03-10T16:34:48Z",3,2,1,"79521b1f92c71fc51be73aba5d346ee0f5ff2555"
"TianYaoLin","2021-03-10T16:33:53Z",4,2,2,"0c34686a0a8c14815f04698a7873dd1aefffcdf2"
"TianYaoLin","2021-03-10T16:32:53Z",5,2,3,"4638fa65e4988bf01eb0516cc5b9891226ded7b5"
"PatriciaPlazaRamos","2021-03-10T16:32:31Z",3,2,1,"deaeb6848c2a50e3f283159ea27927306cede5fa"
"almuperezzz","2021-03-10T16:31:37Z",6,4,2,"55ce135b7ba44be92e514d3e150203113f078973"
"PatriciaPlazaRamos","2021-03-10T16:29:20Z",2,1,1,"2e9699a2eecfc48355da446b8996843ec3590479"
"TianYaoLin","2021-03-10T16:27:14Z",2,1,1,"9a8ede048cb35980886a8651b5649b90d9e508f1"
"github-classroom[bot]","2021-03-10T16:15:10Z",737,737,0,"c220ed5e1f06461fa0c2f914bc258ec4e7043384"
