"name","date","total","additions","deletions","sha"
"mloboo","2021-05-28T14:55:51Z",384,258,126,"58230fd5cc9f28bc0d73716f832a9703bf516ada"
"mloboo","2021-05-07T15:23:30Z",126,126,0,"66145a5a7b12c85a6065e71b7e0bfc46675f1394"
"zeqilin","2021-05-06T17:26:52Z",20,0,20,"8d3ea1529dbdf9caa0dedc83b03d7b6c049ef040"
"zeqilin","2021-05-06T17:26:14Z",1612,1612,0,"43eddccb7b944b639be62b96d09fe03602bb592d"
"zeqilin","2021-05-06T17:06:57Z",46,46,0,"f4a7de84e019d8ab8aba6c0eb5ab4c45b76613a7"
"zeqilin","2021-03-31T16:36:28Z",9,9,0,"0117fa1c504e3da84c08f3fd04f642de6d5c904c"
"PatrickCast","2021-03-15T20:03:16Z",2,1,1,"099676b5728c47448165f3b1a36b15bf6540f54b"
"PatrickCast","2021-03-15T20:02:36Z",2,2,0,"8cdb8c56bf8392d698302d3fa43c6ce39dd03bd6"
"VALERIRAMIREZ","2021-03-15T09:11:09Z",3,2,1,"d1f4c8dd6525ae00e3c088e2e87cc7bbcc2f51f0"
"andresrosouto","2021-03-11T11:44:57Z",2,2,0,"55cc3312153d869e3d1b1e2483467e304c1568fc"
"zeqilin","2021-03-09T18:24:55Z",2,1,1,"fcae35dce69f76d4dc3bb296623d8339a85cb76d"
"mloboo","2021-03-09T18:19:12Z",3,2,1,"90f5b658ab18a24b4d9756fd282ce4f2bea2dda5"
"mloboo","2021-03-09T18:19:01Z",2,1,1,"f33c2cde507d955591e06419eee481a81b2bad22"
"mloboo","2021-03-09T18:18:33Z",1,1,0,"1da692b3488ed6c27d5478e18012e9265a69bdca"
"mloboo","2021-03-09T18:17:36Z",1,1,0,"8400f0d1371685bfbaad73d460c93180a9e5dfef"
"zeqilin","2021-03-09T18:15:41Z",2,1,1,"4de016d29a8e3e64b5eed546fb6d4477dab8eedd"
"zeqilin","2021-03-09T18:15:20Z",12,6,6,"3bc43318e1eabb4ea0b0e3ea681cafeefc602dcf"
"zeqilin","2021-03-09T18:12:55Z",7,6,1,"410ead10d4d60d01e7cdae6610ee18c301742a26"
"github-classroom[bot]","2021-03-09T17:47:34Z",737,737,0,"dcd2ded3f835ad366b797cf24b961d9cf862de9e"
