"name","date","total","additions","deletions","sha"
"Alvarorico","2021-05-28T14:21:16Z",6,6,0,"070d04e1201ec2ba9b302af82c0030280cf4cf0f"
"Alvarorico","2021-05-28T14:20:25Z",360,360,0,"a63d5577d31fb7bfcc589efc5bca99fcc9bc501f"
"Alvarorico","2021-05-28T14:19:55Z",31,0,31,"14c25b87092ea24349ae57a3725a35b0a2c7c09e"
"Alvarorico","2021-05-28T14:19:23Z",31,31,0,"d40cecac6a6838358e38e7f46b2984145576f979"
"Alvarorico","2021-05-28T14:14:02Z",2,2,0,"e98465b45d0d245752722aeb506042dc4de904dc"
"Alvarorico","2021-05-28T14:13:41Z",95,95,0,"f74104ecd539d0a3254735e6117c73ec6cb3b40b"
"Alvarorico","2021-05-28T14:12:20Z",34,1,33,"2be4f229ad31fd3647c34dcb0a15312eaac23c27"
"Alvarorico","2021-05-28T14:11:35Z",34,33,1,"ec955a9c2ded66fa85a7202d154389a30168d562"
"Alvarorico","2021-05-28T14:10:43Z",43,0,43,"5950156fa8eaedbfbe8dd9e3a5c2fd334c505c85"
"Alvarorico","2021-05-28T14:10:18Z",67,1,66,"27e3bfc6ee951828e0cb0fae8b6d1c54fddaddaa"
"Alvarorico","2021-05-28T14:09:43Z",81,80,1,"92d3049bb1729c73fe049ac7aabe395209727f0e"
"PabloSanchz","2021-05-06T14:50:14Z",31,31,0,"a9c3438a9a86b34c2b9de1078516479a183fbf29"
"Alvarorico","2021-05-06T13:12:30Z",0,0,0,"f77e6a88c0426f35c80818d1610145487d5968eb"
"Alvarorico","2021-05-06T13:11:24Z",0,0,0,"9adb7b359f312c570d68c0ef96831a4b460a616f"
"PabloSanchz","2021-05-05T10:59:45Z",43,43,0,"6174639645015419eb4d3dc2ee7bdb641fb6c51e"
"javierrobi","2021-05-05T09:32:08Z",33,33,0,"3df0bd73a877ace1181c34e5332326c1bbec00a6"
"javierrobi","2021-05-05T08:38:45Z",0,0,0,"e4472ac2bc0f83eb85f48c0e4af5fb4d7c26f2e6"
"Alvarorico","2021-05-04T16:20:02Z",3,3,0,"bce221ff0cd9dda08fe207d21856e3ee18ccbfee"
"Alvarorico","2021-05-04T16:19:22Z",0,0,0,"117d0abd83c34076a8c3d9bd48dfe0bdb89d2b2e"
"Alvarorico","2021-05-04T14:03:54Z",3,3,0,"1f9c32efc8650d1360a850d4ebcb3eaca0d757bb"
"Alvarorico","2021-05-04T14:03:19Z",0,0,0,"406e4af9fed440e2162ae1adcb3f60fd98246cc4"
"Alvarorico","2021-05-04T14:03:06Z",0,0,0,"bba080cb3bb333fe0228ee5b09331f15280fc3d7"
"Alvarorico","2021-05-04T14:02:15Z",0,0,0,"be2efc836d7ec2868f617ce33b70db749ac4a2d4"
"Alvarorico","2021-05-04T13:56:52Z",12,12,0,"ac0e88021bbe42324ad38eca413a209e4dd6583a"
"Alvarorico","2021-05-04T13:56:34Z",0,0,0,"e25f00c35ae4204e9a66df34ec6a155c8fb7219a"
"Alvarorico","2021-05-04T13:46:00Z",3,2,1,"ca6155ed24fa6dc295c15873e1a4b75302db62bd"
"Alvarorico","2021-05-04T13:45:27Z",8,8,0,"c8f0e053181133aa13957c61d0350d9e23ff4dd0"
"Alvarorico","2021-05-04T13:45:14Z",0,0,0,"178247d83910cbe09ddaa46a9e5d61034154f7e6"
"Alvarorico","2021-05-04T13:41:28Z",30,30,0,"440113f91287b11449db10351a3f9ea6122f2ddf"
"Alvarorico","2021-05-04T13:41:17Z",0,0,0,"012deca3591b18ab668656892b6484e200daf5b9"
"Alvarorico","2021-05-04T13:25:42Z",1,1,0,"0ec5dcc35ba814c1f1a8b0906ad9bd291dfa30f1"
"Alvarorico","2021-05-04T13:24:43Z",2,1,1,"e47bf1a23cb3b1ce89bef8fc4213f52ddefc45e7"
"Alvarorico","2021-05-04T13:23:54Z",2,1,1,"9cdfe5eb2b467b3a4bf62bebda4ff37c01636378"
"Alvarorico","2021-05-04T13:21:26Z",0,0,0,"d779f89382b1e39bbc6b4064d3b18768f29df5ee"
"Alvarorico","2021-05-04T13:20:00Z",3,3,0,"3a95b9001bbe040d2d6a79f9564ca4b4f190b55c"
"Alvarorico","2021-05-04T13:13:31Z",7,7,0,"16fda1a860b7ff77142affd8efd4853511aa4cb2"
"Alvarorico","2021-04-16T07:14:48Z",54,54,0,"24ab7ddc58345f8edcc7f1f69f8a7f9b62b00023"
"CarlosMiguelMartin","2021-03-30T12:17:13Z",0,0,0,"f6e5200f937ff771841f238f6469d8a371bdc764"
"CarlosMiguelMartin","2021-03-30T12:16:25Z",0,0,0,"83bee6974f8d246e2cf54662480ecc950e34e1aa"
"CarlosMiguelMartin","2021-03-30T12:15:32Z",0,0,0,"dc4c041f2276e8146304e773bb8d572632844055"
"javierrobi","2021-03-09T16:56:34Z",2,1,1,"75df47d2a4f6efce6c9e736674e09ba1d0c4ce71"
"PabloSanchz","2021-03-09T16:55:25Z",0,0,0,"81866edf8b4b215d82989419f9aa935fc5a50feb"
"PabloSanchz","2021-03-09T16:55:14Z",14,5,9,"dc6bbefae2bd9add4d8b4a6bc99fcbdcff0f77eb"
"PabloSanchz","2021-03-09T16:53:28Z",12,8,4,"316810d7390bd62931eb278b789e08b58e4164c7"
"github-classroom[bot]","2021-03-09T16:39:24Z",737,737,0,"26b98102231423e5f3754d78275d1878ea2cffa4"
