"name","date","total","additions","deletions","sha"
"GuillermoRosale5","2021-05-28T21:30:34Z",2,1,1,"a1c1121833f61f1e04d978be2879aadcf4d77cde"
"GuillermoRosale5","2021-05-28T16:10:50Z",1318,1318,0,"11884a9ff58d8330d1f5842db24f89f0b1901da1"
"GuillermoRosale5","2021-05-28T15:08:19Z",6,2,4,"838ca2698fe966c8fe86ab89b957500cb47b77f5"
"GuillermoRosale5","2021-05-07T00:07:27Z",0,0,0,"fd7eb40916f6f583961fd3c70a956069cb799498"
"GuillermoRosale5","2021-05-07T00:06:03Z",93,93,0,"d71e3b76f9ee0958a0fc32856cd6a49ba0013545"
"GuillermoRosale5","2021-05-06T23:07:33Z",1316,1316,0,"a8b5cb400d1c86f55e1d80ce927ef5295aacd5c1"
"GuillermoRosale5","2021-04-16T00:57:33Z",0,0,0,"698b9c7736c0dcdef8c86683fc6db32f03afce37"
"GuillermoRosale5","2021-04-16T00:56:39Z",0,0,0,"776bf0bd79e315a0ef9b21f5939203a6e9f8797b"
"GuillermoRosale5","2021-04-16T00:56:09Z",0,0,0,"8c86663215561bc5f49edfa607ef271617380b56"
"GuillermoRosale5","2021-04-16T00:41:21Z",0,0,0,"d2c17dfc05d0493f39b828f9eee6488cef58b728"
"GuillermoRosale5","2021-04-16T00:37:16Z",139,0,139,"13a249734d59f0f3d365c140f4158973ec607913"
"GuillermoRosale5","2021-04-16T00:36:40Z",219,219,0,"b62c6745b4bd5640b768703522bcc95d92faba78"
"GuillermoRosale5","2021-04-16T00:36:15Z",219,0,219,"195d9c4eb9e661df67e3355b15206774d9ef7215"
"GuillermoRosale5","2021-04-16T00:35:12Z",219,219,0,"95f73a2a1cc65d4d3827df3b86d2ab5c4e6a3f7a"
"GuillermoRosale5","2021-04-16T00:25:29Z",139,139,0,"bc80aba8fe008b0385df4484cc0962f44a9b06a8"
"GuillermoRosale5","2021-04-14T21:57:19Z",8,6,2,"5f9b0112b7338e0e668d28f1ec548dc9a121f1bc"
"DanielvanReenen","2021-04-11T09:48:37Z",4,2,2,"57414bb5e28f25a497316c6dd3cdceb10d859d5c"
"nataliarodriiguez","2021-04-11T09:46:25Z",1,1,0,"048dbb685057d10d0912f468b5f8a0c3fe51a76c"
"jmunozm2","2021-04-10T21:40:36Z",2,1,1,"bfef489b852086e934e718ce061ddc2edada5600"
"Patriciopenalver","2021-04-10T11:51:07Z",2,2,0,"e8d9daa6f3bcab1c8739204bcf29ddffca19413b"
"DanielvanReenen","2021-04-09T08:16:54Z",1,1,0,"07b1cb55a29b9b5f85a8c9e0877eec67e6b3e84c"
"manusanchezf","2021-03-22T19:25:00Z",1,1,0,"11f5d86dcd257725ffb1e72005bc20597c5284bb"
"GuillermoRosale5","2021-03-22T19:00:38Z",6,3,3,"c083fd5f751566a6681e7d346723c1d1dc5fd1a4"
"github-classroom[bot]","2021-03-22T18:45:45Z",737,737,0,"b1e921177c209c7273019ba1ee58ec1248f2f1d0"
