"name","date","total","additions","deletions","sha"
"pedro-alvarez-monteagudo","2021-04-17T10:11:24Z",0,0,0,"bfe2d091d68d737486ff77b7aa8bfcfc9f50054b"
"alvarogomez29","2021-03-30T18:40:19Z",4,4,0,"4a64630bec30899130e2ce95398b4aa491fa3044"
"alvarogomez29","2021-03-30T18:40:02Z",10,5,5,"ac3e4bce8e794f33918bbf1cf9e090153476bb67"
"alvarogomez29","2021-03-30T18:39:29Z",7,6,1,"ca02953e7da589b26480bc450110082f87101495"
"nuria0509","2021-03-30T18:13:16Z",2,1,1,"56583b80a4ddacbf2fab303baaa5f831179117cf"
"alvarogomez29","2021-03-30T18:05:21Z",2,1,1,"22e687ae7944c7c8b77bdc81714cd3f2e1611cbe"
"Mario.fernandez.lietor","2021-03-30T18:04:59Z",2,1,1,"3e1ebae1f4917ec61474954759a45e17bc129baa"
"Mario.fernandez.lietor","2021-03-30T18:04:03Z",2,1,1,"9f2b8d071c4a9272cf924f89d92e7541428fb16f"
"Mario.fernandez.lietor","2021-03-30T18:01:18Z",3,2,1,"0ea84d56627bd2caf83795fa988488bb050313f4"
"alvarogomez29","2021-03-30T18:00:52Z",2,1,1,"5c1f5b86f666591a870eefbf5d4447e65826ae9b"
"alvarogomez29","2021-03-30T18:00:29Z",2,1,1,"40c3d2df80caf0592c2327694c322b30199e028e"
"nuria0509","2021-03-30T18:00:06Z",2,1,1,"e68d34deae8a7b9411c65702ce8f5e1ba081921f"
"Mario.fernandez.lietor","2021-03-30T17:59:35Z",2,1,1,"e1b218b78b1ad4bc405af08f7e3533a84591a27e"
"Mario.fernandez.lietor","2021-03-30T17:58:51Z",2,1,1,"a1d9025cf3983ada9af3ea49ec16eca9c1179143"
"alvarogomez29","2021-03-30T17:58:47Z",2,1,1,"8b2c35cf3c1a3eaf1e7e43a73100989174caa02e"
"nuria0509","2021-03-30T17:57:34Z",2,1,1,"19b8e4e1c75726d9cd7060f9f71771eee66f1e43"
"Mario.fernandez.lietor","2021-03-30T17:57:24Z",2,1,1,"d1e7a44c0422d9641c2b0d31d1c9d47243887e76"
"Mario.fernandez.lietor","2021-03-30T17:56:12Z",2,1,1,"a7a9dd7ef786bfd5bd529e7c972918330e43aad1"
"alvarogomez29","2021-03-30T17:54:47Z",2,1,1,"3f921b31a186fa7f73b7428c7ec692b4e303e1f1"
"Mario.fernandez.lietor","2021-03-30T17:29:42Z",2,1,1,"cca401dab057bcd468c7efc8cda6db62cb049fc8"
"alejandro-bonilla","2021-03-30T17:28:37Z",2,1,1,"e57492a739417194c72145690b5674d26fc5e1b6"
"Mario.fernandez.lietor","2021-03-30T17:28:22Z",13,0,13,"2a72286e3a98cdd590ff77fd9ecea93144aa8f64"
"Mario.fernandez.lietor","2021-03-30T17:27:28Z",1,1,0,"c06e34f1548a23943af761373078ee0285e25f3d"
"Mario.fernandez.lietor","2021-03-30T17:25:15Z",1,0,1,"399a18527d22e866d3ed1d6997bb856f3720798e"
"Mario.fernandez.lietor","2021-03-30T17:08:06Z",2,1,1,"8d3eeb0938652ba8754dca7050442355ffe2cb76"
"Mario.fernandez.lietor","2021-03-30T17:07:35Z",9,4,5,"e2af99afec2d93b0e4ee4826c74d49789b95e974"
"Mario.fernandez.lietor","2021-03-30T17:05:12Z",4,2,2,"87f625b5826dbdd698b1a6f342dc109b14a1d04f"
"alvarogomez29","2021-03-30T17:02:56Z",2,1,1,"979501369283f002434e69843695813b20502ff4"
"Mario.fernandez.lietor","2021-03-30T17:01:35Z",7,4,3,"10fd57d7eedda3be511316ebde1ed03ab7329b99"
"alvarogomez29","2021-03-30T17:01:14Z",4,2,2,"96c33e0f5a1e63b1af8e32e94f0532319c9027dd"
"Mario.fernandez.lietor","2021-03-30T16:59:43Z",2,1,1,"37855cf33923da350adc3cd89ad133e11547c908"
"Mario.fernandez.lietor","2021-03-30T16:58:54Z",2,1,1,"92002b8bd9c0c63b326ed2c4aa90f4b79c9a6101"
"alvarogomez29","2021-03-30T16:58:31Z",6,3,3,"d8535910749826da7d4755cb5499bc8e0272246c"
"Mario.fernandez.lietor","2021-03-30T16:58:07Z",6,3,3,"c1862bf5ce699aa12827bcf047f4eeaca81c5692"
"alvarogomez29","2021-03-30T16:57:36Z",4,2,2,"1de7006ad7e08bd4fefc59681490559dfb8859bf"
"Mario.fernandez.lietor","2021-03-30T16:56:21Z",8,4,4,"b47acd6476d52aa865a7e5de884f107590f1a271"
"alvarogomez29","2021-03-30T16:50:22Z",6,3,3,"b15aa9d550448209ab9982c887f7ca67d622e187"
"alejandro-bonilla","2021-03-30T16:43:17Z",4,2,2,"e755c490b89e0ae22575495b737be5fcb3bd5eea"
"alvarogomez29","2021-03-30T16:33:34Z",3,1,2,"79ddcb8b28983ce30c5875dc3a03599f4bd9c3cf"
"alvarogomez29","2021-03-30T16:33:05Z",2,0,2,"98341b1ea0d9a8e0cecaba6e5d72d41464ec592b"
"alvarogomez29","2021-03-30T16:32:20Z",19,15,4,"6b8be8f56c8765c8e23662fb6152bdd10016e43b"
"alvarogomez29","2021-03-30T15:49:21Z",2,1,1,"95f29048181e7d3bd05236b02d474daccb32001e"
"alvarogomez29","2021-03-30T15:47:16Z",2,1,1,"3541f2c0adfc33f02723b78912ec067308afa729"
"alvarogomez29","2021-03-30T15:46:39Z",6,3,3,"fb865f91afba63d911bc2acc838740979bafd53c"
"alejandro-bonilla","2021-03-30T15:45:34Z",2,1,1,"da0325b97c816958a82121e12a9f35c62267803a"
"alejandro-bonilla","2021-03-30T15:45:21Z",2,1,1,"9d46ada7751175e12d289761c3d3d1b6295bde06"
"Mario.fernandez.lietor","2021-03-30T15:43:27Z",2,1,1,"f2bd04eb7d6a6aaa04848107c1bffba96aae25ab"
"alvarogomez29","2021-03-30T15:42:36Z",11,9,2,"3a2e8bd0c2fa4814c1e196c9f8a105eb29c00063"
"nuria0509","2021-03-30T15:41:57Z",7,2,5,"944d4a84e0456e81cc7799db9f2f00029cddbac1"
"Mario.fernandez.lietor","2021-03-30T15:40:22Z",2,1,1,"50cde5a6b25f402f7267b0b81bcd6dafe2f4a11f"
"alvarogomez29","2021-03-30T15:28:57Z",10,9,1,"487cb94e381f57617a6c5665154fd15cedd9f207"
"alvarogomez29","2021-03-30T15:28:05Z",7,6,1,"0f92cbb53435d58e431585e8f40019868faec69b"
"alvarogomez29","2021-03-30T15:23:10Z",2,1,1,"6ac180ebe9809c8d8535795350bb19a39c30aace"
"alvarogomez29","2021-03-30T15:22:43Z",2,1,1,"41c2f6047ee7780972092ba377471439963f42b4"
"github-classroom[bot]","2021-03-17T17:03:37Z",737,737,0,"94f256dc14f731449751850bdd17d535e302e069"
