"name","date","total","additions","deletions","sha"
"arturomm","2021-05-28T09:58:50Z",18,12,6,"a9c3fbb58d55acbf46e5e5d4877a7b6c17b3d023"
"samuelpolo59","2021-05-27T18:25:40Z",15,13,2,"55253180e56a77d885cbb58509fd95ca6474fbb1"
"samuelpolo59","2021-05-27T17:47:33Z",37,37,0,"39a742ba24298102236d87c38a8da8e453357793"
"adrianvalgil","2021-05-26T19:06:36Z",65,65,0,"6206b7db05bddef07f6d2aeb63545ab3238bb265"
"adrianvalgil","2021-05-13T19:04:30Z",2,2,0,"9977730f186587c683b334b8e5ec866895c16afb"
"adrianvalgil","2021-05-13T18:54:10Z",34,34,0,"c64698545a7d09c763ae08c7cc45c55098173a2b"
"samuelpolo59","2021-05-13T17:51:17Z",9,7,2,"31525de9e1d315a5d48befc20ff7565640e929aa"
"estebanhenriquez","2021-05-13T17:46:22Z",35,35,0,"cdf2c83e02d9d2c95017673a8c3cd7d6066c355e"
"samuelpolo59","2021-05-13T17:28:57Z",27,23,4,"4a58c3471836670dc7feac2203804ce5b6443e24"
"arturomm","2021-05-13T11:10:03Z",75,75,0,"c50b4e96dd71ed7febcc26791e43f93ec0c8dddc"
"samuelpolo59","2021-03-16T17:22:03Z",4,2,2,"a1be61a16ae5454da52a3c62e306f595268ed248"
"samuelpolo59","2021-03-16T17:20:51Z",5,4,1,"90a794696a4ab78e28dfbab0038d9b1c0a63fb0a"
"samuelpolo59","2021-03-10T18:12:03Z",4,2,2,"9df04edeed2b7240afa755d41406c1a34fef3e90"
"samuelpolo59","2021-03-10T18:09:44Z",5,1,4,"1ba92939fad19c594908a1f7ac907ff0145f9c39"
"samuelpolo59","2021-03-10T18:07:59Z",10,5,5,"686465524355d73a4b16af9ba36b8a28e4b57c83"
"samuelpolo59","2021-03-10T18:01:02Z",13,10,3,"a176cb35b470fed68f21d31fea30e0f41d128954"
"samuelpolo59","2021-03-08T19:31:18Z",1,1,0,"877c235c9bbc10ee4b0950de5595dd6ae9079d78"
"samuelpolo59","2021-03-08T19:16:15Z",2,1,1,"a5f1fe1fec945b3dabecaab838f0f203ebe94d76"
"samuelpolo59","2021-03-08T19:11:13Z",2,1,1,"1bd94bfaef8ee384f5f8af29601729abfca02193"
"github-classroom[bot]","2021-03-08T16:38:04Z",737,737,0,"2b122115297a588e7a2bc2fb7a58c18d71263b65"
