"name","date","total","additions","deletions","sha"
"Joshgv25","2021-05-28T20:21:10Z",28,15,13,"26913d6da730e61f4e6d2234ae1172b5ccecccfb"
"Joshgv25","2021-05-28T20:12:44Z",26,16,10,"a90e5a2f93439503eed48502687a0b1e9b619492"
"Joshgv25","2021-05-28T16:50:51Z",273,257,16,"b2a790878c2e61f877ea66191fb3965cec0bc2d5"
"Joshgv25","2021-05-28T16:50:48Z",22,11,11,"e4f4e0d0017b7727dad1b3ffb392efc9378ae036"
"Mario","2021-05-28T12:18:15Z",273,257,16,"80886a6cf7aa55f16d7e78321c6813b4e79272fd"
"Joshgv25","2021-05-28T11:56:36Z",13,6,7,"a4bbd887b2830e1e05b214ff8dd27e49204efc96"
"Joshgv25","2021-05-26T21:28:19Z",51,45,6,"b3703cc9e01afabc16b6ca010a3a21b07ffd894e"
"Joshgv25","2021-05-26T21:15:50Z",210,33,177,"0c5f91d4b09446651cd0ff23bbc75ba4ef1a9c0f"
"Joshgv25","2021-05-26T21:08:30Z",181,178,3,"bf6c9b0e80184a561adf75f0e44b3044000d4018"
"Joshgv25","2021-05-26T21:07:41Z",96,93,3,"ac57639a45209aa0eed9e0217fd0b7e54ff3ee20"
"solomiyahav","2021-05-26T09:35:51Z",122,100,22,"5aed25f7d45e444b134c505f38b9058d0ea3e70e"
"Joshgv25","2021-05-25T10:20:23Z",315,101,214,"2ea64d917d0babb0be0626005f78d4c7756cbed3"
"solomiyahav","2021-05-24T22:20:22Z",7,7,0,"f776691bdd616dd0d58e0a8ccc5d6e4cc98a036c"
"solomiyahav","2021-05-24T22:17:56Z",521,95,426,"1189e15c3850ce52b31a7c482e278bab59731a03"
"solomiyahav","2021-05-24T22:17:29Z",521,426,95,"5541c62ad55de3448ae2c52179e9f6720008e64b"
"Joshgv25","2021-05-24T19:06:50Z",229,164,65,"cc415939f88156638275845950ea544d98d8e69a"
"solomiyahav","2021-05-24T10:02:05Z",3,3,0,"f7107042feed00834a428854d15e65dbb0b478f5"
"solomiyahav","2021-05-24T09:59:22Z",194,194,0,"242c6c6d5e0e3c42107c4f23aaac168b0203f3b7"
"mcsirvent","2021-05-23T12:41:56Z",0,0,0,"16a235606537891ae9fd4586a14aa4c0fc4d0866"
"mcsirvent","2021-05-23T12:41:31Z",0,0,0,"d18b484f7ae6694a5d798283d264d0b82076a3dd"
"mcsirvent","2021-05-23T12:40:27Z",0,0,0,"2a1307fa36f0cf10a64597e41c08b6cca3b80222"
"mcsirvent","2021-05-23T12:40:02Z",0,0,0,"643148f0de69ac4fb646a7ef72371082019115ef"
"mcsirvent","2021-05-21T19:24:13Z",0,0,0,"222eac2487d998b662e15bb561c227c9bcea14e0"
"Joshgv25","2021-05-18T21:29:20Z",1,1,0,"ef87d46a977b814d2ca2561a574f8d86dddcc135"
"Joshgv25","2021-05-18T21:29:00Z",1,1,0,"c615413d37875559ed7a64e719e83a0d2a68f5b3"
"Joshgv25","2021-05-17T23:56:31Z",120,84,36,"a68c9081d32d3cc66baba59163f6ebfa74c58a68"
"solomiyahav","2021-04-14T17:55:29Z",0,0,0,"5782d81d368cce2ac45a92e333cd14b1e77c896d"
"Mario","2021-03-30T23:32:29Z",12,9,3,"d877c11dc1171bd2372e3cc08dd5ee089f57d3d4"
"Joshgv25","2021-03-30T21:31:20Z",40,0,40,"d5df9329932643c172d9acc67fdffa28b0b3d22a"
"Joshgv25","2021-03-30T21:31:02Z",40,40,0,"6e70f366bbcfb71392370ed172bb9a77717e9876"
"Joshgv25","2021-03-30T21:16:45Z",40,40,0,"db8c5aed24752f84fbc685bcd77972859581c14a"
"Joshgv25","2021-03-21T14:59:02Z",6,3,3,"88eb947ff26159534a4c8177517707d882ff003d"
"Mario","2021-03-15T11:21:42Z",6,3,3,"9c1fbfd85e016c639c15c1ed2475b080301d6ce9"
"Mario","2021-03-15T11:20:47Z",6,3,3,"747e19b80a674e57d9dff8779fc204e6be3ad528"
"Mario","2021-03-15T11:19:05Z",4,3,1,"7bf12109e10c6ee4f784ed9fabaccee99e53e0c6"
"mcsirvent","2021-03-15T11:00:06Z",2,1,1,"ffb023a8d9387fb699129f33ce0a70aae079fa01"
"Joshgv25","2021-03-14T22:11:23Z",4,1,3,"aee61e038ed007935c76d959c0917d7263e94bd3"
"Joshgv25","2021-03-14T22:10:18Z",8,5,3,"2b278261bcc247b8508d71d7f7709eed705522b1"
"github-classroom[bot]","2021-03-12T21:31:08Z",737,737,0,"6f5eeb14df803130f0ce0fae9a71e1917a190f70"
