"name","date","total","additions","deletions","sha"
"dcblasco","2021-05-28T17:29:01Z",0,0,0,"5b689ed001dd19bb4c57a731d58489aca482c5dc"
"dcblasco","2021-05-27T21:09:08Z",9,9,0,"664f23434298e3ec3bd1436d044ae7942f466764"
"Vegely","2021-05-26T09:14:30Z",0,0,0,"1b4c6121a45fc07833151caee6edd8888c4b46a0"
"Vegely","2021-05-23T20:52:47Z",2,1,1,"f5228a326962ea7d861bdb06e9055a5819ae06de"
"Vegely","2021-05-23T20:51:44Z",2354,3,2351,"a3afe4a29d0b254e28668a1b307e05d68b0412b0"
"JuanNicolasJimenez","2021-05-23T18:41:24Z",196,82,114,"69f024e3dac67ce391618c650a0fd4e3fb6e02d8"
"JuanNicolasJimenez","2021-05-23T18:40:46Z",265,144,121,"da971f5abd04bd377b9367246a86e571ac815f81"
"Vegely","2021-05-22T22:57:55Z",24,12,12,"51bb3ba2863d7d56cddb42f19f0aa92bed1942e8"
"Vegely","2021-05-22T20:48:15Z",46,14,32,"31447425972df371a5f865c45026df9348d1597e"
"Vegely","2021-05-22T20:38:10Z",49,31,18,"82d50eab271b3e05aa325c29fbd335ebfa775921"
"JuanNicolasJimenez","2021-05-22T20:06:35Z",135,77,58,"99cab68371f7ca5e88e1b1788ebd275d36907d1b"
"Vegely","2021-05-22T19:34:52Z",84,80,4,"91940ea0930bb4975a854f602b614827388d732e"
"JuanNicolasJimenez","2021-05-22T18:04:52Z",9,6,3,"a8443e8f11f83f0d669593e0dac3bab71b399cf2"
"JuanNicolasJimenez","2021-05-22T16:29:15Z",6,3,3,"f52bbbf6f842f62d95624055d91e97d488ec8ca1"
"JuanNicolasJimenez","2021-05-22T16:27:54Z",343,235,108,"b15915d91fe4eacab5edd9559166e92047c35a68"
"JuanNicolasJimenez","2021-05-22T16:27:35Z",269,135,134,"31bcccf8b407ef2b030bc847409d59a50267bf60"
"JuanNicolasJimenez","2021-05-22T16:22:29Z",375,251,124,"8f3ae1afd6297e2d40425df24d7fc5005d7059cb"
"Vegely","2021-05-22T14:39:03Z",18,6,12,"1b37ced2533ecd5c3d0cd49dbe88513dd5129201"
"Vegely","2021-05-22T14:37:34Z",49,26,23,"04738a33dce4974f43d29286faa84483a373d65e"
"Vegely","2021-05-22T13:33:33Z",40,20,20,"e48b46fa432e5c9e0167c0214b8ae25176ab6f22"
"Vegely","2021-05-22T13:17:55Z",72,57,15,"aa2ccb9141a41a61281461cc5d257d7651d56473"
"dcblasco","2021-05-21T13:21:43Z",57,36,21,"d658bc7617a416843b4935e924d03bf84beab05f"
"dcblasco","2021-05-21T13:21:25Z",57,36,21,"689d4daaf5799e934664eba37e83e5e228453382"
"Vegely","2021-05-21T11:56:29Z",8,4,4,"8e09c63dc1cdb40b2f5743444e6d28a32f5c25f0"
"Vegely","2021-05-21T11:51:38Z",95,9,86,"8827a039fe60789fa9c08bf7c4365fdad699ed32"
"dcblasco","2021-05-21T11:43:44Z",62,43,19,"d6106e7126f9befdf2832cbd25db597ab0f55b29"
