"name","date","total","additions","deletions","sha"
"oscararrigo","2021-05-28T20:50:25Z",74,71,3,"5f83d0a25d85ae83100cf1d8d58a469b5e4ef1d5"
"oscararrigo","2021-05-28T20:23:57Z",43,42,1,"c1632dc210126010a93648ec49dd53e03811cbb3"
"oscararrigo","2021-05-28T20:12:00Z",21,10,11,"5cb9527b4b4cba49f18992bce7a3215d5da632f9"
"oscararrigo","2021-05-28T20:05:15Z",18,9,9,"b663fad9ee4b25f47be8c8e38df4e6651c37a40c"
"oscararrigo","2021-05-28T20:02:51Z",518,272,246,"89e2c63aa80f143838c5009a720e306b180510d5"
"oscararrigo","2021-05-28T18:45:47Z",28,15,13,"c7f20e3f29010fb2837e54ecb0e52b44fcfb9a22"
"oscararrigo","2021-05-28T18:12:06Z",13,8,5,"c74d3b7c60509ab3b4a0679eddf6043da5a6cd74"
"Nicolás Castro García","2021-05-28T17:06:19Z",14,10,4,"c6efbb0c3cc0bda27555f6983c013f18af744366"
"Nicolás Castro García","2021-05-28T16:49:11Z",710,0,710,"b31621d54993dd801eafb7d5c87c767c3d347fd7"
"Nicolás Castro García","2021-05-28T09:42:44Z",1,1,0,"7d3bac3af1cc85394d73085227d90c12ee86910a"
"Nicolás Castro García","2021-05-28T09:40:00Z",4,3,1,"44a0e085911f7f19467ca2c091c82fe12cf928a4"
"Nicolás Castro García","2021-05-28T09:37:37Z",95,90,5,"62a06bc7d90fa382ddeb799fd20c44978045077f"
"Nicolás Castro García","2021-05-28T09:31:46Z",100,92,8,"4b366c341d65be188cbc9c3c867daea4b1205721"
"Nicolás Castro García","2021-05-28T09:21:38Z",149,77,72,"be0126b5ef187f694af941b479ae9cb4454a7d53"
"Nicolás Castro García","2021-05-28T08:48:08Z",196,194,2,"976832756fb44e9bf70fd69f88077b17f3eedbb2"
"xrubenruizx","2021-05-28T08:25:20Z",4,2,2,"a3e189da290bab3a1cbff9e44eb78e5ffcd690ab"
"xrubenruizx","2021-05-28T08:04:06Z",460,447,13,"5b504f4e2014afe09f66844337f8deff65f965b3"
"oscararrigo","2021-05-27T22:15:08Z",64,60,4,"aac1d3a3a6fd68d5253446db675a8ccb2b689203"
"Nicolás Castro García","2021-05-27T20:34:07Z",1490,745,745,"21c91b01795bea7ecc6c27415d11864086da6fbe"
"Nicolás Castro García","2021-05-27T20:20:04Z",67,67,0,"6710d04d1f4d0da0924d3e5f12aa79d985f132f8"
"xrubenruizx","2021-05-27T16:54:05Z",494,477,17,"d9ec823bc4a39bb42ed3ae77be04d56d8cf169b8"
"xrubenruizx","2021-05-27T15:20:22Z",23,23,0,"5bc6e61bb2250aaeca98e8088a48058fd87532a5"
"oscararrigo","2021-05-27T10:24:49Z",189,189,0,"dee7d1af7ec4061174fc6f90f47d9916811b1e45"
"oscararrigo","2021-05-27T10:22:23Z",246,0,246,"3e10fc28d576cb2478d05410d728ec83f7cd4de1"
"Nicolás Castro García","2021-05-27T08:38:55Z",0,0,0,"759f7f55c9c98db3ce54e440cc9965447a99d12a"
"Nicolás Castro García","2021-05-27T07:57:24Z",12,6,6,"ba96ea85a10c8deb567a6e2f51c174cbb75a2c63"
"Nicolás Castro García","2021-05-27T07:53:14Z",8,4,4,"239bb38283a26aabf046922fbc5c92ee44251fcb"
"Nicolás Castro García","2021-05-27T07:19:22Z",35,27,8,"3195be2ddd32c0cb4a247fac5989bb0f0b244308"
"oscararrigo","2021-05-26T22:17:45Z",16,8,8,"832b51dcbc22175487354ebc8d4779ea5dda30d9"
"oscararrigo","2021-05-26T22:15:42Z",1,1,0,"899d92cbe673b3223b7f5f4e6e2378063c2d017e"
"Nicolás Castro García","2021-05-25T18:56:12Z",238,130,108,"716b24f5757244ef87bf774476cbdd6185072f0e"
"Nicolás Castro García","2021-05-25T12:44:02Z",312,0,312,"7e3063265e71187cbb59cb4d5b3e577b90e92295"
"Nicolás Castro García","2021-05-25T12:43:05Z",9,0,9,"5601b0ca04894c29cbe57a7ce10dc91806494700"
"Nicolás Castro García","2021-05-25T12:40:19Z",988,117,871,"b764ce206f4a8929c5bd13edcd307d1c7783d475"
"Nicolás Castro García","2021-05-25T12:30:21Z",0,0,0,"38197ea8c8b88fab098b97cd900d1fd40fc8fc6e"
"xrubenruizx","2021-05-23T19:26:09Z",115,115,0,"c585095a852bac10a99155337c0c19ad77792e42"
"xrubenruizx","2021-05-23T19:25:32Z",284,0,284,"7d16e2c137c02e9c8029816ae104be68788a8f2e"
"xrubenruizx","2021-05-23T19:25:22Z",389,0,389,"bbd85c0dcd13fa17d4eca50c217807ef43cc2d28"
"Nicolás Castro García","2021-05-14T15:02:17Z",887,887,0,"ab421320257fa709f76ec798be05d63aa4bb8d3a"
"xrubenruizx","2021-05-14T13:00:12Z",284,284,0,"107d2e352c543e3c47c34381605c804f2c4dbe21"
"xrubenruizx","2021-05-14T12:59:25Z",285,0,285,"3adcbb4db7d58be86ff022b6a5a3875671b1c948"
"xrubenruizx","2021-05-14T12:54:42Z",285,285,0,"9325debf50ec930d4cfaeec4f167ed75c6c74c60"
"xrubenruizx","2021-05-14T12:48:20Z",310,0,310,"20a70b98c6d2be10d76b8c684e539033abcbbbc4"
"xrubenruizx","2021-05-14T12:35:20Z",310,310,0,"5c4a34b02687467ff8a9454de251cf11a64ce993"
"xrubenruizx","2021-05-14T11:15:12Z",389,389,0,"fd0fecf796562c81ccf9ec635bee5e7b7819c6bf"
"oscararrigo","2021-05-13T20:37:40Z",245,245,0,"7b9f2a01afc6fadb7bdca3dd1e894388b1dd47e3"
"Nicolás Castro García","2021-05-13T18:40:45Z",6,3,3,"739208c18c0fb8185fae11bba228fa9052f20e2a"
"Nicolás Castro García","2021-05-13T18:34:54Z",24,13,11,"26e9b9da7841a57770f1b6c2e7b7997c440fcd8e"
"Nicolás Castro García","2021-05-13T18:12:42Z",5,3,2,"633c67c734f966cd3a3c26335c8cde30bb3a6289"
"Nicolás Castro García","2021-05-13T18:02:08Z",46,36,10,"62523285765e4067731a194538132892924eafe7"
"Nicolás Castro García","2021-05-13T17:34:04Z",102,86,16,"ca51b76168467d46910027b37fbcaef82624028c"
"Nicolás Castro García","2021-05-13T16:54:35Z",84,81,3,"9604237135b194a4a08480b4ffa9efe21a5da152"
"Nicolás Castro García","2021-05-09T12:53:10Z",228,220,8,"a63476d1c9548f462a16316de591d0fab35cc5e2"
"Nicolás Castro García","2021-05-09T12:17:26Z",2,1,1,"268deabdfb84ee0ac99eb97bf2bd4931d21a331b"
"Nicolás Castro García","2021-05-07T20:07:19Z",1,0,1,"545fad034ad9a8c0c2d1905e428f0b7d4cca2145"
"Nicolás Castro García","2021-05-05T11:31:09Z",1,0,1,"d97fcb75ba8d30c6330959c6db6a9da6e6b8dcf4"
"Nicolás Castro García","2021-05-05T11:27:37Z",113,108,5,"72764ac532bb887773e9ad22dd7cbfb77e98f12e"
"Nicolás Castro García","2021-04-19T10:54:02Z",36,27,9,"cabdc2ac689c2c8aa6aca6007ccab30cd9a965ae"
"Nicolás Castro García","2021-04-19T10:53:59Z",96,96,0,"366908cf1bad4e4774fba1eca3a808e7b9cee0d9"
"Nicolás Castro García","2021-04-18T13:20:59Z",14,14,0,"451bc8ca36baca7de19e26998d6c1b23321499c5"
"xrubenruizx","2021-04-08T09:44:29Z",0,0,0,"ff62b54d948d9eb8ed0cd35c2bf32734337325d3"
"xrubenruizx","2021-04-08T09:08:48Z",4,2,2,"aa9b2d0fc1c25325a001df462727e92e8ba77f2e"
"xrubenruizx","2021-04-08T09:07:28Z",16,9,7,"61698fed04e1788192633fef70903d29d364ec7c"
"oscararrigo","2021-04-08T07:48:45Z",6,4,2,"fd7161572d167ebaac7a679926a4063c55d8a245"
"Nicolás Castro García","2021-04-07T21:43:55Z",24,24,0,"80fb9033ae69a35dd3a611e2fd30fa129dfa07d4"
"Nicolás Castro García","2021-03-11T20:45:51Z",7,5,2,"b43f8ec82f6cf217636a9f6c37db2c8c1b35bd46"
"Nicolás Castro García","2021-03-11T20:18:32Z",6,3,3,"fc10131dbd0a9a9a1973a22b95e4b45728a4051f"
"github-classroom[bot]","2021-03-11T09:00:38Z",737,737,0,"5feff2fc4a6aeb47395c61956eb3541974fc25e3"
