"name","date","total","additions","deletions","sha"
"IgnacioBravo013","2021-04-09T17:46:04Z",0,0,0,"a2d1a2aa61c62fa61931524cbbe4a9448e70ad0f"
"SolracZ21","2021-03-16T11:58:17Z",20,19,1,"b12889ec6847048715331ff307b16bb728389528"
"SolracZ21","2021-03-16T09:04:07Z",12,6,6,"961b3db8c385594c97470de9d2a7cd473764f14d"
"SolracZ21","2021-03-16T09:00:41Z",12,12,0,"2f94d62276ced09b5c4402c19fafbe58d813df25"
"IgnacioBravo013","2021-03-14T18:23:18Z",2,1,1,"2bd31256fa53bc27b30ee7c26e9d6c7321cdc9da"
"IgnacioBravo013","2021-03-14T18:20:32Z",2,1,1,"b9c023ee29102103341142eed917023d0edec24d"
"IgnacioBravo013","2021-03-14T18:20:10Z",2,1,1,"01ef019018d970586a9db8c73a1ccccd9b5f4d26"
"IgnacioBravo013","2021-03-14T18:15:08Z",2,1,1,"4b03020e7b010b8c9a48ad0e34ea219ca860c353"
"IgnacioBravo013","2021-03-14T18:12:32Z",2,1,1,"f52644d2e8b19d7c6a7cb98f4c728d29ceb99280"
"IgnacioBravo013","2021-03-14T18:10:04Z",4,2,2,"d6e2b032f665c83c4be2f3048a005022abd591fc"
"IgnacioBravo013","2021-03-14T18:09:22Z",4,2,2,"8560c5bc2a357701044e0df0d2e92222be3b0a56"
"github-classroom[bot]","2021-03-14T18:00:57Z",737,737,0,"4c99c4bb5f26ff46d6bba0f1bef3b92dffa7ffbf"
