"name","date","total","additions","deletions","sha"
"Luislagu","2021-05-28T22:00:30Z",7,0,7,"e2d7055ea8d02773102299c2fbfbed2e388ab17d"
"Luislagu","2021-05-28T21:33:32Z",903,566,337,"634505af9f49c487410d43e00efe03ce1edea8da"
"gonzalosta","2021-05-28T20:58:02Z",0,0,0,"3488c89a6617bcb22cb70ad9f4a74d26966fb74e"
"gonzalosta","2021-05-28T20:36:29Z",443,231,212,"c8f927312e36517f0ed6bbc90d7ff7f9d63d2214"
"gonzalosta","2021-05-28T20:36:27Z",39,39,0,"a7c71bdf24ae067aed85b110dd866bba0e7d52f9"
"alejandrobeltransuarez1","2021-05-28T19:45:12Z",157,157,0,"54e28c2d80c5ba545ad822025c4f0aa87f9cbd91"
"alejandrobeltransuarez1","2021-05-28T16:45:44Z",74,74,0,"bfcf0c97b584ce30a30fa2ee8f9bd85b2c4e2a6f"
"Luislagu","2021-05-27T20:49:58Z",184,184,0,"15c46d4d58362704bb4720b4e7f6c9865644bdaa"
"Luislagu","2021-05-27T20:08:48Z",212,0,212,"ef5841348bf25ee4c27bc14452e1a723b2d8da6c"
"gonzalosta","2021-05-26T14:48:57Z",463,248,215,"924f68c1dab68f1b89dda8e0936f264c82460d3a"
"gonzalosta","2021-05-26T14:48:53Z",184,184,0,"f27fca7d3e1c2fe324b00521818803cd9f677c8a"
"Luislagu","2021-05-25T10:07:51Z",26,0,26,"9694a471af9e2a522dcac627045c88754ce14d29"
"Luislagu","2021-05-24T19:52:12Z",0,0,0,"5c0810006f29921ecfb18e7325de01d2c9196dd4"
"Luislagu","2021-05-14T22:28:03Z",2,1,1,"f79d1e493bd435377526f4dcbf7434acaf8482bf"
"Luislagu","2021-05-14T22:23:03Z",8,4,4,"c9abfbd1e7d731a1972e7181630ce137a6ff6a3c"
"Luislagu","2021-05-14T22:20:45Z",3,3,0,"984b2876f06ab840d106927c2d46bd32d439b02d"
"Luislagu","2021-05-14T22:17:37Z",34,18,16,"a0f48d17e2c5cbf605b7a27cbfc09ba45e560ea8"
"Luislagu","2021-05-14T21:48:08Z",432,243,189,"f9865f74b21225c460c68108a3f4a85ec5925afc"
"gonzalosta","2021-05-14T19:54:38Z",686,491,195,"617f374c691262601c48a4b529ae2c1b4e799399"
"gonzalosta","2021-05-14T19:50:47Z",30,30,0,"e3406de0ab47005b6b6daac8fe66460a35bb33d1"
"alejandrobeltransuarez1","2021-05-14T12:21:39Z",521,152,369,"086cf75da496e5d62d771a631b3b7f7800602f90"
"alejandrobeltransuarez1","2021-05-14T12:21:34Z",2,1,1,"0c5e28902fc386d84d70f0f396a3134d1ace1d06"
"Luislagu","2021-05-14T11:57:31Z",235,111,124,"c1b3eb6c6a4be33fdefef24fe6ba01cbfabb9267"
"Luislagu","2021-05-14T11:56:08Z",153,153,0,"c79d6ea2b2d2e85c99181d68d194303577e56b5f"
"Luislagu","2021-05-14T11:55:49Z",534,165,369,"f5728c72b6611a66c5f61c0a2b119c6874377663"
"alejandrobeltransuarez1","2021-05-14T11:42:52Z",153,153,0,"767ddce3af82e05e46734f6ffe7cb11bdbd58333"
"alejandrobeltransuarez1","2021-05-14T11:27:45Z",149,149,0,"a1243a1126e695ec1a66d8a29338b1cf44b15303"
"alejandrobeltransuarez1","2021-05-14T11:24:51Z",64,1,63,"08c4a857cf67fef9882ea425d4e929c3650903ee"
"alejandrobeltransuarez1","2021-05-14T11:13:43Z",181,175,6,"6b5e85a6f1e71712c9010ddb0fb7ad8679133aac"
"Luislagu","2021-05-14T09:24:29Z",13,1,12,"5c4e34c8ddb2b21086b901d334c6abfbfc2260be"
"Luislagu","2021-05-13T17:50:14Z",100,0,100,"9c1cbcbe4115e81dbe66ad5b224b834c3922ced2"
"Luislagu","2021-05-13T16:41:50Z",10,1,9,"f2dc2c62d65455f421927be8356d2a1d4b34612e"
"Luislagu","2021-05-13T16:39:28Z",100,100,0,"74b46a1e6343a3dc1a5699c1554d5bef29f991e7"
"Luislagu","2021-05-13T16:39:23Z",393,349,44,"5e2b2a557be4f3195c2948861e1d0b06a07d3af6"
"alejandrobeltransuarez1","2021-05-12T19:17:22Z",100,100,0,"c6d58019565a6ca70088bae95259822e48388f2d"
"Luislagu","2021-04-09T21:57:22Z",94,27,67,"f422491601b82a53f548174636d850cb2301f53b"
"Luislagu","2021-04-09T21:54:25Z",55,55,0,"435c9c91e7199e57dab9fd135f44dc62f8b1cff1"
"Luislagu","2021-04-09T21:54:14Z",123,37,86,"3dc75d4bb9275ae70f22ed8d0a362b16434acb09"
"alejandrobeltransuarez1","2021-04-09T21:45:37Z",93,0,93,"8afe085d2f495a9977b8efc927d5c965684fc569"
"alejandrobeltransuarez1","2021-04-09T18:48:44Z",55,55,0,"f64bbcb85f1c8d31bb3e8d33e8b98ed5eba3df9f"
"Luislagu","2021-04-09T17:04:20Z",0,0,0,"6876373a790d83be78fcfc0fa87e2d9a8e3fa419"
"Luislagu","2021-04-09T15:04:33Z",93,0,93,"3b3cd7b7638a62ca13251ef6d61e875f88246eb4"
"Luislagu","2021-04-08T21:16:40Z",0,0,0,"b56746e62c55a9f8242b913cdc060b8150e41bc7"
"gonzalosta","2021-04-08T19:46:07Z",102,102,0,"3f51912bf6e09741bdcc36cee06ce48b23afa167"
"gonzalosta","2021-04-08T19:44:19Z",102,0,102,"bbca6e56db5059b2b33f7f547f288750d2bb95f6"
"gonzalosta","2021-04-08T19:41:36Z",17,15,2,"5269c295588e79e3d5fc6e0d400d6922b873ad1a"
"gonzalosta","2021-04-07T18:11:22Z",112,106,6,"9d8ac6c0902721283ceea1994447506a47364d6f"
"gonzalosta","2021-04-07T18:11:15Z",89,89,0,"3d217d5bf788d8c5f5967c5605301f770fa57707"
"alejandrobeltransuarez1","2021-04-07T17:19:33Z",46,0,46,"e5773fa0921ebcad5591dae12328be92a9a94749"
"alejandrobeltransuarez1","2021-04-07T17:19:21Z",16,16,0,"f739a74e151dfd7b6600f819589f5bfccec8a868"
"alejandrobeltransuarez1","2021-04-07T17:14:10Z",77,77,0,"7264eb7755d67fa346421a0715e9900d583f3b23"
"Luislagu","2021-04-07T17:02:33Z",46,0,46,"232ad5167d8f119bb56b03eb9452a3456967b300"
"alejandrobeltransuarez1","2021-04-07T16:55:26Z",46,46,0,"40f0fca912632622c316590fed72e4df62a5756a"
"Luislagu","2021-03-11T18:12:40Z",19,13,6,"dbb85e698ed45d80cee97680a347e229c3cf94c7"
"gonzalosta","2021-03-11T17:43:02Z",2,2,0,"1cede20953b2a08e09c553bcc500a164017dccd3"
"Luislagu","2021-03-11T17:14:32Z",2,1,1,"6b41a397f571ffea95cd49f055559444d65c9fe9"
"Luislagu","2021-03-11T17:12:16Z",2,1,1,"5ddbf675fd921b146e1d97dc130ee70fe9e4dad9"
"github-classroom[bot]","2021-03-11T16:55:58Z",737,737,0,"eb5847a877cd6cc4f8792e9c29b62e4ea80974cc"
