"name","date","total","additions","deletions","sha"
"DenizAlcobendas","2021-05-28T23:19:47Z",209,208,1,"b93a7a6f84668226bceee5d975b2fd4a063247ff"
"DenizAlcobendas","2021-05-28T23:10:53Z",212,212,0,"1f0247151c1f77e870ddea3cedfdea64acdb890e"
"aamontoya","2021-05-28T20:44:55Z",9,6,3,"382d60c2bafcf3bb3dc461c8d36c07b43f4b8658"
"aamontoya","2021-05-28T17:17:29Z",0,0,0,"ac707c5ddf818ea2bfc1fe989f412cc96fd30d23"
"aamontoya","2021-05-28T17:13:54Z",123,103,20,"21081d4383a061832344b250ddbf068505a037dc"
"aamontoya","2021-05-28T17:12:50Z",123,103,20,"1679c238c77cb150cbdd3b24f45b21e77747072a"
"sergioariasblanco","2021-05-28T17:05:48Z",0,0,0,"cb34cc4aab804554b93442dcd12cb7d81cfbfe45"
"sergioariasblanco","2021-05-28T17:03:46Z",0,0,0,"cc813a2eedc1769f68a4d66da3526b585bf82061"
"sergioariasblanco","2021-05-28T16:59:18Z",0,0,0,"91754416cd60e6281d0f9ec8c822f1c9170a459a"
"sergioariasblanco","2021-05-28T16:55:47Z",0,0,0,"11c4afd730b1d46f18fb4c18cf1cc26ad93b1ca8"
"sergioariasblanco","2021-05-28T16:38:53Z",0,0,0,"16202435025de1143e4ebaaaf4f4c187378f3326"
"sergioariasblanco","2021-05-28T16:36:59Z",0,0,0,"519d0fb50ee64c2ff6b648faf4b2d46d751b9115"
"sergioariasblanco","2021-05-28T16:35:59Z",1,0,1,"3fc0bd8310180fccc967153bb934693a1b463434"
"sergioariasblanco","2021-05-28T16:35:33Z",0,0,0,"df2e4d5ae3d790ec8a2bc0db74d0f021522e38b0"
"sergioariasblanco","2021-05-28T16:29:27Z",1,0,1,"b57d5e1c589e15319bc8138a296e117097d137de"
"sergioariasblanco","2021-05-28T16:29:10Z",0,0,0,"99f69e67b7e02099d8bd2e5e07b86345355f0ede"
"sergioariasblanco","2021-05-28T16:28:28Z",296,291,5,"fca1657ce0369f5f75f4bdba80b86ef9223eab47"
"sergioariasblanco","2021-05-28T16:28:25Z",0,0,0,"757b41d4b76c59031222aaae1f6b7cb2865974c7"
"sergioariasblanco","2021-05-28T16:24:04Z",1,1,0,"8d995dd8d0d57edd5fa7fb17de203255dfa73dd8"
"sergioariasblanco","2021-05-28T16:16:02Z",0,0,0,"a0c3db3dfaaa9fed97d33f9de3b0efaf1adc3501"
"sergioariasblanco","2021-05-28T16:12:27Z",1,0,1,"283690474f1e89031b0866357c48e492909156e2"
"sergioariasblanco","2021-05-28T16:12:09Z",1,1,0,"ae294b42185cc00fbebc40f94b3f195b9dc20b38"
"aamontoya","2021-05-28T15:46:58Z",325,302,23,"0c9097c32f5a696af28361c59a3cf268799e760a"
"aamontoya","2021-05-28T15:44:42Z",295,290,5,"ebda04414a4ea07734920a5fd80801bac6407ddd"
"aamontoya","2021-05-28T15:43:46Z",295,290,5,"ff8936764ee684cc3104ff21f2c1ab591004ea7c"
"sergioariasblanco","2021-05-28T15:37:17Z",4,3,1,"c6d5845ab3c6c26bddaccbabda6222d63b02946b"
"sergioariasblanco","2021-05-28T14:16:43Z",26,9,17,"f4484540c1b0c6142501ba6dfa6b5181207f7918"
"aamontoya","2021-05-24T15:58:07Z",322,65,257,"8c53df21c3f7326a8244668768c70c1fa4a41632"
"aamontoya","2021-05-24T15:55:37Z",322,65,257,"e246e4a5d5d443b39a15a5cf413cd5a80ec4a45d"
"aamontoya","2021-05-24T15:53:10Z",322,65,257,"eac058e957e3f7a223a2bbb5e73a54a4f07dad8e"
"aamontoya","2021-05-24T15:37:12Z",0,0,0,"b69d4267267ac1595b3dfd3113e75aa2496458ae"
"aamontoya","2021-05-21T20:21:29Z",0,0,0,"d6571afa2a7a9f7343ae631c02841e58847c1176"
"aamontoya","2021-05-21T09:54:49Z",0,0,0,"93cd99bfe8e3b93a0e2933bb812e25beaf9755c1"
"sergioariasblanco","2021-05-14T18:00:36Z",659,496,163,"ddc9f4162a3bd3d14da78f221ed5521ca25ae2a9"
"sergioariasblanco","2021-05-14T18:00:33Z",6840,6840,0,"33a57cd83153165fb47b7fae67a324c38acb0f25"
"aamontoya","2021-05-10T23:02:32Z",659,496,163,"e813115fd60de08925a83b613d8c6dcb23ce9f5f"
"aamontoya","2021-05-10T22:57:20Z",659,496,163,"e29106641d598c4414ed8edc3ac7f9fc3cce2c18"
"PabloBasoaDomingo","2021-05-10T15:58:10Z",2,1,1,"1805255240a88f0aa22d559dd146629412b2d19c"
"sergioariasblanco","2021-05-10T10:54:12Z",294,294,0,"1086f4e8ec5e85fa99be74c2218f15ca281fba4f"
"sergioariasblanco","2021-05-08T15:02:30Z",53,50,3,"77a249e7907798017ece9f74c5d8ba4b01ff2d13"
"PabloBasoaDomingo","2021-05-05T19:04:01Z",50,50,0,"67d43414f29a760d28d7bef763e05ebe18daf94a"
"sergioariasblanco","2021-05-05T18:10:42Z",91,46,45,"2d65a95bdd451a42d86fb11ae2c60180c51bcf6b"
"DenizAlcobendas","2021-04-08T20:05:06Z",16,11,5,"97136fdbee5a54529b8212fa39f91ee06a69bdf9"
"DenizAlcobendas","2021-04-08T20:01:52Z",6,3,3,"1a8af3e032859f9dc0ee72116866bcfc8e854179"
"sergioariasblanco","2021-04-08T19:32:38Z",2,1,1,"643f47bc0041832b80af649d424045eca56c2bfd"
"sergioariasblanco","2021-04-08T19:30:21Z",170,170,0,"0cbd2396e9da37f5a849c808a86a4f1a72b9e95d"
