"name","date","total","additions","deletions","sha"
"Santiago-Carazo","2021-05-28T17:35:22Z",0,0,0,"a98db162a8ed0e96c59ccd94b32c5c6fd42ea09f"
"Santiago-Carazo","2021-05-28T17:33:39Z",424,256,168,"bef0a1c61de6f42f26549e5c4697cd5a445a5143"
"Santiago-Carazo","2021-05-28T17:33:32Z",0,0,0,"1b138e08b9b0736a712acf8430749ce916daf430"
"Josebermen","2021-05-28T16:52:23Z",42,18,24,"09ce42e89b96cbafe12dc0699e3cd6089b90247a"
"Josebermen","2021-05-28T15:18:57Z",0,0,0,"8206664b1dd5e54b8c84a589ee49f5e30d4c7703"
"Josebermen","2021-05-28T14:52:13Z",4,2,2,"972d7556f69a12be5341b89fde6b0684269505e9"
"Josebermen","2021-05-28T14:52:09Z",0,0,0,"b5047fdec3d615b2a0c3f2b7550e1a1d666c9d0e"
"Josebermen","2021-05-24T10:35:31Z",4,2,2,"4b96442dd8eebd64af339844cbdd00060ebd88ba"
"Josebermen","2021-05-24T10:25:20Z",121,95,26,"6f86e92d8865d0c6e6c012b0203de2996ee51e4c"
"Josebermen","2021-05-15T16:00:21Z",369,197,172,"e29774580c17ba67d1651d34517ebc9f7443bebb"
"Santiago-Carazo","2021-05-14T12:57:31Z",0,0,0,"e02c9c69146ef5ce9a475b8a9d51a5c38c8d6c8d"
"Santiago-Carazo","2021-05-14T12:56:15Z",136,18,118,"a31982b9deda5cf73be17bc0b798e543e8986268"
"fzpabloo","2021-05-14T12:37:55Z",0,0,0,"84468b81a7e1cdd833052180c8b54f7c09f4d2b7"
"fzpabloo","2021-05-14T10:36:31Z",2,1,1,"d75c3faf58bcaddeebed4d3d02dae40d816d9406"
"Josebermen","2021-05-12T09:53:32Z",219,115,104,"e9c23fa3a95b92f0511f1ba283390f57f574eb98"
"Josebermen","2021-05-09T18:02:09Z",78,48,30,"ec6ce9ed140392140c6befe9ca12624f7118bc0b"
"Josebermen","2021-05-04T10:55:06Z",298,212,86,"29fdf6efd9eab1178403ff8a0e36236ae842b05f"
"Josebermen","2021-04-26T18:07:27Z",0,0,0,"8af1e5a225f1343d37a0acfefebe176ec72cc3c8"
"Josebermen","2021-04-26T16:54:15Z",0,0,0,"307f2241d9afa7bd0a48586500ab7016856776e2"
"fzpabloo","2021-04-26T16:32:35Z",2,1,1,"1d3b05e2dcb6907f5ca845f613baf98a36623b59"
"fzpabloo","2021-04-26T16:31:49Z",2,1,1,"a77d7c694fde9180a5e6d39a3c111b913c1b2577"
"fzpabloo","2021-04-26T16:28:12Z",2,1,1,"b297bc1bcdc3d6bcec897155883a0bcdbc0c220e"
"fzpabloo","2021-04-26T16:26:31Z",10,5,5,"b4ef99939bc48547eff0cb239ba643dca67c64d7"
"fzpabloo","2021-04-26T16:25:51Z",8,5,3,"cfa4a4ec693707b1071f4139cc50e6042edeaa9a"
"Josebermen","2021-04-08T19:21:07Z",186,186,0,"7681e84d72ad24b14063ff33ef3578c7fc551b63"
"fzpabloo","2021-03-13T11:22:57Z",9,5,4,"9edd8aae6df4324d767568ecf8a376ed538472ca"
"github-classroom[bot]","2021-03-13T10:58:24Z",737,737,0,"2d2b9729af624211e86697bd56346fad8bc3290d"
