"name","date","total","additions","deletions","sha"
"AlvaroVelascoMuela","2021-05-27T22:20:50Z",1,0,1,"e5b284d03f400fdfd63e7c9f928157344a52b77c"
"AlvaroVelascoMuela","2021-05-27T22:16:09Z",0,0,0,"607d2ee836b2cdbe6595935e2b188a07d86fa895"
"AlvaroVelascoMuela","2021-05-27T22:13:54Z",2,2,0,"3c27462b4b59cbb006f0f90074803f6426a0a3de"
"AlvaroVelascoMuela","2021-05-27T22:09:59Z",0,0,0,"83edf9dba40ded607db73c444ac27aaff8176e2c"
"AlvaroVelascoMuela","2021-05-27T21:51:08Z",1,0,1,"10a77f74f0cbf13e153cb90c9837bddf6429c4fa"
"AlvaroVelascoMuela","2021-05-27T21:48:38Z",1,1,0,"47d5f98d200248be00932e1bc0b0ec232286f1d7"
"AlvaroVelascoMuela","2021-05-27T20:50:10Z",1,1,0,"be4ad7123d02d72a3f7100dc9b0156e2d32bbd16"
"AlvaroVelascoMuela","2021-05-27T19:19:56Z",148,148,0,"484134e292b4263948a1b098d51852386e383547"
"AlvaroVelascoMuela","2021-05-27T19:17:33Z",1,1,0,"51a7bd2f2c50ab7982a49a6781a69664aab1c71b"
"MarioTorre","2021-05-13T15:09:42Z",9,9,0,"dfe731e43e19d4e023c8925c99b3d7c77dce0144"
"Gabriel-S-J","2021-05-12T16:24:10Z",21,21,0,"ebcb97c4d3d12f1301adc735c94f3268a6493799"
"AlvaroVelascoMuela","2021-05-12T16:15:27Z",9,9,0,"01cc2f1d0670d23930a1bbb7939f97a811ef9c91"
"GuillermoQueroPonce","2021-05-12T15:37:24Z",25,25,0,"b9c53c51b572d761a307ed4852c5f2e6e9b577ee"
"AlvaroVelascoMuela","2021-05-07T10:34:37Z",0,0,0,"eaa2f00a9f4d36ddc4cf84a8b46347dba91552cf"
"MarioTorre","2021-04-10T21:38:50Z",0,0,0,"060d42fc80a77d271f208e136efd851421e3f157"
"MarioTorre","2021-04-10T21:38:32Z",1,0,1,"49c107b78771c95841158940b82f5042743e94c2"
"MarioTorre","2021-04-09T12:38:46Z",1,1,0,"7d19a136d3b5bf75ba6e7b26e4b0842358f60506"
"MarioTorre","2021-04-09T12:32:51Z",0,0,0,"c20b05faa5d0a2b88974521c0c61f81ad4beee1f"
"MarioTorre","2021-04-08T21:23:47Z",6,3,3,"d5388f3335ae6e85b08c059b8807f1778a532186"
"GuillermoQueroPonce","2021-04-08T19:52:52Z",73,43,30,"15943ec116da24c5e89fc50ce415b0950594c64e"
"Gabriel","2021-04-08T18:48:41Z",61,33,28,"ebcea6b89c19c9e881750118a5bd4222f227519a"
"AlvaroVelascoMuela","2021-04-08T16:48:07Z",44,44,0,"b3f3e34fd0eff3da1cdec330d391b53a4d2f971e"
"MarioTorre","2021-04-07T22:12:33Z",0,0,0,"c5ea86a51716ebec8458f075619d1ef75085c000"
"AlvaroVelascoMuela","2021-04-04T19:05:14Z",8,4,4,"59e83632773c736649f3a3858cc5c256b09f5800"
"Gabriel","2021-04-03T10:40:47Z",1,1,0,"9fc85dca1333a82b3dddd7d76bb2226efe29f32b"
"Gabriel","2021-04-03T10:40:39Z",4,2,2,"a65d25ac4303d8b023d518868ea4c0a9bdff953e"
"GuillermoQueroPonce","2021-04-03T10:23:47Z",1,1,0,"348a3e5483689586dce688b57d44fc96bce664f3"
"GuillermoQueroPonce","2021-04-03T10:12:40Z",16,11,5,"96a928ff6c016b7dba6f9673f6d56e092f20af5b"
"MarioTorre","2021-03-14T16:44:39Z",1,1,0,"c8538362b265c674340ed14c51d482067e54aae4"
"GuillermoQueroPonce","2021-03-14T16:43:01Z",1,1,0,"6bc47492c1448c27107dc1ef1edf4f24e0cfa211"
"AlvaroVelascoMuela","2021-03-14T12:23:40Z",4,3,1,"d4a0173b08eefe1e173c62ac43f7ed484fdab90d"
"Gabriel","2021-03-14T12:12:31Z",6,3,3,"4b055056f0bce5fbd5e5f70c859d5236232cfcac"
"github-classroom[bot]","2021-03-14T11:39:48Z",737,737,0,"d77fb9392036a058497bc77a2544a0855ffc764a"
