"name","date","total","additions","deletions","sha"
"Adrián Teixeira de Uña","2021-05-28T02:27:45Z",60,30,30,"752596d5f64154d1eadfeabfc6211fe912ea8ec6"
"AdriTeixeHax","2021-05-28T02:23:05Z",0,0,0,"60d0db651d41e25ba8ad4d0a049418ab5f8bf920"
"Adrián Teixeira de Uña","2021-05-28T02:00:27Z",229,159,70,"8e1ceb7176059ccb721674a9a7aeade5a209dd63"
"Adrián Teixeira de Uña","2021-05-27T23:33:08Z",757,431,326,"cefa803f8357395b2bfbadb739945b82340155d8"
"AdriTeixeHax","2021-05-27T18:11:28Z",191,107,84,"55d4fbbc5db1a9a88cdf1621ea6bd35622ab5e1b"
"AdriTeixeHax","2021-05-27T17:57:35Z",513,340,173,"400ba67e75a1a2c21f65c1bef65bd88469259953"
"Jorge Bachiller Cordero","2021-05-27T17:41:41Z",197,124,73,"4eb6ad44b6aea1277140a889c2bd02f6991785e9"
"Adrián Teixeira de Uña","2021-05-27T15:41:14Z",213,105,108,"fec5509ba355d1bb0eb77b7fd3a54e26aa288894"
"Adrián Teixeira de Uña","2021-05-26T20:11:56Z",71,41,30,"5f0d2dd560941f5f4b726e3db44b66dc1561e075"
"Adrián Teixeira de Uña","2021-05-26T16:39:14Z",317,233,84,"3e1db66c6f80d4c9a232f36d6e652374492819e7"
"Adrián Teixeira de Uña","2021-05-26T08:32:19Z",88,63,25,"a9b428f64bb1b3de19e322620d72eadcff7dbd07"
"Adrián Teixeira de Uña","2021-05-26T00:20:54Z",358,238,120,"21436c23eb2a5180e16b46084913a3317a0c8942"
"Adrián Teixeira de Uña","2021-05-25T01:30:02Z",0,0,0,"31f621b4fd88ec35aee2e73f2f6ab32a1a83f356"
"Adrián Teixeira de Uña","2021-05-25T01:28:58Z",334,247,87,"b3921f5ce4196086f07201da5776a09f8deee333"
"Adrián Teixeira de Uña","2021-05-24T19:25:19Z",51,36,15,"9abcfca643c008ad16a8318dd3ed67dd10d84fc8"
"Adrián Teixeira de Uña","2021-05-24T18:42:56Z",0,0,0,"a0aaa7f724c3e36408e3da7b6919e4c765d0ff69"
"Adrián Teixeira de Uña","2021-05-24T18:34:56Z",32,16,16,"5f882a034a6baa2ba8fe08fb9b5b1448d29d3471"
"AdriTeixeHax","2021-05-24T15:42:03Z",886,634,252,"0076ee63235ebdd8756d98a1d4d4d0e38e16ec2b"
"AdriTeixeHax","2021-05-24T15:41:44Z",343,302,41,"99b8c923f512d1b6ae89d805eee79575ce4e6891"
"Adrián Teixeira de Uña","2021-05-24T15:28:25Z",835,483,352,"396019f50e3f45297c45099837d1cdc035646b73"
"Adrián Teixeira de Uña","2021-05-23T16:13:55Z",259,122,137,"6e8a2ff94f62a9da5fff85fe77ffaf6980a59a40"
"Adrián Teixeira de Uña","2021-05-23T15:57:11Z",16,6,10,"2707e8080eda0fc1cd0380bc16af69e09e061aa3"
"Adrián Teixeira de Uña","2021-05-23T15:43:07Z",0,0,0,"6bb5fc39e004c48b03d3c72ada2ad91dcc97870c"
"Adrián Teixeira de Uña","2021-05-23T15:42:16Z",49,26,23,"784c7754036a218f14a1c13e0a20b33a4ab7329d"
"Adrián Teixeira de Uña","2021-05-23T01:11:17Z",71,46,25,"32feb81063d3e118e4c90547a9ca33a0cbae370d"
"Adrián Teixeira de Uña","2021-05-23T00:37:20Z",147,96,51,"817ce335c3bc3646038e03ee4f627e0995c5908d"
"Adrián Teixeira de Uña","2021-05-22T21:35:51Z",396,191,205,"3faeb81a06b20ee4681d9ac354ab34438fae6b6d"
