"name","date","total","additions","deletions","sha"
"jesuppedia","2021-05-27T15:03:36Z",19,16,3,"17c471c50affd4d76629c16726314c76aeb73e75"
"jesuppedia","2021-05-27T14:16:47Z",130,121,9,"77f04d6b508072f3409d58f1cf6ec04227f588d1"
"jesuppedia","2021-05-27T14:12:22Z",0,0,0,"0c8138a23383af2ce5bd4bdd6bee42896e1c52e8"
"jesuppedia","2021-05-26T18:36:42Z",120,79,41,"d3c6c004eed44a1c01c695705fc9fa913311f871"
"jesuppedia","2021-05-26T18:17:21Z",19,19,0,"486c1292e87fdbeef84488d0228139a829ea9d6c"
"jesuppedia","2021-05-13T18:43:28Z",4,3,1,"2dfe21a7d0b0707fcfde4e1880252f32d05abfef"
"jesuppedia","2021-05-10T17:47:38Z",31,28,3,"90c8685ef4260e3da3219ace66a2ef1b671c1cce"
"jesuppedia","2021-04-08T09:32:35Z",12,6,6,"aa41993b33dd04c3b1fa87b5aea8fe914a30a228"
"jesuppedia","2021-04-08T09:31:44Z",8,4,4,"872a3793b9c514d5211df01b1bda778c6c1f2696"
"jesuppedia","2021-04-08T09:31:10Z",11,5,6,"e41d36a1fa4397f83e07cbc1e3543332f6e65ba7"
"jesuppedia","2021-04-08T09:13:34Z",22,21,1,"e9fb50d2798216451b9035ca249ef36641a8f9c0"
"jesuppedia","2021-04-07T08:52:23Z",1,1,0,"c84292f20fb4339b41549c269095ce078bbede3c"
"jesuppedia","2021-04-07T08:40:33Z",1,0,1,"a322bbe3b619cd5429126aa5674e13f7edcb9a2f"
"jesuppedia","2021-04-07T08:39:43Z",0,0,0,"9327d61288c7559e674816ac138bdff31e9a871b"
"jesuppedia","2021-04-07T08:19:02Z",1,1,0,"d950ba65d2af4e960dceaa1f98639edd417962ab"
"jesuppedia","2021-04-07T08:18:07Z",13,7,6,"55a1cedfa4f5eed56684bae05a8e59803bd8aa3f"
"jesuppedia","2021-03-15T10:38:34Z",2,1,1,"1f12e2fe501ab74e03ee942499ac91b933290df5"
"jesuppedia","2021-03-15T09:08:08Z",4,2,2,"7c058aefcd3d43f2a06216cf5f92bd891a8e5db1"
"AlvaroMartin3","2021-03-14T16:47:27Z",4,2,2,"b2ab5f2e973a1907c796b8f68277531781f97abf"
"AlvaroMartin3","2021-03-14T16:43:04Z",7,4,3,"5ed17f315fb2285a35ebbea83773d7e1bb5952b6"
"github-classroom[bot]","2021-03-14T15:18:40Z",737,737,0,"7f41596e684edc0d7d75a9b277a3760d8923ac4e"
