"name","date","total","additions","deletions","sha"
"Lucas","2021-05-28T12:48:10Z",1085,995,90,"458fd2e65a9bfd44f514f854b27e21a610d6a533"
"Lucas","2021-05-14T15:06:34Z",56,38,18,"be3eb961a36b0c33edaff0f8d1a11f6e3aab9009"
"Lucas","2021-05-14T15:04:13Z",283,283,0,"5b5dea618ea19e1985fe60a04ae318e0897c51df"
"Lucas","2021-05-14T14:54:01Z",518,518,0,"0021bccc47b12f63b62215980191b2446dd7c13e"
"elenacasellas","2021-05-12T09:15:15Z",0,0,0,"0ef176ccb8108085d15d0ede35e1e75291b20c22"
"elenacasellas","2021-05-09T13:38:21Z",211,211,0,"3283d5108426651ad6782eee0a2ec829607b944a"
"elenacasellas","2021-05-09T13:38:14Z",255,255,0,"251420e66944bc911bf6cee6dbffce86932bb930"
"Lucas","2021-05-06T22:58:53Z",84,71,13,"58c71030e83c9d1aa6b0cca9054167d1dc06e6e0"
"Lucas","2021-05-06T18:43:16Z",153,153,0,"2c586cacdd0e6559b96ed1fa053203404ec250ee"
"elenacasellas","2021-04-26T10:48:24Z",2,1,1,"cd254fb7fa5a671ca80f4dc27c77c883565222f2"
"lucasceezar","2021-04-20T14:31:31Z",2,1,1,"f738e8b70aec3fe7fa5c6b9113b02155f04bad56"
"elenacasellas","2021-04-18T21:45:17Z",86,86,0,"578201b70ea9cde2a133d1f90d81cb54342bc88e"
"lucasceezar","2021-04-08T16:49:13Z",0,0,0,"bd31ec93ba2c7971a3980a83310b1d93412c0e62"
"elenacasellas","2021-04-08T12:14:27Z",86,86,0,"603deb92bf2def34075acd70be66abbefa14e755"
"lodelolmo","2021-03-11T18:54:45Z",16,10,6,"349c8bd24fbcc88eb6f5adea63a575e99b670d89"
"github-classroom[bot]","2021-03-10T18:28:36Z",737,737,0,"dcd6139bfaeaeabbecabfc931c60eb9d5254b080"
