"name","date","total","additions","deletions","sha"
"DiegoBastida","2021-05-28T18:28:24Z",0,0,0,"6e349c9909e53ce312e55bec124baf4d551494d9"
"DiegoBastida","2021-05-28T18:28:14Z",4,1,3,"4307cc4bc370b97542ae9eff0a012db103d19afd"
"ignaciocartes99","2021-05-28T18:22:57Z",0,0,0,"9bb2d8c4e3da3088fcc13a9c34f1a6ea81563460"
"DiegoBastida","2021-05-28T18:15:24Z",0,0,0,"2973c133c6c21e50bca42cee79c48ee30649061b"
"DiegoBastida","2021-05-28T18:15:09Z",33,9,24,"a6d9955207757ce2de9316c19fb8db658a58425b"
"ignaciocartes99","2021-05-28T18:13:07Z",0,0,0,"fd7b531fa8c30fcdad2f5be6288d0b33a34aa3a4"
"ignaciocartes99","2021-05-28T18:09:33Z",0,0,0,"6f8d3f552bf72ac101fdfbbc258417a4a4e133ab"
"ignaciocartes99","2021-05-28T18:08:29Z",0,0,0,"99fcf44f41c789050e31dbc8c7c1a110a6d23491"
"ignaciocartes99","2021-05-28T18:08:12Z",0,0,0,"866fa00d196b5e7b9028e353503c0e97789efebd"
"ignaciocartes99","2021-05-28T18:01:16Z",2,1,1,"fb90f18cbf55c6a044794272aa27685d1e0d2229"
"ignaciocartes99","2021-05-28T17:57:58Z",2,1,1,"59a20a65dc198e415d9d9cb111b104210705ee4e"
"Diego Fernandes","2021-05-28T17:56:28Z",27,10,17,"fce68280435296393f438d402d36949dc765609c"
"Diego Fernandes","2021-05-28T17:51:15Z",3,3,0,"fa439fb11c2f0fa67fb5f527f983048c3bec3a3b"
"Diego Fernandes","2021-05-28T17:47:35Z",2,1,1,"188944414e9fd6818bcd0a3e63fe377ae4cfb853"
"Diego Fernandes","2021-05-28T17:47:31Z",745,371,374,"5f6a232c184e78bd7614eaec6898b92162703bcb"
"ignaciocartes99","2021-05-28T17:39:58Z",0,0,0,"5c2c11128445d80e59fe08dbc45bc72e9de13bec"
"ignaciocartes99","2021-05-28T17:39:23Z",0,0,0,"f822b815e5bff92c4db19d5b4a45c9c2cc8ce376"
"ignaciocartes99","2021-05-28T17:39:01Z",0,0,0,"1695877f7aecb5252afb5af5db5bd3fdf21347e7"
"ignaciocartes99","2021-05-28T17:38:28Z",0,0,0,"a982f0ff896ef5b44818b29e99ac293bf5aaec89"
"DiegoBastida","2021-05-28T17:20:15Z",2,1,1,"5de1de5705b3816f9e3ecfca5e325cc946ff17e8"
"DiegoBastida","2021-05-28T16:02:01Z",276,51,225,"c9e741d1c8b4821b00b000a84d13a387cab3800d"
