"name","date","total","additions","deletions","sha"
"Alvaro Lopez-Hermida","2021-05-21T11:09:14Z",44,7,37,"36c8d28fd80498593dd99bf9ee80dd33d6df65ff"
"Alejandroillera","2021-05-21T10:47:42Z",252,252,0,"33ef245f114a13ec539eeb177f25555677fb9b99"
"Alvaro Lopez-Hermida","2021-05-19T09:48:19Z",497,474,23,"5d637ca788ea2edb5601b7d0b4a2929c0166bda0"
"Alejandroillera","2021-05-14T09:24:11Z",41,34,7,"3cdfb56105c6e7adeec747f7211df7596143ee4b"
"Alejandroillera","2021-05-12T08:31:22Z",40,23,17,"9f7b39fb322bd68893e292f1e7924786b0b735d5"
"Alejandroillera","2021-05-12T07:45:14Z",83,55,28,"11f54a3ddd261a34e330f8a69050e941b2212f1e"
"Alejandroillera","2021-05-12T07:39:46Z",2,1,1,"81386782900b13ff0199cfd0c27c2519820f6075"
"Alvaro Lopez-Hermida","2021-05-06T15:24:16Z",36,35,1,"3b12bd43545efd476154f6cefd603fc359ba0207"
"Alvaro Lopez-Hermida","2021-04-28T16:09:13Z",49,21,28,"ba6a049c3d1d9bd1c871f289ecc5561c76800499"
"Alejandroillera","2021-04-28T15:18:20Z",9,9,0,"639d86d00effe8d7cee67016b48cd944b8c5c469"
"Alvaro Lopez-Hermida","2021-04-28T15:15:00Z",36,13,23,"db34dfe21e454e2d8134b3ab4146ba0bc5d3b757"
"Alvaro Lopez-Hermida","2021-04-28T14:55:47Z",41,21,20,"8bc3f3c0459219c9852477ca3e3c842304348fb3"
"Alvaro Lopez-Hermida","2021-04-27T15:09:05Z",136,55,81,"030feed58f32f63086d79ebd5a24ca28b86c0932"
"Alejandroillera","2021-04-23T10:01:09Z",4,4,0,"769c05b4dffb87e15236b323337c4e6bf8f7b5e4"
"Alejandroillera","2021-04-23T10:00:08Z",55,55,0,"2e6755ce4a44c8e9a34996cd8c9fe31d32a4f42d"
"Alvaro Lopez-Hermida","2021-04-22T16:51:23Z",20,12,8,"21e0d84aef643cb343228bff607c98328571accd"
"Alejandroillera","2021-04-20T17:06:16Z",2,1,1,"5b92e801baa66b14310d0a55ac3d7001539f2706"
"Alvaro Lopez-Hermida","2021-04-20T16:18:36Z",50,43,7,"7a8fbd38fd91359ed15ed50b3a40dd5eecadc1e3"
"Alvaro Lopez-Hermida","2021-04-20T14:38:52Z",1,0,1,"6abd42b802a248a9dbc35d94a5e6e4c421ed1c7c"
"Alvaro Lopez-Hermida","2021-04-20T14:31:52Z",58,47,11,"10ef92d4ed7615d1e4f81ed9c4de1455e795e496"
"Alejandroillera","2021-04-19T10:41:21Z",0,0,0,"cfe3f8e42a58b47a15ec1ff1184a9d33349cc1d5"
"Alvaro Lopez-Hermida","2021-04-19T07:53:29Z",92,15,77,"3fbbdc3ef79b942c61ba27ff4ee364a9d3d2d6c2"
"Alvaro Lopez-Hermida","2021-04-09T10:52:40Z",4,2,2,"e7fe391dbc01d4e5ed9830a64c6baab5384a92f7"
"Alejandroillera","2021-04-06T21:27:39Z",84,70,14,"2180f4d99f1e0c97799f1c951ff4ecb7d2c86b2e"
"Alejandroillera","2021-04-06T16:30:56Z",2,2,0,"6240f2de7c8be0fa3111c18644eecfd151d92146"
"Alejandroillera","2021-04-06T16:30:49Z",2,1,1,"abc5e581e64793f3b4f696bd60cfad4e30793f69"
"Alvaro Lopez-Hermida","2021-04-06T14:26:10Z",2,2,0,"f4f0ce72f531afd58868564db2f5af0d27718f86"
"Alejandroillera","2021-03-29T11:15:08Z",0,0,0,"3da955fa86525c3005e54750b147b5f2b17c0fb6"
"Alejandroillera","2021-03-29T11:15:03Z",48,48,0,"0eb8e30162a1af58b67ac3b522e497430ce9f3d0"
"Alvaro Lopez-Hermida","2021-03-29T10:04:31Z",0,0,0,"d6a4ac6bcc18acf2edf9501401a61b746a1ba159"
"Alvaro Lopez-Hermida","2021-03-15T11:50:37Z",1,1,0,"922b13e47b52beb2185277d536d65a9f1a6c185d"
"Alopez-hermida","2021-03-15T11:39:34Z",20,16,4,"420c2a2f077405114b6d2fc0fbdaec5eb3ef7945"
"github-classroom[bot]","2021-03-08T17:29:15Z",737,737,0,"df1cb88f2f53f565b39f539823e0b35a66820da9"
