"name","date","total","additions","deletions","sha"
"OscarSaez02","2021-04-08T13:36:14Z",157,89,68,"065be1a41fe49df649a6c7db07c5475fd36dadb7"
"OscarSaez02","2021-04-08T10:12:34Z",21,17,4,"eefb22235c38ca159e4eff1fc4a446c1a4679887"
"OscarSaez02","2021-04-08T10:03:43Z",89,71,18,"c0f0c4fc864817d68ade576a42efa3e0f32fa3af"
"jorge-sanchez-serafin","2021-04-07T17:50:38Z",0,0,0,"a2a641137ea74490245c59eb2b235538cb79eba7"
"Carlos-ramirez02","2021-04-06T18:26:35Z",22,22,0,"a694e6d801e9e525dda4efe3b0ee94423a1b7423"
"jorge-sanchez-serafin","2021-04-06T17:10:44Z",0,0,0,"703f294ac851ca11c607283c5b21f58e9fada332"
"Carlos-ramirez02","2021-04-05T15:27:04Z",2,1,1,"a39cb437658b766b758c980943a86919754e51e7"
"OscarSaez02","2021-04-05T15:15:19Z",8,4,4,"2e16e23ec578ccbfd1e5aa10baba92e89a6c9726"
"jorge-sanchez-serafin","2021-04-04T09:14:01Z",4,2,2,"78e8f7acb49d6da303af8c5e75d9f77e052390ef"
"jorge-sanchez-serafin","2021-04-02T19:41:28Z",2,1,1,"ea5385a6aa3c8ca57e996125eb00b936b96dc30d"
"OscarSaez02","2021-03-11T17:26:03Z",0,0,0,"8276a1bcb7da8a216da0197a3422fdfdd35069e0"
"OscarSaez02","2021-03-11T17:25:13Z",2,1,1,"a0472b69a4fef14e3fdb583346e2b268d57c2fee"
"jorge-sanchez-serafin","2021-03-11T17:10:22Z",0,0,0,"a7f972d51f8d9b876105cc241c9c44fb98592317"
"jorge-sanchez-serafin","2021-03-11T17:10:11Z",4,2,2,"86929bd456acd4e10646a351c6531136bd2feb71"
"OscarSaez02","2021-03-11T17:10:03Z",8,4,4,"1d61e80e2bb49a79ffd91ad404cf6e7269a9dfe0"
"OscarSaez02","2021-03-11T17:09:16Z",8,4,4,"1b5e1c166ff3100001019570f3f967fbcfe6ab54"
"OscarSaez02","2021-03-11T17:06:30Z",2,1,1,"3e81f22e065178a9f58d3cdd3d4737a4d5696f05"
"OscarSaez02","2021-03-11T17:05:29Z",2,1,1,"48c09a33b0482dcfaec171fc798bb9df8a719216"
"OscarSaez02","2021-03-11T16:53:07Z",8,4,4,"557f4b72ae54c41f4ffd5efc3c285fcbbd1a89c8"
"github-classroom[bot]","2021-03-11T15:50:18Z",737,737,0,"a7afa6fb7ab60bca5025f0c301bbb06df4800418"
