"name","date","total","additions","deletions","sha"
"Azuazuazu","2021-05-28T21:32:44Z",7,5,2,"691e9d36b5f907f88a2a09960628f0c2ceb3aba1"
"Azuazuazu","2021-05-28T21:24:11Z",32,20,12,"da6e2142a4fdb138867c498ed2629fc9f18b53b1"
"Azuazuazu","2021-05-28T21:14:46Z",199,75,124,"cd3805a61cace91c5c97792af0b9905a38245307"
"Sergio-MJ","2021-05-28T19:18:26Z",2,1,1,"04e6cbd73220c4ec830e0ff807cc7c40396282f6"
"Azuazuazu","2021-05-28T17:48:52Z",23,15,8,"896c060ae1ee1b47947da04b8ad79b255f7b0f10"
"juliamgy","2021-05-28T17:16:49Z",0,0,0,"aaaaaa1f2bd7efdcc764ac638398f30b869f0d3a"
"juliamgy","2021-05-28T17:15:07Z",91,90,1,"3bad61d8b6355ddbc928bd585c9634a9d96986f3"
"FabioLebron","2021-05-28T17:11:12Z",0,0,0,"4a075f7fb459edb2a50b31b892701f536ac6fe89"
"FabioLebron","2021-05-28T17:09:45Z",0,0,0,"d2e5c0350a4a6226ab290255e0519b0479bb0c4b"
"FabioLebron","2021-05-28T17:01:10Z",0,0,0,"57f2a3594192e5684e2a28bf2dfa32565f473351"
"Azuazuazu","2021-05-27T22:35:16Z",246,143,103,"d1f9091cdb32f05852941f72c8376d6e934cefe6"
"Julia","2021-05-27T20:20:34Z",1,0,1,"128c0ce0cd03d8c30924940d773b58ddf3787b63"
"Julia","2021-05-27T20:19:55Z",1,1,0,"3780bd259c77635795c0ffb4b043cb523a5abed0"
"Azuazuazu","2021-05-26T09:12:09Z",81,35,46,"31b714cc3803ad93dd15cb55d98d3ecb8ebc7ddc"
"FabioLebron","2021-05-25T17:50:35Z",80,42,38,"cb0ee24ebedac6ea3fef6090e89c01a795e56418"
"FabioLebron","2021-05-25T17:21:02Z",0,0,0,"02862fafbf5d4549934a55e11ffcbcdc187fbfe8"
"FabioLebron","2021-05-25T17:19:26Z",0,0,0,"c796eaab5e01eaf75bf21b437b3d435c2d981ccc"
"FabioLebron","2021-05-25T15:15:14Z",0,0,0,"baafc4eefcf5431c5ba37de254b7be107a85604d"
"FabioLebron","2021-05-25T15:13:37Z",0,0,0,"95fd129781e3cf57bb6afc368f74aed86c32795f"
"FabioLebron","2021-05-25T14:52:55Z",4,2,2,"ee6b144e5411a4c5f8cf66f59d91c4be61389521"
"FabioLebron","2021-05-25T14:02:31Z",6,3,3,"f6acfcca92230ef616d449ab691f55fe1886fbcc"
"FabioLebron","2021-05-25T13:59:51Z",4,2,2,"8accf8af349ef790065079dceadd6e22bc1e87b6"
"FabioLebron","2021-05-25T13:47:03Z",2,1,1,"252b57cbe1ab452ffed8dd48f960ef53e2738f5f"
"Azuazuazu","2021-05-25T12:37:16Z",282,259,23,"9665d97da9fa3b756876ea49d857f8701aae7c4b"
"Azuazuazu","2021-05-23T17:11:49Z",126,98,28,"fd4e948a8bb38efb87a4bbbc7605406ebb58b995"
"Sergio-MJ","2021-05-23T15:09:54Z",0,0,0,"2ec4dedc93848ebdd477c10324cc5602846fd46a"
"Sergio-MJ","2021-05-23T15:08:19Z",84,45,39,"725ef5cf20a2eab14b834f80acad58791690d160"
"Azuazuazu","2021-05-23T14:48:21Z",4,2,2,"d71b33748f6d062e3b22526e2abd02e31830cf6d"
"Azuazuazu","2021-05-23T14:34:38Z",0,0,0,"964b7bb93c9d8617f7d37d2bdd9aaa494696ce20"
"Azuazuazu","2021-05-23T14:34:34Z",32,23,9,"4a9f43905feb201f13bcf3653ec601587429c990"
"Julia","2021-05-23T14:19:51Z",0,0,0,"776a825799ba66c2537f35585dd540ee1ee521f3"
"Julia","2021-05-23T13:45:58Z",0,0,0,"07b34ef814b0c1c343bc7c6eae1b93bc27b3d3a0"
"Sergio-MJ","2021-05-23T13:28:01Z",154,137,17,"52af2e8ce17d872545ea8a9b61e6ee077754033b"
"Azuazuazu","2021-05-23T12:07:57Z",27,19,8,"afe622319932262e9ccc86745517bda29049ac01"
"Azuazuazu","2021-05-23T11:24:44Z",51,35,16,"7be7bb4dce67c3335c827e7b46d1503dc43387ae"
"Julia","2021-05-21T19:35:28Z",0,0,0,"07850c90ca003951e1e5bac9a09954fec445576b"
"Julia","2021-05-21T19:34:07Z",0,0,0,"809f2dcc8ad7481a3ace75655f2aad9269c787a1"
"Julia","2021-05-21T19:28:09Z",0,0,0,"1d5e168ec9a7ed039764fad0831bf1f6426afb59"
"Julia","2021-05-21T19:11:47Z",0,0,0,"46ed8b5b5b0a2e2c7dc66d132f63e17947c0fa92"
"Julia","2021-05-21T19:10:47Z",0,0,0,"f1e63b31a48914f3ce8105bf6e02e718b40622f8"
"Julia","2021-05-21T19:10:13Z",0,0,0,"0d69f9ded53bcec5b49718929ff398b113490458"
"Julia","2021-05-21T18:53:36Z",0,0,0,"4cbcc0c7d3d67015d858c88a8b0da7e1f50f6e8c"
"Azuazuazu","2021-05-17T09:00:12Z",48,22,26,"c5ab803f2b619f6bbfd55d277ba683dcfed9fa6e"
"Azuazuazu","2021-05-16T21:45:56Z",65,39,26,"e5a2a6e9f3fe662460612ae0c5f9bdebaef0ab44"
"Azuazuazu","2021-05-15T18:56:02Z",141,87,54,"05e0c092f3c36d622e80e481f6577c298d1d5556"
"Azuazuazu","2021-05-14T21:26:00Z",3,2,1,"37c99d998090986ffade145ea67386e51b9a42ce"
"Azuazuazu","2021-05-14T21:14:56Z",177,162,15,"12f18b4b378f5edb74d11dd72a71a991b1bcc6eb"
"FabioLebron","2021-05-14T20:32:01Z",16,8,8,"ba64c762dafbed55a98bf7c5b41ceef1c02cbc11"
"FabioLebron","2021-05-14T19:54:29Z",160,7,153,"f0dc30b4f15eef3fddfcf4bc4ad1ae27a93bdf64"
"FabioLebron","2021-05-14T19:54:18Z",47,6,41,"f82dd3e27b2eadbd04a9d605571a61da19bcf682"
"juliamgy","2021-05-14T17:21:03Z",160,153,7,"9a3ce0de0d62bc2becc2e84fa1bff347fc5869e6"
"juliamgy","2021-05-14T17:10:22Z",47,41,6,"ec27f661de00cffbdcc1813ad90f74ae413203ed"
"Azuazuazu","2021-05-14T16:49:11Z",38,37,1,"d461a6e6605620c835bb4f38716e3cde4dac83b6"
"Azuazuazu","2021-05-14T13:03:31Z",9,4,5,"40f66b25d12b11a0301d7f6e3f20e775e492f558"
"Azuazuazu","2021-05-14T13:00:12Z",5,1,4,"6f7e07aff3ceb7216040ebb05e1b26ca8eb51c86"
"Azuazuazu","2021-05-14T13:00:03Z",2,1,1,"5dc1fa46783a8a2924344644541512a93faa1cfc"
"Julia","2021-05-14T12:08:29Z",5,1,4,"69225a1e7eba3ab3098e3c6cabefa77b3ce7a1f9"
"Julia","2021-05-14T12:08:14Z",352,306,46,"b91f8fc5f76f8fcb9d1368b6d3413cc62413bf21"
"Azucena","2021-05-14T11:37:41Z",128,121,7,"7ff807cb3f9a36fe20998631c21c68b0632d8059"
"Azucena","2021-05-14T11:37:31Z",116,90,26,"3cd60b1d5d8dceb34a6d1089ce8befbbe34906dc"
"Sergio-MJ","2021-05-14T10:53:37Z",81,59,22,"d1ef62ddf3396609d4c2dd95cf7bc5db5a534943"
"Azuazuazu","2021-05-14T10:32:57Z",125,118,7,"aa4b165d62e9cc0954e53740d73803057a46fffd"
"FabioLebron","2021-05-14T10:13:29Z",2,1,1,"75d16b2331334b9f6289328e9b4df64174c4612a"
"FabioLebron","2021-05-14T10:09:17Z",30,27,3,"a23f8de038ec6f24841b133e07cbb68d141304d3"
"FabioLebron","2021-05-14T10:07:05Z",42,23,19,"4aee2747d39d7e95a6e1a5d391a94d3b4b64f4d8"
"FabioLebron","2021-05-13T22:10:45Z",24,22,2,"9e6886bff1f150de580d53240aca369032944eda"
"Azuazuazu","2021-05-12T20:42:50Z",57,38,19,"acd1011c08287ed46384e6ea1535d2a796166407"
"Julia","2021-05-12T17:30:51Z",37,37,0,"4bf0044cb9b55a8c863ee91ae4ea58f89b5cb211"
"juliamgy","2021-05-12T17:30:17Z",37,37,0,"683ccbce2b74464c080e7a0c5b44009f9e38ba15"
"Sergio-MJ","2021-05-12T16:17:44Z",35,35,0,"22a41a2baaac82e45aa4f7aee3b731132135e210"
"Julia","2021-05-12T15:19:21Z",73,70,3,"98d0ea78b863df92db86751dae188fe8ab5ee265"
"juliamgy","2021-05-12T15:11:23Z",73,70,3,"d7c565338a038349bbcf46c8b69f1c94af373353"
"Azuazuazu","2021-05-11T22:50:25Z",43,24,19,"7d02a7f833e68f4ea7db9f80dde2f66f2fbf599d"
"Azuazuazu","2021-04-09T17:53:59Z",298,160,138,"ece14729b9ce862fce48ed047705fcab0d5b499b"
"Azuazuazu","2021-04-09T16:45:23Z",125,111,14,"669285a950d23ad53d10ef02ba50061b8f5d4b0e"
"FabioLebron","2021-04-09T11:05:35Z",57,57,0,"05daf3270ad480f2ef60db7eea33556410338f6d"
"Julia","2021-04-02T15:39:06Z",0,0,0,"c9c7d14009424cd73558ecc1364ac88a7975201b"
"Julia","2021-03-21T16:16:12Z",8,4,4,"6ffda84dc24874903316973b54a4bd483db58e30"
"Julia","2021-03-21T16:10:27Z",27,15,12,"e82f0a69c88a9ad918eb59e1d95e9f82de36a1ea"
"Julia","2021-03-14T13:14:12Z",14,11,3,"b35dd73d48398a6f34e60e376fe10d743c927143"
"Azucena","2021-03-10T09:09:42Z",4,2,2,"34f4b86c5a3b8a1d4c39e4e14680eea057d4cd71"
"github-classroom[bot]","2021-03-09T19:05:57Z",737,737,0,"e49b5f223de4d9dd887d8b6436b6c7ca2f90a0de"
