"name","date","total","additions","deletions","sha"
"MiguelGV22","2021-05-28T16:58:06Z",0,0,0,"e1b49df367f98122ea9762dca2a6e8ca74f3c0e3"
"Davidd02","2021-05-28T16:42:14Z",8,4,4,"98ef547e08f6bb770a3d289d1183a13c25441796"
"MiguelGV22","2021-05-28T16:38:13Z",42,38,4,"54402bc4bcc6bed9f547debb505fa86484ea801b"
"MiguelGV22","2021-05-28T16:38:09Z",17,9,8,"ca953a3549242adc28e70102f5fd81d2275950a5"
"Davidd02","2021-05-28T16:16:04Z",0,0,0,"4c89f616eafd075eefe575609b7358f3c56f6d43"
"Davidd02","2021-05-28T16:15:40Z",42,38,4,"a84373f3c2af472a6d6354b4087ba9fb78428c02"
"MiguelGV22","2021-05-28T15:56:11Z",0,0,0,"01fbed6bf501dbf5491c0eb7ddd9d28920d18068"
"Davidd02","2021-05-28T15:07:29Z",6,3,3,"8d45baaaf06c1de688f27a726c931008b55d69e8"
"Davidd02","2021-05-28T14:51:47Z",18,11,7,"876b4dfeab39c3280f927179dc7fc0206a3ee837"
"Davidd02","2021-05-28T14:16:11Z",16,12,4,"84ccef8ee4983d2244a02444d1f888335d32e8b9"
"MiguelGV22","2021-05-28T07:58:07Z",0,0,0,"aac6d0264adc92c6f1ddb60b7f0f1898d492943d"
"MiguelGV22","2021-05-28T07:40:18Z",0,0,0,"ebb181c6e0ffc3fb341875611afc8d93752f2025"
"MiguelGV22","2021-05-27T21:14:10Z",0,0,0,"e9f6025158c8b90eeb8c564a9ea0a3c81d0a2ab2"
"MiguelGV22","2021-05-27T21:10:34Z",0,0,0,"021eeef4fb678ee77d1951cc815bff8e4cad3923"
"MiguelGV22","2021-05-27T21:06:23Z",0,0,0,"c67a59cd62b78795abba6401bb0c9516b8ca4d92"
"MiguelGV22","2021-05-27T20:57:40Z",0,0,0,"8fa9e8e9ef5523a7b0c1580d3ed29fa021e2333b"
"Davidd02","2021-05-27T20:33:13Z",0,0,0,"7f3a60d34546e1cbc3163a22255c99bed2fb1738"
"gonzalopeinado","2021-05-27T20:31:19Z",0,0,0,"29abe31ce90dc509212f80aba2fa64a9b0a4b571"
"gonzalopeinado","2021-05-27T20:25:25Z",0,0,0,"23317adc8d503d450d4a77a567e81bd6aed6ec8d"
"MiguelGV22","2021-05-27T20:13:24Z",0,0,0,"8d04602ccc619106832801d8230d69fabd0c9989"
"MiguelGV22","2021-05-27T19:39:12Z",0,0,0,"90616a66f81c92dc1d3c5b041ddee3fb85324347"
"Davidd02","2021-05-27T19:13:35Z",56,28,28,"facd6bdaf08aa5b65a897b20acc56d64c931bc39"
"Davidd02","2021-05-27T18:33:16Z",4,2,2,"abb23fbd1fe378707d7469746208b10be6511b70"
"Davidd02","2021-05-27T17:18:41Z",2,1,1,"867e7029ee89a8905b883e812e385f4f43607dcc"
"Davidd02","2021-05-27T17:18:38Z",40,15,25,"873b63f1c1580fe69e2da3900886002b2dfeb8f3"
"MiguelGV22","2021-05-27T16:51:41Z",2,1,1,"c2d0f47defaaaa0276edf1c08064e1b886b8513b"
"Davidd02","2021-05-27T15:50:11Z",24,22,2,"ade398aea5ea269acf22c83468528e25fec1aebb"
"Davidd02","2021-05-27T15:31:59Z",40,16,24,"e35fabdb6f174bcd028555fcd47d8f83e129efc2"
