"name","date","total","additions","deletions","sha"
"Sergio Díaz-Maroto Lara","2021-05-27T16:53:30Z",2,1,1,"62525fa8be69861225c1847731109a6b18ad343e"
"Christian","2021-05-27T16:02:05Z",2,1,1,"01fb6202a4f999a7c455b7ab9ce2c1f5e5b21860"
"Christian","2021-05-27T15:52:51Z",0,0,0,"f05bb623071faba172bcd3a4ad53e77f6cdd18bd"
"Sergdml","2021-05-26T08:23:30Z",816,0,816,"f834fd97046b5fd2bc87f5a9e0ae5508fc940a3e"
"Sergdml","2021-05-26T08:15:32Z",117940,0,117940,"c825ec875752ea3c130ceda97bf32e15d79375b9"
"Sergdml","2021-05-26T08:01:35Z",16,6,10,"fa62af90d77b140e1401f3744f074735734f72c2"
"Christian","2021-05-25T18:09:14Z",435,422,13,"189364dedb2ef6e27ca6299a4ddfd5eb362c4c48"
"Sergio Díaz-Maroto Lara","2021-05-24T09:08:12Z",126,118,8,"98d3583bf8638dcdcf544ed0e29ffc50e66bee08"
"Sergdml","2021-05-24T09:06:51Z",126,118,8,"dc19b17e836c57a3eb80ed55d61d9c6c22b21b46"
"Sergio Díaz-Maroto Lara","2021-05-21T11:34:01Z",71,39,32,"eeb9fb46208b60d5b7b34d5e99afe853ee6decc9"
"Sergdml","2021-05-21T11:32:26Z",71,39,32,"27e2ee3755b6d0ba36b8504f46a8f55b8a4c0933"
"Sergio Díaz-Maroto Lara","2021-05-21T10:03:05Z",436,427,9,"3db34e3ffdceadf015724f100e4d757ad7e3de1f"
"Sergio Díaz-Maroto Lara","2021-05-19T07:45:20Z",118,59,59,"2caa1c7170b9cb67ca75871ca388e7f007880437"
"Sergdml","2021-05-19T07:42:06Z",118,59,59,"e5807d5b00f8207c1a00d44822cdc7111aac9d7b"
"rubencasstro","2021-05-17T12:01:36Z",0,0,0,"648bc4e1006a486a70d926a41fcaeb40ee407ebc"
"rubencasstro","2021-05-17T11:02:36Z",436,427,9,"5884669de0be85e5fb292e0e98eeffa1e6817a90"
"Sergio Díaz-Maroto Lara","2021-05-17T07:51:34Z",409,0,409,"b556daed7740f8376f7714492ab20f059aa4fa84"
"Sergdml","2021-05-17T07:45:45Z",830,348,482,"ac2da28f06f269a19f9f91dea2ca399646a78be3"
"Sergdml","2021-05-17T07:27:10Z",4,0,4,"1c02fd05d64544d8b728b0109a04eb8dacb4a308"
"Sergdml","2021-05-16T22:39:01Z",6,3,3,"02964631f908fdba8e25ddb22d37153df34a2270"
"Sergio Díaz-Maroto Lara","2021-05-16T22:31:07Z",423,72,351,"faff57051ddd12a8e1acc55c52154d9315a1ace2"
"Sergio Díaz-Maroto Lara","2021-05-16T22:29:34Z",423,72,351,"7547f68b237453159d04c169eafe1fe8331bbb77"
"Sergio Díaz-Maroto Lara","2021-05-16T22:25:13Z",423,351,72,"2c399edf4ba5904eb9dd6ddb947fe93cd7f1c4df"
"Sergio Díaz-Maroto Lara","2021-05-16T22:24:37Z",423,421,2,"f59de2879231ae370652bd70fc37751d10db1ed0"
"Sergdml","2021-05-16T22:22:11Z",3,0,3,"6e7eabe9c40275b17482f1c35205f8fb92ed8a39"
"Sergdml","2021-05-16T22:18:23Z",422,349,73,"7c3accf190155e56dfcdd95ad070690fdd4ba12e"
"rubencasstro","2021-05-15T14:19:13Z",12,7,5,"546d0d37fd54bd1652da8cb6d6c36c156a672594"
"rubencasstro","2021-05-15T14:08:50Z",419,415,4,"2de89ba0f9d64e8016615250145225366253b796"
"Sergio Díaz-Maroto Lara","2021-05-14T20:59:53Z",22,11,11,"0c6263718766c0b7624bb36f9b49231af6efb0c3"
"Sergdml","2021-05-14T19:50:19Z",20,10,10,"820d3645aed10d5689744b49d4a59b87bc72a296"
"Sergdml","2021-05-14T19:40:52Z",20,10,10,"c9cab692a27bcf4e2c9deb8285e90dcf14b96f94"
"Sergio Díaz-Maroto Lara","2021-05-14T19:26:02Z",302,288,14,"06c4229df5fe654ac7d9bd0b043ae16eb31d5144"
"Sergio Díaz-Maroto Lara","2021-05-14T19:24:58Z",32,29,3,"93c04fe3a10ee6f22efb17f12a1c5627608df7e8"
