"name","date","total","additions","deletions","sha"
"Javierdelahoz4","2021-05-26T09:43:05Z",2,1,1,"fbf9eea54a1b910d1dcdd5eb5c03b1ed1af9a942"
"Javierdelahoz4","2021-05-25T20:18:31Z",60,30,30,"09c5467d64701f20444dff3d10e9286ebc8a2b37"
"Nachofdez2708","2021-05-25T17:51:02Z",1,0,1,"17dc9c8632c3e3c720ac6b8ef3bc7aa09cd293b6"
"Nachofdez2708","2021-05-25T16:55:39Z",1,1,0,"a427c9bbb3092c13f2f0164717104113293dd3e5"
"Javierdelahoz4","2021-05-24T09:20:47Z",26,26,0,"db63dfe515b585eb93316996f13e9ade4b14030f"
"Javierdelahoz4","2021-05-24T09:08:39Z",16,11,5,"b2a15a93b12e5cde0e7044c4a2e3fb50ffcde425"
"inigoazqueta","2021-05-23T17:29:48Z",6,6,0,"a3e427f93398f51356eced87f3aee73115d4c10c"
"inigoazqueta","2021-05-23T17:29:42Z",0,0,0,"3951c4a37d34da4d268824025c16d69bb4135744"
"Javierdelahoz4","2021-05-23T17:26:47Z",6,6,0,"b122bac1898e6ef43c10159fa632eab6b55ce517"
"inigoazqueta","2021-05-23T17:26:08Z",657,0,657,"eafdd138e864ee4b21473bd1ebf145a1f796d535"
"inigoazqueta","2021-05-23T17:23:36Z",27,16,11,"cb8ccc531913849ac9fcea9847f8f1093aa15b1a"
"inigoazqueta","2021-05-23T17:13:53Z",4,3,1,"8aa791d9fd29fc4aff3a17c1dfa3cbc155ad1f83"
"inigoazqueta","2021-05-23T17:07:36Z",4,1,3,"189a262ca4361ee4e3d30e2a2f95050edc3d01b8"
"inigoazqueta","2021-05-23T17:05:10Z",2,2,0,"9d619bae5b0541a801823d066e4bba1f849c8776"
"inigoazqueta","2021-05-23T16:49:38Z",9,6,3,"751f8545ae4fa981868e4a4dcd31088ad8380e05"
"inigoazqueta","2021-05-23T16:45:57Z",80,76,4,"6c927eeef3bf309432bbfb7ddb800a80789e8291"
"Javierdelahoz4","2021-05-23T16:43:58Z",36,36,0,"947d9e85ce4b1737400eae8fb2778aaba8b96b2d"
"Javierdelahoz4","2021-05-23T16:42:57Z",39,39,0,"b8bf8f25cc41e1e59f8ca4ff370b18727384f457"
"inigoazqueta","2021-05-23T16:41:23Z",6,4,2,"f678e0f0dfa9ee6b9a223f8a79cbde1e2a25ff72"
"inigoazqueta","2021-05-23T16:41:18Z",117,63,54,"c18e826e1529f8f15f3445e2715f4f8c557cbb0e"
"Javierdelahoz4","2021-05-23T16:37:13Z",6,4,2,"d3b4db6581c4e6c25051e969a6f009ca97b1067f"
"inigoazqueta","2021-05-23T16:35:46Z",7,4,3,"f9027d373a83ced31e19a4217ebbd88c5e0ad16a"
"inigoazqueta","2021-05-23T16:35:35Z",8,6,2,"9669c8d7b8ba976d73324266c49bf16d96cfd2bc"
"Javierdelahoz4","2021-05-23T16:35:29Z",7,4,3,"1af731b25dbfbb024cf7eb1ff835913a5accb6dc"
"inigoazqueta","2021-05-23T16:32:26Z",12,8,4,"84ebec295512172708642390ed1566d8c0eb3295"
"Javierdelahoz4","2021-05-23T16:32:22Z",5,2,3,"9243e5cc23d5429bdda96356efa4112480846880"
"inigoazqueta","2021-05-23T16:32:20Z",53,53,0,"b517a8a276f4e062fe46f7e5aa1d0b9ba649d17d"
"Javierdelahoz4","2021-05-23T16:31:40Z",4,1,3,"635cb9a64ced2ef48f87dbb7f227b02b07ec5eb7"
"Javierdelahoz4","2021-05-23T16:29:08Z",3,3,0,"4b021171482180a0e214efc67d3a126e981955a7"
"Javierdelahoz4","2021-05-23T16:27:43Z",4,4,0,"d9a9b06545f0edb1a500107e1a5e3d8ee994858e"
"inigoazqueta","2021-05-23T16:17:45Z",134,61,73,"35e32bfefa940c9e9464c6d787a15e4c9d2f0ae2"
"inigoazqueta","2021-05-23T16:17:33Z",30,19,11,"7329236ece59e6c1da8663e2a943b9041cbe0887"
"Nachofdez2708","2021-05-23T16:14:31Z",1,1,0,"ae70644b68c5f78afb7a57986855bdd7e7f0c92b"
"Nachofdez2708","2021-05-23T16:13:42Z",2,1,1,"0e4a92706b776fe1e0649b7d74490363e5748581"
"Nachofdez2708","2021-05-23T16:10:22Z",70,0,70,"4d4f8ab9c1ae1e0ec27276ecad11fdd085952b85"
"Nachofdez2708","2021-05-23T16:09:55Z",61,59,2,"7a40b810eeafea7c3690f2f62acf402718d8f2bc"
"inigoazqueta","2021-05-23T16:05:04Z",17,17,0,"9a9602caea246a09f83ccbd10cf366cfdd353c34"
"inigoazqueta","2021-05-23T15:37:41Z",2,2,0,"b1ba943935c5e3b1ec7810aeed08bb2fd75e09cf"
"Nachofdez2708","2021-05-21T20:32:29Z",3,2,1,"d346504ec98ce36e48069698e7a8ebc5a995c111"
"Nachofdez2708","2021-05-21T20:31:18Z",2,2,0,"09dfd0801c11a00d719dd1b81d9d137e092bdd36"
"inigoazqueta","2021-05-21T10:53:34Z",12,6,6,"0e9bcef461bb1b21f51bdfe5378e9b48bc2c9603"
"inigoazqueta","2021-05-21T10:39:38Z",0,0,0,"8d514f160a3e76cd81e699abcd540676958d813b"
"inigoazqueta","2021-05-21T10:04:21Z",0,0,0,"5f9dc82a11cd44a54606812f2574733740cbdfca"
"inigoazqueta","2021-05-21T10:04:09Z",0,0,0,"f4043472d61dbeb6c3f055306dfd8e94c5376402"
"inigoazqueta","2021-05-21T10:03:53Z",0,0,0,"c9cbfb1d07acbeb9e632d535b83ee7e893419bff"
"inigoazqueta","2021-05-21T10:02:36Z",124,70,54,"41406372e491598ac2e6956166d78404c9767d11"
"inigoazqueta","2021-05-16T18:12:38Z",6,3,3,"eb45960a8c25d75871e02ce12911c90467aa422c"
"Javier De La Hoz","2021-05-14T12:01:42Z",6,3,3,"f72cb601bb3b103678cb8f419daf5535ea719cc4"
"Javier De La Hoz","2021-05-14T11:58:00Z",431,120,311,"24771bd6a237a08a3f3adc3f65ce6d0cab344987"
"Javier De La Hoz","2021-05-14T11:31:40Z",0,0,0,"228d50d5d057e7d8a1f3e54859570b628293a8c1"
"Javier De La Hoz","2021-05-14T11:20:22Z",103,0,103,"bc1619a3cff49d37cf2d2cb52afce415e9ee7fe1"
"inigoazqueta","2021-05-14T11:09:57Z",32,13,19,"62c1e0339f5ed5a6ed11070bab1387ccbaccacaa"
"inigoazqueta","2021-05-14T11:09:31Z",32,13,19,"aea225dce1b72359852f02836cd58ef179f829f7"
"Edufdezg","2021-05-14T10:08:22Z",100,100,0,"e60d0e1c223c0f0e4c2cf034675a7e27561f1ebe"
"inigoazqueta","2021-05-12T16:12:30Z",18,14,4,"939215f8c96b461d11b30e477ef54b12ae6e3ce2"
"inigoazqueta","2021-05-12T16:12:07Z",18,14,4,"56d24464417db654f106e27163515ad44f41fc5a"
"inigoazqueta","2021-05-12T11:16:50Z",10,5,5,"465cff124d53df9dfd084085cbeecd427e72b5b4"
"inigoazqueta","2021-05-12T10:40:50Z",153,32,121,"ff2ab6da40ed056bbf62a0f8a98ea79add6d6b4e"
"inigoazqueta","2021-05-12T10:40:43Z",12,7,5,"85aca0880f205977723010b01f7797e5b70e42f4"
"Nachofdez2708","2021-05-12T10:34:39Z",30,30,0,"74947dd1998cd3d5b9e78b6627b01eab79edbf2a"
"Javierdelahoz4","2021-05-12T10:29:15Z",123,2,121,"350378e5169a79509dd427a246924bfa2a81a960"
"Javierdelahoz4","2021-05-12T10:24:17Z",24,11,13,"19d7d3b287dd61a2316d3baa504cdd72c08eb9a6"
"Nachofdez2708","2021-05-12T10:17:26Z",21,2,19,"1452b18271b5a857d910e3ddf452fc7106448d41"
"Nachofdez2708","2021-05-12T10:15:43Z",163,0,163,"60441e9ccd44830b183cd35c8506a5705e81b1d8"
"Nachofdez2708","2021-05-12T10:12:40Z",38,38,0,"5d3728c4c0e8ec20f6eeeb1d0913c2b7a6a669b7"
"Javierdelahoz4","2021-05-12T10:08:14Z",219,0,219,"a8f0d3388db56cf277b95d19b35a70b7e8b2f905"
"inigoazqueta","2021-05-12T10:07:28Z",506,55,451,"ebe154076b972d2756bf2ebe59e17816d42b528a"
"inigoazqueta","2021-05-12T10:07:22Z",18,11,7,"fc32d6fb1f180a107ae7e6e296b7d2696350eaa1"
"Javierdelahoz4","2021-05-12T10:00:42Z",267,25,242,"4e1070de625e746773c33da3b8343bf3eaef2903"
"Nachofdez2708","2021-05-12T09:58:43Z",0,0,0,"59010a4aa871883dc185ba5be7cf093fa2576ae4"
"Nachofdez2708","2021-05-12T09:57:32Z",29,0,29,"d1ce84381ee2786c014db39156392ad2aa3cd0a9"
"Nachofdez2708","2021-05-12T09:56:39Z",180,0,180,"1aee39c1fd592cdd1e7f2b695660c6493bd24122"
"Nachofdez2708","2021-05-12T09:52:51Z",30,30,0,"3395755c6058fbb1b483eeb8c642f01ed757ab0d"
"inigoazqueta","2021-05-12T09:47:31Z",407,280,127,"12fb183505799ecebf3052f6b215db212ec4551c"
"inigoazqueta","2021-05-12T09:47:28Z",25,18,7,"cdef4ed36e4685ccbe49648e2af3f762a99e2761"
"Javierdelahoz4","2021-05-12T09:46:20Z",60,30,30,"1dedd88abcc6afebf95908d519f9e5fad5fe9ccd"
"Javierdelahoz4","2021-05-12T09:43:36Z",241,241,0,"27e1e33ddb1834bad99a42487068251100704b9e"
"Javierdelahoz4","2021-05-12T09:42:35Z",1,1,0,"4bd49bd20e77d9148f2c148fdaa122f5ca699b9d"
"Javierdelahoz4","2021-05-12T09:40:10Z",0,0,0,"02dc88542e453331f91e303f931e98e64ac7cdbb"
"Javierdelahoz4","2021-05-12T09:38:19Z",119,0,119,"b28f82c310675ddcc67ec66c63487e9142ebba60"
"Nachofdez2708","2021-05-12T09:37:58Z",0,0,0,"b5a5273f8cdc42bad91407acfe72e9f5b88fa4d5"
"Nachofdez2708","2021-05-12T09:35:02Z",9,2,7,"bd76211c3a0c58442b7048e00c4b9a23deb19f1f"
"Javierdelahoz4","2021-05-12T09:34:32Z",0,0,0,"534bf67551d7a22505460fbdf00414056c9b37fc"
"Nachofdez2708","2021-05-12T09:34:17Z",5,5,0,"5d646c467033b265fac3fdca75735de9a71ace57"
"Javierdelahoz4","2021-05-12T09:33:21Z",179,30,149,"a53cf97e14388002b2d22f0c6535c7afdab8ffaa"
"Javierdelahoz4","2021-05-12T09:20:19Z",150,149,1,"367483bfbe3adccbe9b76894a0897aff7dd3c939"
"Javierdelahoz4","2021-05-12T09:18:41Z",0,0,0,"f9aed348a2f86ad809c7012992de1587508bc7b8"
"Javierdelahoz4","2021-05-12T09:16:53Z",2,1,1,"d7e1db73dd8f6f860a307a47a95b0d063f8d92e1"
"Javierdelahoz4","2021-05-12T09:15:15Z",1,1,0,"afadf2c4052e57fba19ede5cd7bd178a5805b5cb"
"inigoazqueta","2021-05-12T08:53:18Z",3,1,2,"e968f2f13235a3480495f081cfe0ffc156a71617"
"inigoazqueta","2021-05-12T08:50:26Z",5,0,5,"6410b6c5f794586d658986aff195d66144837524"
"inigoazqueta","2021-05-12T08:49:27Z",32,32,0,"ea709edac597f6ef38ee663328c46ed5003d523d"
"inigoazqueta","2021-05-12T08:34:50Z",49,49,0,"205170bc1b3f27506d01da20380a899829bfce8d"
"inigoazqueta","2021-05-12T08:34:43Z",6,3,3,"b953f5ca19dcd6664651c03542c3b99cc8b62182"
"Nachofdez2708","2021-05-12T08:31:05Z",0,0,0,"f511adaa88d1a3a49f8b80dd43ca00feecbb417f"
"Nachofdez2708","2021-05-12T08:29:05Z",49,49,0,"ef2362c974b82a97028d78bec57c0aca487a08ee"
"inigoazqueta","2021-05-12T08:25:30Z",0,0,0,"d585cab6497e10596439c3fc1c32aa68c40a7291"
"inigoazqueta","2021-05-12T08:24:53Z",432,0,432,"b8624b3eba85ed7a12ce5f5f2dcd04eeb612099e"
"inigoazqueta","2021-05-12T08:22:35Z",38,30,8,"8b3ea923cfda09c607bd6360e4b91dd725f9db1c"
"inigoazqueta","2021-05-12T08:22:22Z",179,179,0,"d8339b373d6172d123782917f7c012fe7b593af7"
"Nachofdez2708","2021-05-12T08:11:38Z",1,0,1,"6fe9547cb6def7ac703afab2b0cafbe8ca639bb9"
"Nachofdez2708","2021-05-12T08:11:13Z",8,0,8,"1bd689ae359fbd915bc7fd7d60824989d6912ea0"
