"name","date","total","additions","deletions","sha"
"Marco Antonio Pinto Tapia","2021-05-28T22:23:57Z",0,0,0,"9240e586f831e57ec4265dc9b130b006aaa66d86"
"Marpiki11","2021-05-28T22:04:43Z",144,72,72,"f8b2c0d90c5c89a4a0bd14c492e2557257112613"
"Marco Antonio Pinto Tapia","2021-05-28T21:52:44Z",1096,0,1096,"29d4b09121625f4c6393fda79c8dc6b833ea3071"
"Marco Antonio Pinto Tapia","2021-05-28T21:47:13Z",191,30,161,"dca828ab329e2a99e6f7d7f3f8725251168b9e08"
"Marco Antonio Pinto Tapia","2021-05-28T21:39:44Z",16,8,8,"8530aef569ad0dec74a4916cc76da57cb444005e"
"Marco Antonio Pinto Tapia","2021-05-28T21:38:04Z",18,4,14,"921683b9279f58c2a2be93942490e917dbf63919"
"Marco Antonio Pinto Tapia","2021-05-28T21:25:40Z",460,123,337,"a0ecc492e77fa6e19ec2bcfbf3d17950a9168a6e"
"Marco Antonio Pinto Tapia","2021-05-28T20:38:44Z",52,23,29,"caa508361be14dab861276073c0b0db47eae5744"
"Marco Antonio Pinto Tapia","2021-05-28T20:02:19Z",64,29,35,"6c7c0f350e38038851ad312f90dad25c1e9e418a"
"Marco Antonio Pinto Tapia","2021-05-28T19:26:12Z",0,0,0,"f838a6ff903467028b55f903540e512ed3047cea"
"Marco Antonio Pinto Tapia","2021-05-28T19:24:55Z",0,0,0,"e6f7ea56557088dd69fdb3293cb1df15b13f7ac0"
"Marpiki11","2021-05-28T19:12:24Z",4,2,2,"ffb2b5678842970ea15a964dd968165b4b073384"
"Marco Antonio Pinto Tapia","2021-05-28T18:38:58Z",244,216,28,"2fbb19d6ea115413a5b4499adf3c1a83d4b9bb4b"
"Marco Antonio Pinto Tapia","2021-05-28T17:19:56Z",338,146,192,"bb13c1ea4e76201d1b64924520dad5c9c6dd74dc"
"Marco Antonio Pinto Tapia","2021-05-28T17:00:21Z",112,109,3,"09b163309b8ea0dac32de836eb7618c0107fa6a2"
"Marpiki11","2021-05-26T09:45:32Z",2,1,1,"4cec83dbf6433629eda9c3000e840a58bb2a30ae"
"Marpiki11","2021-05-26T09:38:34Z",29,15,14,"7499c54a87cf6223082ab03c362712dd46011e9b"
"Marpiki11","2021-05-26T09:38:30Z",71,11,60,"5b4cec4ab0977b631c7face42566e287aa42b1fd"
"Alejandro-Montero-Porras","2021-05-26T09:03:11Z",8,5,3,"60a826d8d34aceedf778696a6751b2c781ebd35b"
"Alejandro-Montero-Porras","2021-05-26T08:55:30Z",25,12,13,"4449f970e7d746535d19e8b47d4bb881c1729418"
"Alejandro-Montero-Porras","2021-05-26T08:47:44Z",8,5,3,"536cfee9e8bbf11847ebc55d940d14429d0e7000"
"Alejandro-Montero-Porras","2021-05-26T08:39:51Z",8,0,8,"785df1d8d36c6dcd28b20fff66a68c24622b03ec"
"Alejandro-Montero-Porras","2021-05-26T08:37:17Z",2,1,1,"7832edb1f0faad468172a63f4db641b973bbcaea"
"Alejandro-Montero-Porras","2021-05-26T08:34:54Z",6,4,2,"c30e05700464b548c80c7997e522f046e0268b4e"
"Marco Antonio Pinto Tapia","2021-05-21T09:06:47Z",1108,707,401,"09b1e79206ccf5d1f15ba3063c07dc9ff8b05831"
"Alejandro-Montero-Porras","2021-05-20T16:30:56Z",0,0,0,"98e1f68dc81037d2b6d380ae3afece480c8af03c"
"Alejandro-Montero-Porras","2021-05-20T16:29:59Z",0,0,0,"db8839d8cbc8cfa2a85172f911288a005e0b7458"
"Marco Antonio Pinto Tapia","2021-05-18T17:48:12Z",598,312,286,"0f793a2909672ab581914125a375bda14e45b400"
"Marco Antonio Pinto Tapia","2021-05-18T11:18:23Z",2,1,1,"990685d1942d6e333ba4c23c4b3ae04c71382410"
"Marco Antonio Pinto Tapia","2021-05-18T11:17:37Z",267,220,47,"2ccbb1345c7075466c0151270bd67581468a0cd2"
"Marco Antonio Pinto Tapia","2021-05-17T18:54:04Z",338,283,55,"c97cc5a1e22496e9e0a14b84836ddd27fd1ad451"
"Marpiki11","2021-05-14T11:23:37Z",38,30,8,"b2a404d6e2889d46f8de095ee06ebfb34ccec7fe"
"Marco Antonio Pinto Tapia","2021-05-14T10:37:50Z",2,1,1,"f68919909b230e906901355c2be38eaa9abf81bb"
"Marco Antonio Pinto Tapia","2021-05-14T10:23:26Z",295,142,153,"8d40b64dfda90100d04dadd9a371e784de5ddfbf"
"Marco Antonio Pinto Tapia","2021-05-14T09:06:57Z",683,339,344,"81e8486e6a411ef395f81234b89a367dc32b7a4a"
"Marco Antonio Pinto Tapia","2021-05-13T23:22:56Z",51,0,51,"48b70cf76857ed50dc80a27181e9b16d3b1a5a38"
"Marpiki11","2021-05-13T21:52:11Z",302,151,151,"c64d7581a3d495f0770ba70fd0ac7db657b40edd"
"Marpiki11","2021-05-13T21:52:09Z",102,91,11,"ede010c866a1198ee9a026dafd04c810746ce337"
"Alejandro-Montero-Porras","2021-05-13T15:52:01Z",302,151,151,"f12ee4a69a418c2c170da7489bbb232287098b7d"
"Alejandro-Montero-Porras","2021-05-13T15:40:35Z",451,450,1,"807cc760c3f3981d6f536a0bf76997c9010bb1f5"
"Marpiki11","2021-05-10T01:21:24Z",66,52,14,"84cd74f267e5b1bc07fd498920d9fd7314a1ed5b"
"Marco Antonio Pinto Tapia","2021-05-09T23:40:46Z",96,67,29,"2baf5be6870dfed5228de5352724983694bedcd2"
"Marco Antonio Pinto Tapia","2021-05-09T20:12:55Z",144,120,24,"c2ebcc785d26786926cc4eefcacf56ce64b9d5f5"
"Marco Antonio Pinto Tapia","2021-05-09T17:53:41Z",280,177,103,"6c3ededa08bcfa0db2752b05a9f2ff8273676ece"
"Marco Antonio Pinto Tapia","2021-05-09T17:53:39Z",101,49,52,"d87021ab37291220fcba3240321ab5099c70d957"
"Alejandro-Montero-Porras","2021-05-09T10:42:02Z",136,105,31,"08944153b4d125cacbe7869d22168c6749d17922"
"Alejandro-Montero-Porras","2021-05-08T17:45:41Z",154,77,77,"7989c30e0533092bb6550fb69a107eeff15e6b4a"
"Marco Antonio Pinto Tapia","2021-05-08T16:33:37Z",16,9,7,"2222c26c7fb9521ee86f9a66867dc0996034ad01"
"Marco Antonio Pinto Tapia","2021-05-08T16:06:58Z",14,7,7,"2757027ffb768661fb101a962d28e25bcf202793"
"Marco Antonio Pinto Tapia","2021-05-03T19:51:10Z",110,69,41,"a4f8992ce1418ac557e7f6c255b8d7edcf59244e"
"Marco Antonio Pinto Tapia","2021-05-03T19:32:17Z",93,73,20,"21a53fd36590a34d5942297b655c1e22429adf55"
"Marco Antonio Pinto Tapia","2021-05-02T23:10:56Z",95,66,29,"c97cbe8595eeca0f7a4a2f8c167274e3e3965de7"
"Marco Antonio Pinto Tapia","2021-05-02T22:21:08Z",169,70,99,"cd439f1d918a51cb95e704fd3675f80818524a75"
"Marco Antonio Pinto Tapia","2021-04-29T09:43:23Z",76,56,20,"c2457fe526549d935b750ef96a752b222a8df9eb"
"Marco Antonio Pinto Tapia","2021-04-28T01:04:48Z",483,275,208,"049f774f8176aab1ca5436c0d2a7bf64db8aedef"
"Marco Antonio Pinto Tapia","2021-04-27T19:08:15Z",21,16,5,"46c41a671be8790c25cd452aa098500beec348dd"
"Marpiki11","2021-04-26T20:25:12Z",7,4,3,"7b548fb561eeebce722486dcc72948524aed11ee"
"Marco Antonio Pinto Tapia","2021-04-26T19:58:07Z",31,13,18,"0e3d3ec1b12ac543e333cb43a3741843a09dfdd6"
