"name","date","total","additions","deletions","sha"
"Saul-Marcos","2021-05-27T17:17:25Z",1181,1181,0,"03cd8f8be634cbf642c507810d62e5ff4f5b3c8c"
"Saul-Marcos","2021-05-27T17:12:16Z",23,18,5,"4a7828d45c0c51066b859fc08d6a5b39bf347733"
"Saul-Marcos","2021-05-17T08:49:21Z",0,0,0,"2471163c9b51f4fde704ae2f091aa5681fdf3728"
"Saul-Marcos","2021-05-17T08:49:21Z",0,0,0,"c179b9aff4ec2ab943edcfd41766f832d43488e4"
"Saul-Marcos","2021-04-30T17:22:32Z",943,740,203,"e5ad1701dede3a4150e4c15e02232509eb9f63e6"
"Saul-Marcos","2021-04-30T11:50:03Z",19,19,0,"28c7d9c7a1b8a1a6764b1caae91fd9e363b171d5"
"Saul-Marcos","2021-04-30T11:47:36Z",11,11,0,"ee78db5bc2022de65e16237e1867a2f8527022bd"
"Saul-Marcos","2021-04-28T10:57:22Z",738,738,0,"2a2f7797aba2cff608d84b6d79ee5cd54a743a30"
"Saul-Marcos","2021-04-19T09:25:56Z",680,680,0,"31ce735dca935e0435509d8e6dab55e558cc9975"
"Saul-Marcos","2021-04-14T23:21:50Z",360,360,0,"a87459a06ea50d45415ffff522574f576eba2f50"
"jsdefrancisco","2021-03-12T14:50:34Z",3,2,1,"2c16ca5c38838b7610227789229c89c195c9bef0"
"jsdefrancisco","2021-03-12T14:47:35Z",2,1,1,"513ba9c9848e24ee93f86f9bef88e99b0031f4dc"
"jesusalejandropalomino","2021-03-12T14:39:57Z",1,1,0,"5b5c374c7410c5ca8a5341b771f2d2990522e368"
"Saul-Marcos","2021-03-12T14:31:05Z",7,6,1,"e999a1efb61766d95b9a6641e410d15c5471682c"
"github-classroom[bot]","2021-03-12T14:13:34Z",737,737,0,"fcf9583a2730c11a634bb7d5de3493aa0a69c5b2"
