"name","date","total","additions","deletions","sha"
"mballard02","2021-05-28T17:11:08Z",2,1,1,"5e5e08d8321a45019e2e862028845f3af7ff6f79"
"silviaacc","2021-05-27T16:37:19Z",15,6,9,"c75980a39d1dfd7731e0ec797c4ce094eb4b73b4"
"silviaacc","2021-05-26T13:03:06Z",2,1,1,"99307bc0e18063efbb5e774dd3b7b93a108bee90"
"ruuthdlf","2021-05-26T11:37:49Z",0,0,0,"4c834f8afa9713dc41b92cf337b807757dddd800"
"mballard02","2021-05-26T09:42:24Z",0,0,0,"0c1ba3c1f74c74195b834180c7f0f20af9924669"
"mballard02","2021-05-26T09:36:34Z",4,2,2,"39c754c6ceb83a88b6b318334c8773f4aac12cbb"
"mballard02","2021-05-26T09:36:14Z",0,0,0,"2234e1e3fe7ab4576a6732dd6d41b77878c02da8"
"ruuthdlf","2021-05-26T09:32:11Z",0,0,0,"361f86e256fa7573c0a2cc33a4cae181b1b36f5c"
"silviaacc","2021-05-26T09:22:20Z",4,2,2,"d99536e015090f397bbdcea982e3be3d352b4c46"
"mballard02","2021-05-26T09:18:33Z",46,25,21,"112ef789dea6ae23b0711a1ca149144fb3296e3f"
"mballard02","2021-05-26T09:18:26Z",0,0,0,"a241e85056d073ea791a47a590cffa8f8c8a038f"
"silviaacc","2021-05-25T16:34:27Z",24,17,7,"f548aebf138548ad3d5e0f5c55db2a9daeb875f0"
"silviaacc","2021-05-25T16:22:11Z",1,1,0,"d8ece707e3e4eb2e1ab106025dc4db30f4a463a6"
"silviaacc","2021-05-25T16:21:14Z",13,5,8,"cdec47faf481efaede8a9c4657df90d600a504db"
"silviaacc","2021-05-25T15:58:35Z",22,9,13,"aa2c6fbbbcf5b487b675d7c602aaa4c8c8be0663"
"silviaacc","2021-05-25T15:52:11Z",0,0,0,"03b350a158576cac3b8964a936daa3306e9a2d3e"
"silviaacc","2021-05-25T15:38:13Z",0,0,0,"c628be34111467b1b8f3c4b357bf358f2a2dda3e"
"ruuthdlf","2021-05-25T15:32:41Z",0,0,0,"a7bf766c0061a8537060e5ee3741c1ea5cbb4e25"
"ruuthdlf","2021-05-25T15:32:13Z",0,0,0,"22e36d61f66da9a72220e3c886327bc22c698ad4"
"silviaacc","2021-05-25T15:29:43Z",0,0,0,"9e4ae6cda68f9cf3d85bae645150da7ecb4e4379"
"silviaacc","2021-05-25T15:12:22Z",0,0,0,"851eeb05e700992b571b5575cdd721bc03116106"
"silviaacc","2021-05-25T14:51:10Z",0,0,0,"4eb9a7688f0b327ade44d8b6036cf210edf2c463"
"silviaacc","2021-05-25T14:44:21Z",0,0,0,"aeff46a415cc1e70b42ec21584be2bf3604ed898"
"silviaacc","2021-05-25T14:41:52Z",1,0,1,"5719c94b96b9ba20d8dce82ac9b91c0f9536faae"
"silviaacc","2021-05-25T14:41:22Z",1,1,0,"05ab2263963ed0e5079a986225774c9153bcbabf"
"ruuthdlf","2021-05-25T14:34:05Z",0,0,0,"6ce70ac5f502601b70ba8d9d022e2fc596ef39b2"
"silviaacc","2021-05-25T14:30:06Z",1,0,1,"dd8d37662f56fb686c7c82777f6d23505c853ed0"
"silviaacc","2021-05-25T14:29:36Z",1,1,0,"acb99bacc441305b40ef5ade745d3ce69fe30a8a"
"mballard02","2021-05-25T14:21:13Z",0,0,0,"16c5898e40acd0afb90ecb2ea76eaaccc515c704"
