"name","date","total","additions","deletions","sha"
"valeeria15","2021-05-28T17:00:30Z",1,1,0,"0e58534b5810de6ca8d94999026367621ea26c69"
"anagarcia2706","2021-05-24T22:04:07Z",1,1,0,"52ffd4609c8e5482530013ddcb4b88ec0fda4a8b"
"anagarcia2706","2021-05-24T22:03:31Z",21,21,0,"a9aba943df62645929583717d3203dae86b0d015"
"anagarcia2706","2021-05-24T22:01:32Z",269,227,42,"03a0c87b295bd2421b37b44ae169fbec9cded787"
"anagarcia2706","2021-05-21T23:09:50Z",48,38,10,"ac6c785d4d6792eb54c42c9711183fb273549851"
"miriam-estebanb","2021-04-17T09:55:07Z",124,85,39,"c85c9c74dcf69359c9b359b5de8a9712de0d12cd"
"anagarcia2706","2021-04-16T11:18:57Z",32,31,1,"b7bd1ae381a2113ab6c6d81dea45b0f04cd7b37f"
"miriam-estebanb","2021-04-16T11:11:27Z",79,76,3,"d2e3b6b879754ac784ce74d2378a62376ff8d4e1"
"miriam-estebanb","2021-03-27T03:48:50Z",33,17,16,"bca448c972e9447a5087b2600992df6926903eee"
"miriam-estebanb","2021-03-26T14:13:37Z",70,56,14,"d694a75edf84cc1978f130b361af88dce32f8f87"
"valeeria15","2021-03-26T13:21:36Z",2,2,0,"be68b617c17c18c455c86aad5d8513940dd4e8cb"
"valeeria15","2021-03-26T13:17:45Z",6,4,2,"55c910b4d262181cb4887ef9f1598b53affd2694"
"valeeria15","2021-03-26T13:14:33Z",29,8,21,"587fc27f9c51e729a7df8d7967ec2c2a28ebb0e7"
"miriam-estebanb","2021-03-26T13:09:31Z",30,28,2,"3c11d1cc308846942fa4054dbb81db8872911c5e"
"valeeria15","2021-03-26T13:00:29Z",20,10,10,"72193ac8ca9e9ba59530bd5d5e5a8a7a3edde7a5"
"miriam-estebanb","2021-03-26T12:58:02Z",13,11,2,"abe3d0b7a0b00be8ad0aeb02c3a8270f4261f906"
"miriam-estebanb","2021-03-26T12:51:05Z",12,12,0,"5e9183f67bdc0080ac0b468a913f9582b8c5b866"
"miriam-estebanb","2021-03-26T12:49:27Z",10,0,10,"aba47755063ffd23a3eeb242a34a6b5861cc02da"
"miriam-estebanb","2021-03-26T12:48:42Z",10,10,0,"a399fa63bb9a844bc3a785a7e866ee5afed931c8"
"miriam-estebanb","2021-03-26T11:26:46Z",2,1,1,"6a0f062061714a5cbacdb19cf2c7119378aed44e"
"valeeria15","2021-03-17T16:06:45Z",4,2,2,"fae4b28368d3c6e9f70c0c7562deca22a42b8d87"
"miriam-estebanb","2021-03-17T13:38:07Z",8,5,3,"d29075ce0989a7c4412965a730d121d90673430e"
"github-classroom[bot]","2021-03-17T13:25:41Z",737,737,0,"85d182fd7217ec0a71d74e1caad1d5b3870f0463"
