"name","date","total","additions","deletions","sha"
"Rq2021","2021-05-27T18:31:46Z",4,2,2,"5a29e789f353ccde9c5338fbce134f7ef14c31c3"
"luciamarcos","2021-05-21T13:53:50Z",0,0,0,"847e0b389f70c9d177d686b96e8a7607d38f27cb"
"luciamarcos","2021-05-21T13:32:10Z",0,0,0,"2215178cf786c00f3d2002df5a86590665652d30"
"nerearodriguezlopez","2021-05-21T08:48:06Z",0,0,0,"3ab33afcf6ea30fc3d545a728ec011b0f85cea9b"
"nerearodriguezlopez","2021-05-21T08:47:32Z",0,0,0,"3909e76e7fb3381b0592ff9f2b2b882aa9de3995"
"luciamarcos","2021-05-21T08:10:06Z",0,0,0,"a0300b62281234209edf4a16474667b1aebe8c83"
"nerearodriguezlopez","2021-05-21T06:57:05Z",0,0,0,"2cd9cc5f76b6440de64318209717de5633b76589"
"nerearodriguezlopez","2021-05-18T15:27:50Z",0,0,0,"74a2887a09839788736102cf44a2ff5aabe5d020"
"nerearodriguezlopez","2021-05-18T15:27:32Z",0,0,0,"d8df4359295bd4dd7c139fc9704e64d6bac33d0c"
"nerearodriguezlopez","2021-05-18T15:26:22Z",0,0,0,"ca1c4233f8086a4653b9415cf6f38545ca4dd2e9"
"nerearodriguezlopez","2021-05-18T15:25:30Z",0,0,0,"82c3c648e66cdb0d3c49528a8767ae70659c5467"
"luciamarcos","2021-05-14T16:31:09Z",7,6,1,"0600e9af7b26ba3dd385b26a6fcc76d8766a8e6f"
"luciamarcos","2021-05-14T16:28:32Z",0,0,0,"e48c0fc3e79d26d98b946f6d88b136ddff6e373b"
"Rq2021","2021-05-14T09:54:13Z",1,1,0,"e6e5ef330871b116f2f4c3852402e3520e8c519c"
"Rq2021","2021-05-14T07:35:23Z",1,0,1,"4316abff2efebbd49bc5f18b3b453bef627a4978"
"Rq2021","2021-05-14T01:55:49Z",1,1,0,"59b405fd144d7a9a70290010af0839f4bbb5ab58"
"Rq2021","2021-05-13T22:36:47Z",2,1,1,"5451067cbfc21501e061092add59807d730204bc"
"Rq2021","2021-05-13T22:36:28Z",337,337,0,"3e7925343373ae97566df5a822cb6419b2916bac"
"Rq2021","2021-05-13T22:36:11Z",339,0,339,"45bc2db7fe6dfec69a0e62fee0b7b45381f36535"
"Rq2021","2021-05-09T13:36:03Z",1,1,0,"53f9800455f16bc07ca8b84552eeccc53a251791"
"Rq2021","2021-05-09T13:35:47Z",15,15,0,"7f471894b88d292173f5ef554a668048bd0a7a94"
"Rq2021","2021-05-09T13:35:27Z",309,157,152,"16e2daf56f438860d71351e4edc83aaaedc711f0"
"Rq2021","2021-05-09T11:48:41Z",1,1,0,"99be398d69aa22ca64ea87e276d0763110900dbd"
"Rq2021","2021-05-09T11:48:23Z",334,334,0,"418652ddb5c7c6a043f22c093327534ec7545e1d"
"Rq2021","2021-05-09T11:48:00Z",299,0,299,"6a10ec69cf20135915b8542a620cc28fa56faefe"
"Rq2021","2021-05-07T23:57:43Z",299,299,0,"2cfbf85c6ce54bc5197e38192a543a4c13ee6269"
"Rq2021","2021-05-07T23:57:25Z",2,2,0,"1874a9b874ad92c69f3570f7d4779a43f9810ab4"
"Rq2021","2021-05-07T23:57:02Z",299,0,299,"4b5fcd55ea770496673d5893d15d33fff05f7961"
"Rq2021","2021-04-29T23:57:34Z",21,12,9,"4eb1c72a645bf480a1491ceacb7e871c550dfd4d"
