"name","date","total","additions","deletions","sha"
"Miragallas","2021-05-28T21:54:48Z",4,2,2,"c4e3f65826d73bc945c5f7719a368174a3ed3fab"
"Miragallas","2021-05-28T21:33:33Z",196,130,66,"4a99bfd7483b2f06aecec1a48841c00ede319abc"
"Danileganes06","2021-05-28T10:31:19Z",0,0,0,"7267a4038f7d6d1e17711cffb9b6d123cc4b4159"
"Danileganes06","2021-05-28T10:24:14Z",0,0,0,"572bbd57250ff518c4ac1905b43a8e210a53f567"
"Danileganes06","2021-05-28T10:24:01Z",0,0,0,"01c331aed27a6594ba7cf3658e336a66bfb87ccf"
"Danileganes06","2021-05-27T22:47:37Z",0,0,0,"fa24d9c6bcc602607a232b0f7f5cea5b4f0dada3"
"Danileganes06","2021-05-27T22:47:13Z",0,0,0,"0afa624e8296e501127cb7607e7ff0c07f1af08a"
"Miragallas","2021-05-27T22:43:32Z",47,22,25,"f495cd3c065d2438e95e386ef5c401077a9cb57e"
"Danileganes06","2021-05-27T22:42:39Z",0,0,0,"e3db54231b2ab4f78d98d13456b6a1e09bc30144"
"Danileganes06","2021-05-27T22:41:54Z",0,0,0,"d06e68fdac742167ec901b8b7369a837570eede7"
"pcantin8","2021-05-27T18:31:38Z",88,44,44,"1b3d65f41b5b818f69ac78c55c81b8863506831d"
"Miragallas","2021-05-27T18:14:08Z",220,110,110,"c6e7ebf9986f3dad17e4b922b22d4fa9d8ceac74"
"Miragallas","2021-05-27T17:39:18Z",67,50,17,"95bda018b8b7fd26965c534625f48b6395907fb5"
"Danileganes06","2021-05-27T16:46:09Z",0,0,0,"cda743a3f06326534236d5d141f1d965a07fe3e1"
"Danileganes06","2021-05-27T16:28:41Z",0,0,0,"fed494f4dc2c694aeaf6802991271cbc9c67afb2"
"Danileganes06","2021-05-27T16:06:42Z",0,0,0,"0f69b7d0189f6bb99f5191009c3b3061d41078e3"
"Danileganes06","2021-05-27T16:06:19Z",0,0,0,"791ef035785bcba0acf9a7da8a2c73db0b8b9eee"
"Danileganes06","2021-05-26T10:12:23Z",0,0,0,"4674cfdeb4e21f8998880079c9d43dfca560d333"
"Danileganes06","2021-05-26T09:38:42Z",0,0,0,"78d7769a42a83cfa4ca2413d4a31de3b14b5f711"
"Danileganes06","2021-05-26T09:18:54Z",0,0,0,"79f4c4e291c62d38b9f144b78dfd190673ab3bf4"
"Miragallas","2021-05-26T08:47:59Z",2,2,0,"3cbe4cf4f05c8efbc11e7b80a1f19344598b2c7c"
"Miragallas","2021-05-26T08:47:41Z",0,0,0,"75dddc8cf0a3a68e408cffcbf65928ffb834a408"
"Miragallas","2021-05-26T08:47:11Z",22,22,0,"5958227bd8759cb840db5ff7e205627313987449"
"Miragallas","2021-05-26T08:45:13Z",2,2,0,"5bfbcd00dd911ddd21ea42e66e40ce36a4aed146"
