"name","date","total","additions","deletions","sha"
"alfredosecades","2021-05-28T14:50:48Z",0,0,0,"fe60b76b4da15b4838b6d79d6b35e4380649aa89"
"aaronnieto","2021-05-28T14:43:22Z",235,105,130,"7d0009805f3fb832790d3812e4b5e6e4f0cf5d51"
"aaronnieto","2021-05-28T13:54:55Z",53,23,30,"e67369725bdc7d068bb2836f97eb57ba5aace784"
"anarecio02","2021-05-28T10:52:46Z",2,1,1,"150e5aec05f84b35cf331cce32ec4b638ac12c9d"
"anarecio02","2021-05-28T10:37:05Z",18,9,9,"075021af83fd23e658a4f55f0158f1591a6e63da"
"anarecio02","2021-05-28T10:09:32Z",0,0,0,"5841da5a7e408ef465afa3ea24a8c4807d7faa94"
"anarecio02","2021-05-28T09:45:27Z",30,15,15,"1693f7a02861e052628caca82f749a2bb679660c"
"alfredosecades","2021-05-27T18:40:41Z",0,0,0,"17c09c73385ee2e967831e2a8ade5976350c780d"
"alfredosecades","2021-05-27T18:35:20Z",139,87,52,"271fb4ad83667399880a61674aaaa4b71bb06505"
"aaronnieto","2021-05-27T16:53:19Z",18,9,9,"79af7d0132547b0ec8c89268524ee91067d6b377"
"aaronnieto","2021-05-27T16:37:11Z",0,0,0,"588e0d6cbdb8f13bae409b3b0391a2beb0cc1fcd"
"anarecio02","2021-05-25T07:11:44Z",74,57,17,"78b9ded7099b2e31f4b84a8bf0153a83504cb2e8"
"aaronnieto","2021-05-21T09:03:08Z",20,17,3,"954c2eb3b86c97c169f28411ca1a87c5ad3e0150"
"aaronnieto","2021-05-21T08:59:19Z",46,34,12,"de0efbfc9a6e07a01568fab5abc7c8a231910a48"
"aaronnieto","2021-05-21T08:41:54Z",21,16,5,"fcfa25ad11319281721886d7e1b0a160c9770e95"
"aaronnieto","2021-05-21T08:41:23Z",9,8,1,"7a66c665d5368f3bbdac9582bef008fee7cf1242"
"alfredosecades","2021-05-21T08:40:21Z",19,13,6,"02c2ff9b62b89974dbded9f2e380fc05fe787b8b"
"aaronnieto","2021-05-19T12:25:01Z",0,0,0,"6c7a8c26f45c1df065078414a80400559518dd18"
"aaronnieto","2021-05-19T10:25:02Z",206,184,22,"e53a15a57c90f323551b325c7838657a21b2f828"
"aaronnieto","2021-05-19T10:24:58Z",19,12,7,"b45d108ed0c8ccfe1cab8adf578ca1b408930720"
"alfredosecades","2021-05-17T09:11:28Z",197,179,18,"a72a17bf01f3037ecdba52d7cf90bbd74a457b01"
"alfredosecades","2021-05-17T09:11:11Z",8,4,4,"d78d8e6aee1bb10da764c1b26e2d9f069675c778"
"anarecio02","2021-05-13T12:25:06Z",6,3,3,"50d43f6d7fb466e7b63f832daf4b90526c115df0"
"anarecio02","2021-05-13T12:04:53Z",61,57,4,"4ed3b464a9d88b0f123941d48449520d7542a74b"
"anarecio02","2021-05-13T11:42:05Z",16,14,2,"546a5564ce6a878d5407c82742f455b86f33abc2"
"anarecio02","2021-05-12T16:40:12Z",68,58,10,"31c65153f6d0c07acbb89f1e6a36461289eb7ed5"
"anarecio02","2021-05-12T15:54:28Z",56,52,4,"b047a2d1b765f5bf83d1af64912730454e955a52"
"alfredosecades","2021-05-12T12:21:29Z",21,19,2,"f17b1dba28a032885d4e76631333d12e1e1d4c52"
"alfredosecades","2021-05-12T12:21:27Z",1,1,0,"c478902c8eaf96f387a277aee18525f6b9c4aabf"
"aaronnieto","2021-05-12T12:20:55Z",21,19,2,"b1e00d1f83656f375d9086fc42a2e7830746eee2"
"alfredosecades","2021-05-12T12:14:44Z",129,85,44,"2f650ccf9c468066b5d6c8e804e68254ee501a62"
"alfredosecades","2021-05-05T12:13:08Z",9,5,4,"12a45e703302fd396be1500020959a028a3fc661"
"anarecio02","2021-04-30T09:32:15Z",27,24,3,"ac66997c14977d5e3b7f72086465103325357543"
"aaronnieto","2021-04-21T11:36:04Z",17,16,1,"d28c55db95641c96ea297edb97dbb1e1b3066727"
"alfredosecades","2021-04-21T11:21:28Z",11,5,6,"ec55230fae65192317104647a1f35621011cb369"
"aaronnieto","2021-04-21T11:18:12Z",15,15,0,"12fef1c4682d68f88a31a8ab68e339a79051ce5f"
"aaronnieto","2021-04-21T11:17:49Z",0,0,0,"d96effd2ca2869ebcb97a109ec1a0aef50715cd0"
"alfredosecades","2021-04-21T11:15:19Z",15,15,0,"f5b2886eb267a9f529c322acfd2da6d6b26a3de9"
"aaronnieto","2021-04-21T11:13:56Z",0,0,0,"bb1c2b6d96abde3c83c122c326ba34cc6ac099af"
"aaronnieto","2021-04-21T11:13:47Z",0,0,0,"05763f644e2c668bdb79cfbd72a6b9fed3ce0eee"
"aaronnieto","2021-04-21T11:00:08Z",0,0,0,"b670b8e95ae024f125b6bd7ca58289cae93f4218"
"aaronnieto","2021-04-21T10:59:04Z",46,46,0,"0f6b3bf8ae108b00a06a930e8ae12bcd85367f6c"
"alfredosecades","2021-04-21T10:58:00Z",46,46,0,"2f736f2e32ea7d7734a248d727dd77528d7d9edc"
"aaronnieto","2021-04-21T10:53:23Z",15,15,0,"e9ebd9286dfc1a3fb0025ef5d6c5aaee6d834535"
"aaronnieto","2021-04-21T10:46:33Z",21,21,0,"3b310479e3dce6289da723b10054e1914326a1c2"
"alfredosecades","2021-04-21T10:45:22Z",9,5,4,"f110a76f2b857dddd02da2b4e84aef12b407554f"
