"name","date","total","additions","deletions","sha"
"iriax","2021-05-28T06:53:41Z",82,41,41,"dd9651c5b97206cd6377ace16a282304f53e559b"
"danicuellar","2021-05-27T17:47:06Z",0,0,0,"fee40944a5dfd350ee1792ab9e6d5c6e18e8edfd"
"danicuellar","2021-05-27T17:47:00Z",18,12,6,"d1482b96fa3fc94a4781da205deabd49d651853f"
"e-aliaga","2021-05-26T22:02:14Z",1,0,1,"01c7f4a737a3f1df07b431a3b7f880f668aceec9"
"e-aliaga","2021-05-26T21:51:46Z",1,1,0,"c1cc7e8c0cba924a752f0adca0ae9d24f2ea9775"
"danicuellar","2021-05-26T17:51:47Z",12,5,7,"132be44e9e3e4010b87589a766b2804bf011c230"
"danicuellar","2021-05-26T07:28:02Z",6,3,3,"064e9f24a309a25e5aba881a8ceaa21e07387b6b"
"danicuellar","2021-05-25T19:56:34Z",859,849,10,"9f566fc0b8842bad966ab75c58498af6b48723e0"
"e-aliaga","2021-05-24T18:27:39Z",226,113,113,"0b5bc13edfb00529209fd0f39c9d47ceb0e53e79"
"danicuellar","2021-05-23T17:49:05Z",33,17,16,"bf29e04b57dffae4f0cbe4dcabba40d89cbf05e9"
"e-aliaga","2021-05-23T11:13:21Z",198,94,104,"092314d2d0dc0b4d93bf75071f8199c5b56ee35b"
"danicuellar","2021-05-22T15:32:05Z",345,202,143,"bd42a4ec50ccc2570aef24f8aa2e59e6b07c1206"
"e-aliaga","2021-05-21T11:38:00Z",283,189,94,"65cc5b340c3a82663f816d5edc0e229f34671f17"
"e-aliaga","2021-05-21T10:54:09Z",0,0,0,"77593bba30a982ca1f1f3d6d1b9eb39ab0752583"
"iriax","2021-05-21T10:26:43Z",154,19,135,"f502b4727e92244f0fb728e4f02471ca6587f324"
"iriax","2021-05-21T10:21:37Z",101,51,50,"5868e7f6918f5b739e45707f42e5e61abbc1d8f6"
"iriax","2021-05-21T10:07:56Z",108,1,107,"03b04e32af101cb91db873bf910ee155ad00b372"
"iriax","2021-05-21T08:27:53Z",92,46,46,"0dc91a71bde5986f54d3721dfc497b9ad49a112e"
"e-aliaga","2021-05-20T20:54:01Z",33,26,7,"38e6901a258959535182ab9becc8829a0c456cf2"
"e-aliaga","2021-05-20T20:30:47Z",53,53,0,"271b7e5feb1ed7c2e515e5fe43999243e99d504a"
"e-aliaga","2021-05-20T17:59:29Z",0,0,0,"67134219434363a09cab592e12d147a2570de44a"
"e-aliaga","2021-05-20T17:22:47Z",9,9,0,"2111f80c7f6702c32d60ef00e2f0ce6a120fe906"
"e-aliaga","2021-05-20T08:29:09Z",256,178,78,"ec05c68bab3c89c104c56b4b024e4b95dc6fc7fd"
"e-aliaga","2021-05-19T18:56:03Z",210,9,201,"68df6900aded8493ce2dacbbe986164b150594be"
"e-aliaga","2021-05-19T18:52:08Z",2,1,1,"03e76d727b17e8d71243b6d7638625f047a92b99"
"e-aliaga","2021-05-19T14:30:45Z",0,0,0,"59714ac6c2102ff2dd11588b66cb3cb2e8b79404"
"danicuellar","2021-05-17T08:00:25Z",5,4,1,"e07ba407909bbe5e72b9099b2011165e5c3f4e3c"
"e-aliaga","2021-05-17T06:45:57Z",0,0,0,"f3cf07c5616b2b67b34434dbad009d57c2990c0e"
"danicuellar","2021-05-15T19:50:24Z",293,128,165,"06efa250985b894d4959891d490c90341ef43ef9"
"e-aliaga","2021-05-15T17:48:59Z",92,12,80,"0d3552e8a746332c2cd85f4e67f89515a72bcec6"
"e-aliaga","2021-05-15T17:16:25Z",46,12,34,"bcdd0a4654ac185ae419412576b47ce3a9461633"
"e-aliaga","2021-05-15T17:16:23Z",0,0,0,"189fb541fed9671e6af40470b4c8fe0237c3c4fe"
"danicuellar","2021-05-14T08:45:55Z",46,12,34,"9710d8640753170a3f9503dd3ecab0930c0f19a1"
"e-aliaga","2021-05-14T08:37:06Z",61,6,55,"f7435e49bcfda46fd637c55fac503b6fd2865e1e"
"e-aliaga","2021-05-14T08:20:49Z",20,0,20,"8f3b88f1b0818881a888a6d4740af70074d41e42"
"e-aliaga","2021-05-14T08:20:07Z",28,7,21,"022cece280f6d086985a7e3451702f04afb7a5a7"
"e-aliaga","2021-05-14T08:15:33Z",0,0,0,"b53e713c15ca48e6705d0988181ed2b157404fca"
"danicuellar","2021-05-14T08:14:53Z",0,0,0,"c7a8bede7cb8a07efc5600b24129539aa41fb958"
"danicuellar","2021-05-14T08:14:07Z",42,0,42,"d1e99cee00fb6e74cd17e741c5412caf7bef3570"
"danicuellar","2021-05-14T08:12:15Z",1,0,1,"482ae0c378a965f93a98e9af6893699227f4ad67"
"danicuellar","2021-05-14T08:10:41Z",1,1,0,"a98c87975801ba2a4508f50f8a75ecb9b8869b55"
"danicuellar","2021-05-14T08:10:10Z",316,182,134,"8c1fbb7e02c909b85bba63a783bc562422304323"
"e-aliaga","2021-05-14T08:03:58Z",1,1,0,"4c3b566ffbf70e0f0f368dd6609ba87d0b0c1f6d"
"e-aliaga","2021-05-13T20:57:18Z",25,15,10,"bfde2e2afa2398a3bf0a54c46e145deea6449caf"
"e-aliaga","2021-05-13T19:12:03Z",158,134,24,"6635150d5a5020d97a085b642c7ceea4d409b945"
"e-aliaga","2021-05-13T18:33:57Z",0,0,0,"67dff0c11101d0ad729d0a2c3d3c1de5e087e248"
"e-aliaga","2021-05-13T09:09:23Z",0,0,0,"931d3914793854033f4c597f8bd7a8cead0235d8"
"danicuellar","2021-05-12T09:52:29Z",0,0,0,"316ded36c04532eb805bf17763bec86f76e16b4e"
"danicuellar","2021-05-10T20:09:39Z",25,13,12,"0a854a647aa2c63e77e9b34fd344a1d52e5a8354"
"danicuellar","2021-05-10T20:08:39Z",4,2,2,"ea19c3fcbdf3161a303c94f07820d1771ff4b64c"
"danicuellar","2021-05-10T20:08:26Z",31,23,8,"749dc67ad329bfbcb06d6a2e754094a2d5870974"
"iriax","2021-05-10T19:28:54Z",2,1,1,"f96e8c2f125ae021c2be987bfaec941c60a93a7b"
"iriax","2021-05-10T19:27:41Z",2,1,1,"c5f25b945d0e2a8f644d67e0b86e06d0ebd850a6"
"e-aliaga","2021-05-06T18:34:08Z",464,462,2,"47152b30fa24415337171c6bd314f6d11f82bae0"
"iriax","2021-05-04T21:56:49Z",4,2,2,"33410550994d7e17f57df56b4a8188ceca4d1590"
"iriax","2021-05-04T21:55:26Z",2,1,1,"3ebc1aeaa7be7ffee7f457b0c8d2b047f2e09076"
"iriax","2021-05-04T21:52:23Z",16,15,1,"9e97e899621685d4b4a141c64c251779f3a1cabb"
"iriax","2021-05-04T21:13:11Z",17,17,0,"c00d8d9006baa1509f8065e5d1db87a1afee7723"
"e-aliaga","2021-05-04T18:47:01Z",162,162,0,"5de8d0ea9223b2b9a5459747ff790e8976957e66"
"e-aliaga","2021-05-04T18:35:42Z",0,0,0,"9878d87fef6975c1b567d653328827b362ac6dc8"
"e-aliaga","2021-05-04T16:49:56Z",246,202,44,"db52bb0d7c4d2b1c03835c36b5d0859b02cde82e"
"e-aliaga","2021-05-04T09:42:27Z",12,4,8,"1235d756c11d500463e80683eebd643e4eec3fdc"
"e-aliaga","2021-05-04T09:34:25Z",50,46,4,"cd05a9c5bc85936472b57fa46fc56a8c825748ed"
"e-aliaga","2021-05-04T09:26:07Z",110,53,57,"b6e6d9ffdeba60fb637c134ee2a0ebf0ba54cbc5"
"e-aliaga","2021-05-04T09:03:05Z",91,90,1,"ba69d1dc61d27882175b7227613eedb5a5ee1bb2"
"e-aliaga","2021-05-03T20:10:51Z",19,0,19,"cf818247b1ef240511ae5b48cf651e0fb5348889"
"e-aliaga","2021-05-03T20:08:17Z",13,7,6,"0443f01017a8103b6283f8834a05bfcb432c72a0"
"e-aliaga","2021-05-03T20:06:26Z",126,126,0,"f2c6c41c4caab2fc7236f6315a5abfe2819c2fa8"
"danicuellar","2021-05-03T19:39:11Z",13,7,6,"86a201c24b5acbdc43d3bceb3ffe8e8e344f9474"
"e-aliaga","2021-05-03T19:21:29Z",0,0,0,"f16f9840919db1267e83ad9ace9c0005790496c9"
"e-aliaga","2021-05-03T19:19:45Z",0,0,0,"20a838a026742b98282a8dd754c01dcba6a520fb"
"danicuellar","2021-05-03T15:57:03Z",224,137,87,"cb6c0b7b2b147ba1eecac9c2275ab942f1dec37c"
"danicuellar","2021-04-29T09:30:13Z",55,48,7,"f489b70ad6f75ec33cbfb0e8215dfaf89639f45b"
"e-aliaga","2021-04-22T09:08:52Z",47,25,22,"42dedfdc60388dd4e080428f9f8e71cef227d3b8"
"danicuellar","2021-04-21T14:13:08Z",2,1,1,"d4ca366edab68363f363bc59da89f4860bdf9406"
"e-aliaga","2021-04-21T11:30:15Z",20,19,1,"252bec1e11663b69da67137f504ac82ebee75a11"
"e-aliaga","2021-04-21T11:11:06Z",20,18,2,"efba3692e8537e54196f644719ebfb20f8388558"
"danicuellar","2021-04-21T10:26:36Z",12,8,4,"d082f215173b88860255c7d2fe34ca06c53e4d28"
"iriax","2021-04-20T11:42:03Z",19,16,3,"81bc5ebc56de2eb71095cc91c13d372480993dad"
"danicuellar","2021-04-18T19:01:43Z",99,56,43,"4d2824e06e4675c80ec4b04374cb21aad828c328"
"e-aliaga","2021-04-17T16:26:57Z",21,19,2,"6f3b661adf363e3e7c7c20cb0d9eed02508c4538"
"e-aliaga","2021-04-17T16:18:56Z",30,27,3,"583b1ea264ba663a59670ab5cf5a23f0a53699f2"
"e-aliaga","2021-04-15T09:37:06Z",63,63,0,"2468bd5ed69d2ab1ab5f0d54e576e579e9ec5ef8"
"danicuellar","2021-04-09T14:40:00Z",4,2,2,"66a1c43ce0962a0adb6ce402aa5c8c73c016926d"
"danicuellar","2021-04-09T14:38:41Z",4,2,2,"15b249b532d96f4da24d652c074785d714674db1"
"iriax","2021-03-26T07:30:45Z",38,38,0,"1d0feaee1370a4fc237af1111a86ac9de3b0072b"
"iriax","2021-03-15T21:33:45Z",4,2,2,"5417ae555e9853c52411b45e76b6e15fbc386a00"
"iriax","2021-03-15T21:32:44Z",13,8,5,"0f8cfacf0ba9b683fffe2b0bdbcfb5a9f802d8d3"
"github-classroom[bot]","2021-03-10T12:54:09Z",737,737,0,"3bc090e20c71a95ebe2dbcc8d676eff86be27b91"
