"name","date","total","additions","deletions","sha"
"listo2020","2021-05-28T21:56:12Z",6,5,1,"71d19b622d610b60fd165373eb11bc80861baaef"
"listo2020","2021-05-28T21:38:43Z",2,1,1,"143a1fbe8418587aa92f4924a01a8a7c6c09f383"
"listo2020","2021-05-28T21:33:37Z",0,0,0,"6e986673d695f6747c86b460c910a76ceef7fa6e"
"listo2020","2021-05-28T21:24:41Z",0,0,0,"e689f6e7770a522269ea25d393f41cda231ac4d2"
"listo2020","2021-05-28T21:09:58Z",23,9,14,"b87ff2dcf05e4bbd23195c2f99531b948c9b4408"
"SoyJaimeXD","2021-05-28T20:44:30Z",25,15,10,"97288d27a9892f207453e120565eb95d81b2350f"
"SoyJaimeXD","2021-05-28T20:44:20Z",0,0,0,"022a2c2f21e739073511214f623152915a073a02"
"listo2020","2021-05-28T20:32:25Z",4,2,2,"ed0242c9b98b620b9c900eae4f083e60893a799d"
"listo2020","2021-05-28T20:29:41Z",29,17,12,"6881d052774c5d6c137a1b87ea08c6caaa46571b"
"listo2020","2021-05-28T19:58:07Z",44,22,22,"e0117afffe19b53c99c194f2a4891f5ee50931a2"
"listo2020","2021-05-28T18:49:51Z",151,77,74,"fb30029b632aa38474e5f005ee08a11f6e7d6dd8"
"listo2020","2021-05-28T18:25:17Z",127,62,65,"02c48c8205861d15702c564ad7cb9a15c842aeb6"
"SoyJaimeXD","2021-05-28T18:18:49Z",0,0,0,"a5ba86c9c1da89a3105f47633e6689f85c5c313a"
"SoyJaimeXD","2021-05-28T18:07:54Z",6,3,3,"7d43a09b6135188228e9796223fb48d6541259dd"
"SoyJaimeXD","2021-05-28T18:02:10Z",26,13,13,"eb2a60395af1c12a5ce92ec9a90fa9489a016d1f"
"Edvardo87","2021-05-28T17:57:00Z",0,0,0,"52a289e4f0f66c5566553523346589cdc80f092d"
"SoyJaimeXD","2021-05-28T17:53:12Z",0,0,0,"b91f3784510fa3be98a50614a455f8ebb610532e"
"SoyJaimeXD","2021-05-28T17:53:11Z",87,45,42,"db86d21c59d9d0651b95e88264541a3820988d20"
"Edvardo87","2021-05-28T17:25:52Z",0,0,0,"dfe34763ac1a4c1d628020231350b468d3a3d79d"
