"name","date","total","additions","deletions","sha"
"JesusRinaldi","2021-05-28T16:07:24Z",0,0,0,"f64ac37dece58b462823982ef4461817292335fa"
"JesusRinaldi","2021-05-28T16:07:01Z",0,0,0,"b9ff8194e34a031bb650c5873e7d29f7167e54e7"
"JesusRinaldi","2021-05-28T15:49:00Z",0,0,0,"952e81249bdd380e574e4ab551e5d7360c6de9b4"
"SergioRodrigu","2021-05-27T21:29:58Z",0,0,0,"427c0ebacaf022fe6ed00e9b1273fa0f5da075e8"
"SergioRodrigu","2021-05-27T20:21:41Z",0,0,0,"e424738314fe019acd07a4ee38ba13de9adf49ab"
"JesusRinaldi","2021-05-27T19:45:27Z",1,0,1,"fd7dea6ec966b90be8b7018af1ca58f26734d5a7"
"JesusRinaldi","2021-05-27T19:44:43Z",1,1,0,"1c25162b0afbed625e3b62ccfe5bd82332b08978"
"SergioRodrigu","2021-05-24T19:46:03Z",0,0,0,"3e109ca9195ed0804d8f6e4c00b7b206a6c3dd4e"
"SergioRodrigu","2021-05-24T19:45:21Z",337,276,61,"9f73a9e3e5c279e06fa23e64367a4ed9410fe246"
"JesusRinaldi","2021-05-21T08:17:11Z",0,0,0,"ceb63655750c0758088def5889bad4173b85d6cc"
"SergioRodrigu","2021-04-29T21:32:11Z",0,0,0,"b371671166491a61ab78dc5a6a805d68e9491df9"
"SergioRodrigu","2021-04-29T21:07:03Z",143,107,36,"dee3eafcbbdbe893f6d93fb576e61d80e127b418"
"SergioRodrigu","2021-04-16T15:06:46Z",54,49,5,"ce964a25b212fcf85a8bbca49376f159b27ef222"
"SergioRodrigu","2021-03-28T21:36:20Z",2,1,1,"1b20e7af475dc808264d1bfbc9286249e9eea6cf"
"Sergio","2021-03-28T21:04:08Z",37,37,0,"0b3214fb2c543158456dfc59460f2152f1e3a863"
"SergioRodrigu","2021-03-28T20:11:02Z",5,0,5,"38557643578ade9663f725f4f5f3a43a5c7d670c"
"SergioRodrigu","2021-03-28T20:10:49Z",7,7,0,"064cb0235bafac9c33cb9f3a2415bc77a3e56125"
"SergioRodrigu","2021-03-28T20:08:05Z",9,9,0,"eb7fb08af8c0a16dbaf6d2d166bb9499f94dd199"
"JesusRinaldi","2021-03-17T12:22:49Z",11,6,5,"ef08ff76ef5a540cc6c7b4fb03057d3aef6e24ed"
"github-classroom[bot]","2021-03-17T11:59:39Z",737,737,0,"073d83166bf64554a64bf3c33e690f3e02714b50"
