"name","date","total","additions","deletions","sha"
"Adri100","2021-05-25T19:23:51Z",0,0,0,"c4c180e3f2cdeda787d2328b9161a8a90f625778"
"Adri100","2021-05-25T18:43:18Z",2,2,0,"6fa1dfb70af346539d95fcf8534ead0bfb102e71"
"Javierelmasblanco","2021-05-25T10:19:32Z",1,1,0,"b04ea0a4e0b5e5897b2d4792680ea79954c20d1e"
"Javierelmasblanco","2021-05-25T10:18:29Z",246,171,75,"d0943204a3c7911ddf87185533688914d16ea385"
"Javierelmasblanco","2021-05-21T09:36:26Z",854,815,39,"4ce7dc22b35b8243bd06b150a7638460ecdf2b10"
"PabloHuete","2021-05-21T09:24:40Z",0,0,0,"7a959532b0c656d2ad8e51bff31b8014c7fce502"
"PabloHuete","2021-05-21T09:17:35Z",2,1,1,"7948cf0f355f405c33c60ffff10f819c013dd12b"
"PabloHuete","2021-05-21T09:17:08Z",8,3,5,"c13cc0658d0de32fb0f2d3875a5669c856a0a04e"
"Javierelmasblanco","2021-05-09T17:30:03Z",219,173,46,"a25a0fbf3b009456b2b146d0cfaa69e476eacda8"
"Javierelmasblanco","2021-04-25T10:31:50Z",36,25,11,"0aa6b064782e1491b4478365881fa20802b1acf4"
"Adri100","2021-04-25T10:02:16Z",29,17,12,"af8badc8cb0403e74aab3b42572562e8c7302f66"
"Javierelmasblanco","2021-04-18T17:04:41Z",2,1,1,"c9303b67391ff30b996a6ae28875585115684479"
"Javierelmasblanco","2021-04-18T17:04:15Z",115,114,1,"bab9d8bc914e4fdcab3e9eab3200a8601a032290"
"Javierelmasblanco","2021-04-18T16:13:14Z",1,1,0,"de85899fa387cd6661910f855da9f7e7215e1a83"
"Javierelmasblanco","2021-04-14T15:10:50Z",20,13,7,"a6e74cb23f8339e51cc2e3918da15ce37761b915"
"github-classroom[bot]","2021-04-14T15:07:07Z",737,737,0,"721f3e4ef2669bb08002f21e3af4bd23bd5eb2de"
