"name","date","total","additions","deletions","sha"
"Diego105","2021-05-29T00:12:08Z",180,180,0,"576b94775503d56cc1977dfbbc014257b4406055"
"Diego105","2021-05-28T23:36:57Z",706,706,0,"d4d60587b5770cb393ed33e128ba88b24907d9d3"
"adnantalib3","2021-05-28T20:59:17Z",0,0,0,"8bcca0875a22101d071665fa233065ddfe9ef627"
"Diego105","2021-05-28T15:49:13Z",0,0,0,"35c310a0abe990d8e64eb613a0c2ced51a53d33f"
"Diego105","2021-05-28T15:48:39Z",0,0,0,"01232128b1aa007f7808a3106f5b9c985ce56d1e"
"Diego105","2021-05-28T15:47:45Z",0,0,0,"a75ca03815a5835e9fd46abdd0c72bc920bfd4da"
"Diego105","2021-05-28T15:47:33Z",0,0,0,"a3786748a34f983b60180854579d86c9ec207631"
"Diego105","2021-05-28T15:45:11Z",0,0,0,"1ceb5f0aef92dcd5c062d599b2691cfa5478d4fe"
"Diego105","2021-05-27T11:59:11Z",0,0,0,"7e98301e10f25aaa72ee6d30354b45198115fb9a"
"Diego105","2021-05-27T10:05:54Z",0,0,0,"fdfd51d4ba69051127bb39ffac693349e35b2efa"
"Diego105","2021-05-27T10:05:40Z",0,0,0,"f6a30e3501d9b4de8421dc97860e69e536a44f63"
"Diego105","2021-05-27T10:04:19Z",1,0,1,"3e547c243a656b5f477d12568269cde01ba9919b"
"Diego105","2021-05-27T10:04:01Z",1,1,0,"3fede93256c4d2ae5d12539702d559f00eebe5df"
"Diego105","2021-05-27T10:00:19Z",0,0,0,"feb5be0367a2bff5375c60aeb3c8563af20e8519"
"Diego105","2021-05-27T10:00:09Z",0,0,0,"91d8a081e865a512cda9d03020f471822f4dc5a2"
"Diego105","2021-05-27T09:59:38Z",0,0,0,"ad9233e9fbd19fba0d5f1b63937118b5c60e4745"
"Diego105","2021-05-27T09:59:32Z",0,0,0,"d31e5f4c0ddb48bb6965b0e6fd53749a063f48b4"
"Diego105","2021-05-27T09:59:25Z",0,0,0,"511f19abb798874bf30c65d7f3e3fc26ece58cfd"
"Diego105","2021-05-27T09:59:18Z",0,0,0,"e04dbd683772acc7d0b2154d9fbbd41d4fce952f"
"Diego105","2021-05-27T09:59:10Z",0,0,0,"b622b0b3805ca5a5d2f84c69192b93bc56d69a50"
"Diego105","2021-05-27T09:59:04Z",0,0,0,"a3260a900df6d7e57468d9013d81f23654f18eb0"
"Diego105","2021-05-27T09:58:58Z",0,0,0,"34a1e6ae42758d492071b2b397ab2be1628352d9"
"Diego105","2021-05-27T09:58:52Z",0,0,0,"def7943c262ac2acfbf52a25284dfe7698f3e987"
"Diego105","2021-05-27T09:58:46Z",0,0,0,"41d4c89f149e1b974cac9d7a9f1415ef856786db"
"Diego105","2021-05-27T09:58:40Z",0,0,0,"b9489fd41b6897af610382b2c9199fb52c6f134e"
"Diego105","2021-05-27T09:58:34Z",0,0,0,"3f03480d5865ca78924d327b0bf392b291fd5bf8"
"Diego105","2021-05-27T09:58:28Z",0,0,0,"52ff12df8e44efd0d69d774a48af4603d001091c"
"Diego105","2021-05-27T09:58:21Z",0,0,0,"9d9d64952b0160149d90ef1bdea3e8888d69c7c9"
"Diego105","2021-05-27T09:58:07Z",0,0,0,"56d9285a1ef720eec9c28294a2c6a9e9a2febc58"
"Diego105","2021-05-27T09:57:55Z",0,0,0,"07a9260cabd9b311c20d7457fb3ce1567f3c7096"
"Diego105","2021-05-27T09:57:42Z",0,0,0,"265cf7d93dbeb57234331dc75daec41cacb5a37b"
"Diego105","2021-05-27T09:52:05Z",1,0,1,"e96b2794f47f3bcbd3b304182840e09d7df655ce"
"Diego105","2021-05-27T09:51:41Z",1,1,0,"d1c8534d1b6d777c1d779902727436fd2bfb42ca"
"Diego105","2021-05-27T09:50:43Z",1,1,0,"0780a11b5be735073e1dd113a7d2a33d16794927"
"Diego105","2021-05-21T08:08:54Z",0,0,0,"80ac3bb63639f63b14fa1683907796e1eafd0672"
"Diego105","2021-05-21T08:08:34Z",0,0,0,"32bd15982009d6c2472818d449d9c82d5f437b56"
"Diego105","2021-05-21T08:08:03Z",0,0,0,"e124d11338e608e45237e4a123df49428eca521d"
"Diego105","2021-04-17T09:44:38Z",70,70,0,"253295a1a12c36602ce188d8ede353991516d5ff"
"Diego105","2021-03-22T19:42:48Z",1,1,0,"02b608d98085f41b39722a5810b280deff15aeaf"
"Diego105","2021-03-22T19:42:36Z",1,1,0,"37f8d186d275327bfa8a2e7aca836a7616dccbf1"
"adnantalib3","2021-03-22T17:43:23Z",3,1,2,"2e6c9258fe337f045a362fc2ab1990025a4a8f8f"
"adnantalib3","2021-03-22T17:42:17Z",13,9,4,"42a4e4b1d9143ca76be0fd6e9c740c6f0ec593fe"
"github-classroom[bot]","2021-03-22T17:38:55Z",737,737,0,"3bdc4e9fec27638a58f984e4ca50d3beb894dc44"
