"name","date","total","additions","deletions","sha"
"MrBotKa","2021-05-27T18:04:24Z",2,1,1,"27e0fdb18f05b12b9f016801de953320062cd8a6"
"MrBotKa","2021-05-27T18:03:17Z",2,1,1,"e90345517fbc1515cf2a0e4a35d63ca9a1b1fdca"
"LordDementus","2021-05-27T17:56:23Z",0,0,0,"911681e1a69935d6e156d1b2db445a1b7015c914"
"LordDementus","2021-05-27T17:48:24Z",0,0,0,"ac1290a67a4b4982f04405a7d4953c1463706a49"
"MrBotKa","2021-05-27T17:35:57Z",8,4,4,"5a516038542ea3fd4a911e0f96959ccde6adf5a9"
"MrBotKa","2021-05-27T17:30:09Z",8,4,4,"1cf91479ff7b7f812146d60f110110e818f705e9"
"MrBotKa","2021-05-27T16:27:49Z",2,1,1,"46341410b19488c942b53f067a13e629c0a3aeea"
"MrBotKa","2021-05-27T16:27:04Z",2,2,0,"4468f48a3003b04354e915395793ef385c950508"
"MrBotKa","2021-05-27T16:25:22Z",2,1,1,"5712b79f75e5874256c00d16c6d9b8d19a963b56"
"LordDementus","2021-05-27T16:20:42Z",0,0,0,"34f7c58c8986a1b29c7493e45fb835e1d056b006"
"LordDementus","2021-05-27T16:20:27Z",0,0,0,"b04673dc8272efe688844282d7f8e4cd33448c6e"
"LordDementus","2021-05-27T16:20:15Z",0,0,0,"c4cccef730ffff853bd9ffa8a859a8b23986e25e"
"LordDementus","2021-05-27T16:19:51Z",0,0,0,"36e7aff877e9afe1e88b5393fefa322eb4120310"
"LordDementus","2021-05-27T16:19:34Z",0,0,0,"11f7fd1077dcddd497c13e56b622465f828b256d"
"LordDementus","2021-05-27T16:19:13Z",0,0,0,"c7b9dc5f26a9619637421ccdaf0e5e39f8bd6d68"
"LordDementus","2021-05-27T16:18:59Z",0,0,0,"c9e9ce8da3fa93dac3b3fa18c316d2a3278fce0c"
"LordDementus","2021-05-27T16:18:35Z",0,0,0,"5e2a5c8300893d9e613c0932b8994a22960d3d37"
"LordDementus","2021-05-27T16:17:59Z",0,0,0,"c1b233790e9c766053cae2e102483cdf7fd6afb2"
"MrBotKa","2021-05-27T15:56:08Z",2,1,1,"2219b3e6b7b6f323c5a012ae93205a7710e1c856"
"LordDementus","2021-05-27T15:47:55Z",0,0,0,"ceb23018fa3424c26dc0d60dfb3733e8d12a7253"
"MrBotKa","2021-05-27T15:41:16Z",16,8,8,"3f8e6f66b63653be042a2ef1aa5c0d6d41e77428"
"MrBotKa","2021-05-27T15:36:53Z",16,14,2,"2322d072f3fe2e0863215a6aee0ed09ac95cfb5d"
"MrBotKa","2021-05-27T15:31:09Z",4,2,2,"09448e5ac9328c1652b2c8ba417a5332616f5bf6"
"MrBotKa","2021-05-27T15:28:23Z",184,92,92,"88cd15385cb46f1f6dd33f381b101d967d2d7858"
"MrBotKa","2021-05-27T15:10:30Z",62,53,9,"28b8e6bdbde91c596022cc820fdb32d69f9799e6"
"LordDementus","2021-05-27T14:57:54Z",0,0,0,"ad2c94228e91990d8f75580aa0ed46fd1b6764bc"
"LordDementus","2021-05-27T14:55:29Z",0,0,0,"a1d2e799ec5b128bdaf3946ccde3b94c0ea43865"
"LordDementus","2021-05-26T12:28:53Z",0,0,0,"17e101d975355603164ea189994b37b5e7ab24e3"
"MrBotKa","2021-05-26T11:22:58Z",2,1,1,"b8537bf40bef151345158f1c6a95ca3726450ae1"
"MrBotKa","2021-05-26T11:20:30Z",10,5,5,"4bf40ae14d03f1015b2919f084a47dd91bda0f34"
"ManuelTaboada","2021-05-26T10:46:21Z",300,300,0,"90abb43280bcf428bdf17dcabee2ffac7fb08ca2"
"ManuelTaboada","2021-05-26T10:40:59Z",222,209,13,"ca6ffddea447233a57c067978e91ed2c92b111cc"
"MrBotKa","2021-05-26T08:03:45Z",4,2,2,"444c62f0efa38c487a50807c41ea951f8b83b26b"
"MrBotKa","2021-05-26T07:58:10Z",2,1,1,"9c120450e601cf1ee1af776980ed00035486c356"
"ManuelTaboada","2021-05-03T16:15:29Z",5,5,0,"efe878a07861eb7827dfcdb95c8d74334878f760"
"ManuelTaboada","2021-05-03T15:46:17Z",3,2,1,"7a5c390776eaf0efa07131c1a18af88d654343ed"
"ManuelTaboada","2021-05-03T15:43:47Z",7,7,0,"4faa59beb656cb96d2031db0ad96e05f7802277f"
"ManuelTaboada","2021-05-03T15:43:07Z",1,1,0,"40698a429d691bc6254164c2925e87334eb48ea9"
"ManuelTaboada","2021-05-03T15:42:34Z",13,7,6,"3e6af1f17cde2f26e3583d1d2b9682d9131c73e2"
"ManuelTaboada","2021-05-03T15:33:13Z",4,2,2,"0a78c8de83e1d0047a5439d6b2abd1ec3410a5fc"
"github-classroom[bot]","2021-05-03T15:20:32Z",737,737,0,"8b655f0c59bc8d48b6f1096fd08890fcd08650b6"
