"name","date","total","additions","deletions","sha"
"jes550","2021-05-28T20:46:56Z",0,0,0,"fcc557d2a377cd6e2133c2632bda4827845643b5"
"jes550","2021-05-28T20:09:23Z",0,0,0,"be8f09a4d80fc44f3845bb46eb73ae9dbd071ff4"
"Diegosillero","2021-05-21T09:25:06Z",6,3,3,"6f093cd3fbb28276027370e33aed3f57073ba2ce"
"Diegosillero","2021-05-21T09:24:55Z",6,3,3,"c96f913c792c24b3a9a4099c32efa645a448c6cb"
"Diegosillero","2021-05-21T09:18:35Z",6,3,3,"f9a41293942c74524d33596c461d2ec23c73b902"
"Diegosillero","2021-05-21T09:18:22Z",2,0,2,"bd9a46b700b5ac7f7865ecd300d1a68927b7d728"
"MartinNieto","2021-05-21T09:14:10Z",6,3,3,"49e56c26ba1cdeff04c8faec30081812642c6bcc"
"Diegosillero","2021-05-21T09:00:10Z",3,2,1,"126738d572db00838324fb7d70d2f6ab37458e71"
"MartinNieto","2021-05-21T08:56:22Z",8,5,3,"315c2dad90ff6db5ff1428497f87c0288db55306"
"Diegosillero","2021-05-21T08:52:34Z",2,1,1,"fcbd2c81ab216ead802dbf2d11c1d1f7f4ad59b3"
"MartinNieto","2021-05-21T08:49:22Z",26,14,12,"84dd20e9599036d3e2284ea34ff27d642afa643c"
"MartinNieto","2021-05-21T08:48:41Z",1,0,1,"17eee0c65a31c5baf30123a4131f6717af4925a8"
"MartinNieto","2021-05-21T08:48:37Z",1,1,0,"b62a7fc3bb8419fbee2e0ceb6a8c4eb29e7861f0"
"MartinNieto","2021-05-21T08:48:28Z",1,0,1,"223a50e1d8349f52299064d9be450f34e80e0911"
"MartinNieto","2021-05-21T08:46:41Z",1,1,0,"7ffcfc12cad6e59c4e7ba5a6ee0d98de448400f1"
"MartinNieto","2021-05-21T08:46:37Z",1,1,0,"177c4207314f65a16f18a1083b61fcf26baf8368"
"MartinNieto","2021-05-21T08:45:05Z",12,7,5,"bd02bd95b6a47e34ed3b7565301233764ed28010"
"Diegosillero","2021-05-19T10:14:44Z",0,0,0,"790b3ac4e44b2d33cb93626546c344dd7f1d49fa"
"Diegosillero","2021-05-05T15:28:00Z",1,1,0,"d0c2800d2bffb1bd3160a55ab15f85532e989b21"
"MartinNieto","2021-05-05T15:25:34Z",175,160,15,"38c9c7204b856f646d3bd1a7bab5cf2276169f33"
"Diegosillero","2021-05-05T15:21:17Z",2,1,1,"32cfe6ce4abcb11b990790936ab391fc4a512892"
"Diegosillero","2021-05-05T15:20:00Z",12,8,4,"a4711caeb209f485ba47efab4d61e096a9fd91d7"
"MartinNieto","2021-05-05T15:05:18Z",174,159,15,"c96a2d96bf02e63a4823c1cfbd5755aeccfd990e"
"jes550","2021-04-16T17:25:32Z",132,129,3,"13708a549279fc1164d4261f55263a322eb76eea"
"MartinNieto","2021-03-24T11:10:03Z",0,0,0,"0117c9047f71aac21ba013a91e8af053027a7df5"
"Diegosillero","2021-03-23T13:32:10Z",83,83,0,"01e75f5b7f18a8fb8c5e9c6f464c87bee606aba6"
"MartinNieto","2021-03-22T12:08:55Z",1,0,1,"77b13d912f87a8655e4ac11daa78a3e875545e5f"
"MartinNieto","2021-03-22T12:08:22Z",1,1,0,"449ddd05cf488970be7796e739aa17e51ea9cdc1"
"MartinNieto","2021-03-16T10:40:33Z",2,1,1,"9a211693282731806d300fb09dda8ec8c2fa1fe6"
"Diegosillero","2021-03-16T09:57:38Z",8,5,3,"4d849e8d370768d50b726a5d5b1333fcc48cacc1"
"github-classroom[bot]","2021-03-14T18:32:29Z",737,737,0,"d5987a8c3819eb4af18030c7d59bea2f6a6949e6"
