"name","date","total","additions","deletions","sha"
"Kattyvasq","2021-05-28T09:16:34Z",26,13,13,"4cd8ff35910e0315076641a2b555668f090c409a"
"antonioporrashervella","2021-05-27T20:14:06Z",0,0,0,"ccf572862006b8e281b5577eb7b0ccbbf016612e"
"antonioporrashervella","2021-05-27T20:01:35Z",0,0,0,"94a0dbd9c0b4daef45ba8e101ceef17ac0a42236"
"antonioporrashervella","2021-05-27T20:01:29Z",0,0,0,"9c8a39ee2f124c10d297a51cbc555b491af93041"
"antonioporrashervella","2021-05-27T20:01:17Z",0,0,0,"9965265dbe4f6997002854a611e471457ccac284"
"antonioporrashervella","2021-05-27T20:01:05Z",0,0,0,"5876364e04bc7aec2ab06f306886526052723ef9"
"antonioporrashervella","2021-05-27T20:00:49Z",1,0,1,"d0d765cf95de2b3cdffafbdf90bc12c99be7e842"
"antonioporrashervella","2021-05-27T20:00:38Z",0,0,0,"be97d1c558c281a7f4d3fd1453c98fcf867bcb3e"
"antonioporrashervella","2021-05-27T20:00:11Z",1,1,0,"7ebca5531365dede3dd25fcb9eebc0cf0c8fa8f8"
"antonioporrashervella","2021-05-27T19:58:52Z",1,0,1,"2aa10379b84f2ba1a56a501c678312a1a224fc1b"
"antonioporrashervella","2021-05-27T19:56:38Z",1,1,0,"99587693338d3774c1501ba71f0c13bfc8570e4f"
"antonioporrashervella","2021-05-27T19:55:50Z",1,0,1,"9db02e042faf750600f7b4d12f0377941b8c3507"
"antonioporrashervella","2021-05-27T19:54:09Z",1,1,0,"8f569a2aa26c18b53d9ec5843799e9a80c47af74"
"antonioporrashervella","2021-05-27T19:53:55Z",1,0,1,"131ba12286563b900c4b7602720cc61656998764"
"antonioporrashervella","2021-05-27T19:53:34Z",0,0,0,"e4a2b88501c327feaf950f83904b66f503f62b2b"
"antonioporrashervella","2021-05-27T19:48:11Z",1,0,1,"ace879d80faa303c777124c9462ef5c8ef070c52"
"antonioporrashervella","2021-05-27T19:47:17Z",1,1,0,"9ad5eec664900987fc040040bcf32d67b2efcd9b"
"Kattyvasq","2021-05-27T19:45:36Z",1,1,0,"626ed00d7312536b21c42347c29ec0cc82c525d9"
"antonioporrashervella","2021-05-27T19:37:16Z",0,0,0,"d5944d30f17b2d6fbe20b2ed0c8b95d62700d093"
"antonioporrashervella","2021-05-27T19:34:38Z",0,0,0,"e4c07deb972311c57781563e11fe94b42242079c"
"antonioporrashervella","2021-05-27T19:34:30Z",0,0,0,"58388637f8c3b8f80846b6a120ee9da659efc1f8"
"antonioporrashervella","2021-05-27T19:34:24Z",0,0,0,"5732db77dcef9bae2869feb41bea572c27f93db2"
"antonioporrashervella","2021-05-27T19:34:18Z",0,0,0,"001a074395f59475ce7bbb2152b7e488b32dc793"
"antonioporrashervella","2021-05-27T19:33:01Z",0,0,0,"33da9b50e5c7a1ca07ed26321c3eb28e083c688c"
"antonioporrashervella","2021-05-27T18:35:16Z",0,0,0,"9931e215747a7782e54c30582578a5ec5061ca19"
"antonioporrashervella","2021-05-27T18:35:02Z",0,0,0,"8cec3915fb4295ef7472cecac06ebd5f31af32fc"
"antonioporrashervella","2021-05-27T18:33:05Z",0,0,0,"b38e27996f259aaa17181675cd0a8dc8fe16ef07"
"antonioporrashervella","2021-05-27T18:31:47Z",0,0,0,"1834162835d2b00ce6fa6a9a3f3f6c3e07e85652"
"antonioporrashervella","2021-05-27T18:31:26Z",0,0,0,"f37738d17e3dc16e14534187191fae56aae9cf19"
"antonioporrashervella","2021-05-27T18:30:40Z",0,0,0,"54b1d2c4ff69360ff51beef733f4d3bd93da9b2b"
"Kattyvasq","2021-05-26T17:53:07Z",104,75,29,"60d65c5294b392c56ea910668af3f599f8e81c09"
"Kattyvasq","2021-05-26T09:02:52Z",26,0,26,"704a43f97ceadbf170600520c7503f7350e6bc2f"
"Kattyvasq","2021-05-26T09:01:35Z",11,0,11,"6235a27451b7ae2d25c4bc34325f309fa1864e6d"
"Kattyvasq","2021-05-26T09:01:25Z",63,0,63,"b43ce298640b5e1412d5d7b7ffdc49cccf4a929f"
"Kattyvasq","2021-05-26T09:01:20Z",53,0,53,"1d1b96f52c70edd1a85819fcb9a84360bf6b42cc"
"Kattyvasq","2021-05-26T09:01:10Z",21,0,21,"61ac2339e8346797bfd9d6081ffe110585b6942c"
"Kattyvasq","2021-05-26T08:56:59Z",309,309,0,"94d259aa15d4dd6c80a0ae86a5864d13e7ad7b70"
"Kattyvasq","2021-05-26T08:56:31Z",160,0,160,"6288ccbc59befb82cd6f68248b3f3e5b4abcabe2"
"antonioporrashervella","2021-05-25T16:38:11Z",39,10,29,"afef774e83f8e2267792b27ec27453cc85df3070"
"antonioporrashervella","2021-05-25T16:15:04Z",178,178,0,"a4c59e8018ae58f530ae73000002ea0d1a32ef6b"
"antonioporrashervella","2021-05-25T16:14:19Z",1,1,0,"e84172206e7b7cc561ece7b150cf11e4675a21dc"
"antonioporrashervella","2021-05-21T09:31:53Z",0,0,0,"fdbaecc9f97e59a50fa0a04ced0ba0b20b95c7e2"
"antonioporrashervella","2021-05-21T09:31:01Z",1,0,1,"a6ba38e28dcb0bbd49b7df6f421bbd9a703b917c"
"Kattyvasq","2021-05-21T09:04:36Z",11,11,0,"52862f018a86e25d1d8e127789c2ae3b8cfdcba8"
"Kattyvasq","2021-05-21T08:50:32Z",0,0,0,"2f36157e9b8fbe52bf22a7908b02d916bbf2837b"
"Kattyvasq","2021-05-21T08:47:37Z",20,0,20,"47681e5d4e16a3feb938589fba2649cb9321bc9f"
"Kattyvasq","2021-05-21T08:47:21Z",20,20,0,"fc2dffc9565ad195b54708a464762ce82bf71df8"
"Kattyvasq","2021-05-21T08:46:42Z",26,0,26,"95768cafd5e59a7e52f2478aef9e3fd3144ac835"
"Kattyvasq","2021-05-21T08:44:43Z",0,0,0,"981271a4a71b562a04e966c263e8aea677f8f7a7"
"Kattyvasq","2021-05-21T08:44:28Z",0,0,0,"c851d031e076f68120ec948103b94d7a8c2b1e6c"
"Kattyvasq","2021-05-21T08:44:00Z",10,10,0,"55620467c6950aa9b3410000d7ef701f94521a7c"
"Kattyvasq","2021-05-21T08:41:14Z",0,0,0,"523c0162a3b17116797512c8afb49af8c0862796"
"antonioporrashervella","2021-05-21T08:40:50Z",11,11,0,"dd95b95877d4f89e7f1e16f44ba1414cc33a6414"
"antonioporrashervella","2021-05-21T08:39:58Z",48,25,23,"73767015683fa15ba15a1eebc10282baebb74bae"
"antonioporrashervella","2021-05-21T08:36:38Z",7,1,6,"53fd49e3c51caf36fa0f4b4f24b9cbd5f7e05122"
"antonioporrashervella","2021-05-21T08:29:06Z",1,1,0,"9fe020ca7bc6a540121698744e3ccd4a3d3631ca"
"Kattyvasq","2021-05-21T08:19:23Z",46,46,0,"0a826d370961b37f40d8a30478f53ac08c9fde42"
"Kattyvasq","2021-05-21T08:18:25Z",33,33,0,"402596adc7570b831a5b53edae6e40503c28fb5b"
"Kattyvasq","2021-04-30T14:18:52Z",2,1,1,"622ad7f2cb6856b112ad6a18da542fdd572840ca"
"Kattyvasq","2021-04-30T14:18:21Z",21,21,0,"09391230d7cb6866fde2cdb2fa4fbca1b381a93d"
"antonioporrashervella","2021-04-17T10:00:07Z",45,45,0,"8571831ea8efa212f06c3ec982ee795ddbe5c1c8"
"Kattyvasq","2021-03-25T16:58:00Z",26,26,0,"9666257fb12662354ac6f032dd73c51b8cf0a2ab"
"antonioporrashervella","2021-03-17T10:34:15Z",4,2,2,"4b45176f7005d9b4c3edd2411bccf900c64c4e40"
"antonioporrashervella","2021-03-17T10:32:56Z",4,2,2,"47e2d8cea5d667974beaedf9aaae8007f969a0c2"
"github-classroom[bot]","2021-03-17T10:29:25Z",737,737,0,"ef6c2d2bc5b1fe59e8e69b5961293db1e62dd884"
