"name","date","total","additions","deletions","sha"
"alejandrogomez27","2021-05-28T16:30:20Z",0,0,0,"fef6cbc5b9c6e4b06b9649bb8a85a15a08bd3e06"
"alejandrogomez27","2021-05-28T16:01:51Z",0,0,0,"528457e7d9fe5b7ccd622ba313a176a8244cd706"
"alejandrogomez27","2021-05-28T16:01:32Z",0,0,0,"393f3469f67454b5c7ece7ebca33a6a3931fbb8e"
"alejandrogomez27","2021-05-28T15:35:23Z",0,0,0,"5a7b2c0fa03925f67090ca2db4d71f54d4f6ae3e"
"alejandrogomez27","2021-05-28T15:35:17Z",0,0,0,"d7f14641f2487f109c33016cbad81d54e68525c3"
"alejandrogomez27","2021-05-28T15:35:12Z",0,0,0,"b016878a7e4155ca03388e761a59415bb95c300c"
"alejandrogomez27","2021-05-28T15:35:05Z",0,0,0,"844247e414292c697309a2f404eba9427f7e1e12"
"alejandrogomez27","2021-05-28T15:34:59Z",0,0,0,"e8bab7ad1c14c95a1320d89021487c71fa7935d3"
"alejandrogomez27","2021-05-28T15:34:53Z",0,0,0,"d1cce75cc79dbcfaa821f364df7ba858d05ca12a"
"alejandrogomez27","2021-05-28T15:34:47Z",0,0,0,"968d694fdc2937f8fee304cdaaa959e76da90f32"
"alejandrogomez27","2021-05-28T15:34:37Z",0,0,0,"77c53fc02ed0fa3bb6d9463773e693446ca7e6a0"
"alejandrogomez27","2021-05-28T15:34:31Z",0,0,0,"23cea6b4a9589096c5d36ac14044d78bd1a05ed3"
"alejandrogomez27","2021-05-28T15:34:26Z",0,0,0,"914f489805388da073847dd20886cc92efee0626"
"alejandrogomez27","2021-05-28T15:34:19Z",0,0,0,"58ba979dbf0b3e81088d00d0226428cd38843332"
"alejandrogomez27","2021-05-28T15:34:06Z",0,0,0,"51247aedadff27db73a6de1f0772e790e665585b"
"alejandrogomez27","2021-05-28T15:32:49Z",0,0,0,"324b01fc33f1a0316fc2428e070b13922376e460"
"alejandrogomez27","2021-05-28T15:31:09Z",0,0,0,"a58b4d4e62c1f51e5dd5dbaeabdc588ff4ea17d0"
"alejandrogomez27","2021-05-28T15:12:30Z",0,0,0,"5885806d8fb4a2dadd4b283a4392e5e0768d3f9e"
"alejandrogomez27","2021-05-27T18:51:36Z",311,0,311,"02cce4204130c7af03d994518ab78a0e0e993598"
"alejandrogomez27","2021-05-27T18:51:13Z",304,304,0,"f19a32f24b1bdf1df855cd6912e818ce8b5de9d3"
"zhiqinHU","2021-05-27T18:49:58Z",1,0,1,"b7072f59bdf2d5ea1748d55ba2baaf58f226db4f"
"zhiqinHU","2021-05-27T18:49:55Z",1,0,1,"63ca8cc926dedcfa34053216ea754806710fb9fc"
"alejandrogomez27","2021-05-27T18:48:31Z",1,0,1,"fe4b3b3d4a2a63d9a4de861a0ebefd3234e822fd"
"alejandrogomez27","2021-05-27T18:47:16Z",0,0,0,"5eaef184c86cdc9fa3f04201099212b515e3b28c"
"zhiqinHU","2021-05-27T18:41:37Z",0,0,0,"4a766fdcb0bbd1162302b0fe67ccf91d68eb171f"
"zhiqinHU","2021-05-27T18:35:27Z",0,0,0,"ac361ea987f202de1f21cb881c9d60b628e5cb73"
"zhiqinHU","2021-05-27T18:34:45Z",0,0,0,"1507ebbada8c0d1b250890dd47ddcd72a1f371e7"
"Moiseees","2021-05-27T17:27:18Z",107,0,107,"01f544cec6dddf3df7159f85afabd130b736e217"
"Moiseees","2021-05-27T17:27:09Z",272,0,272,"f9832433340033b05bc1cfaeece61df2d147624b"
"alejandrogomez27","2021-05-27T17:20:50Z",1,0,1,"7f61d3a1cebf78687628fcf3dc17f7fae4ba0bca"
"alejandrogomez27","2021-05-27T17:19:07Z",612,612,0,"cdc855ed241338f1eb71d76e0fc0e08a4a8955e3"
"Moiseees","2021-05-27T17:07:09Z",55,0,55,"03c10261f017cb6e83ca11c2eb1ea2b45b988aa1"
"zhiqinHU","2021-05-27T16:30:02Z",305,296,9,"a77dcd5e187d305c3817dd35ea3e3ea09c5e32bd"
"zhiqinHU","2021-05-27T15:18:25Z",2,1,1,"b19705adc5de0db8c70be8f6bc82b27595d045bd"
"zhiqinHU","2021-05-26T16:15:29Z",266,266,0,"b94d10faf12cfe0b7ba68bc4d36156841c87b295"
"zhiqinHU","2021-05-26T16:14:32Z",1,1,0,"bb38d869e913e1508f4e91b6df1fc829d806d9eb"
"zhiqinHU","2021-05-26T10:16:26Z",1,0,1,"af6b334ad89c652d560a7be05273b5eaf5844c82"
"Moiseees","2021-05-26T09:52:07Z",107,107,0,"8256cbd452eb53f263560f0a26730a3590d566a9"
"Moiseees","2021-05-26T09:51:25Z",107,0,107,"1ba639c0b8c6dedad0ae54bfd1d938221673023b"
"Moiseees","2021-05-26T09:50:44Z",107,107,0,"8bd142fe055b64ad0783c6f39ac3bd0aa166b00c"
"zhiqinHU","2021-05-26T09:02:21Z",7,4,3,"b3b2dc2d0c8faa9cfb5cc2c04bf999cfc2848c67"
"zhiqinHU","2021-05-26T08:58:28Z",0,0,0,"45e75338b462c421221cd4c98aab4abf5ca43e9c"
"zhiqinHU","2021-05-25T13:55:24Z",272,272,0,"c2b16ce09f47f1d875cacf8d62728399a325758d"
"zhiqinHU","2021-05-25T13:54:14Z",0,0,0,"bd1b3745a3bd74e529e0342ac5f43804565a8344"
"zhiqinHU","2021-05-25T13:49:59Z",609,0,609,"699d6f294600add73c32b523c7858be527b3fbf8"
"zhiqinHU","2021-05-25T13:48:34Z",8,4,4,"68114acd4ff9ed882f17ef8d343ed11ec4b29c21"
"zhiqinHU","2021-05-21T14:24:46Z",609,609,0,"323c95d10509c70d329a84aa0a83402509e7765e"
"alejandrogomez27","2021-05-21T09:21:51Z",33,15,18,"595f90ebef8186d54473158bd7c4e9b12fdc9a54"
"alejandrogomez27","2021-05-21T08:43:28Z",0,0,0,"bd3dee8e61c6d7c3d712ae7abba23532d75f0041"
"alejandrogomez27","2021-05-21T08:13:02Z",424,0,424,"563d04d5e9d40ba0211c71dd7a16b3dbdcea0819"
"alejandrogomez27","2021-05-21T08:11:42Z",38,8,30,"2cd133dc5dd63616e9477f744a40cccfdfb3a96c"
"alejandrogomez27","2021-05-15T18:25:34Z",4,2,2,"a54e2b8aa31eff9bd253a66ba18514cfa5a04c04"
"alejandrogomez27","2021-05-15T18:23:34Z",424,424,0,"8859583e15389e536e94f002db590a873d638a12"
"alejandrogomez27","2021-03-25T22:33:19Z",80,80,0,"5078f3be3b57a0b501c990dc865fd44f14c8c549"
"alejandrogomez27","2021-03-16T18:48:30Z",4,2,2,"82447b390421c4c08e1cfd851f05e5585043d8d1"
"alejandrogomez27","2021-03-16T18:47:53Z",19,13,6,"138e969821753b78858358b8978b8bc372553dac"
"github-classroom[bot]","2021-03-16T18:01:07Z",737,737,0,"91fe3a71cfedbf5da1f26372bcd3dcd4dd39e693"
