"name","date","total","additions","deletions","sha"
"davidmolano25","2021-05-26T10:54:55Z",0,0,0,"05715f01a1adc83e896e1a24dbdc1348ee7161f8"
"davidmolano25","2021-05-26T10:19:22Z",1,0,1,"3ba68c1af54ae4836f88aae4c907d30d60cbf9e9"
"davidmolano25","2021-05-26T10:18:42Z",1,1,0,"761de21aea82cdb2f9dd640fc733d5c7d18cf2cc"
"IkertxoGM","2021-05-25T17:10:40Z",97,73,24,"209931e86ae02560a4b3fda117e462b14ad686fa"
"IkertxoGM","2021-05-25T15:37:14Z",0,0,0,"aeee95d05f1bf4294ac415c71b25e59d9fe0defd"
"IkertxoGM","2021-05-21T09:17:58Z",5,4,1,"78937b33fa7291da38d1bb8fabb84820bbb97e23"
"IkertxoGM","2021-05-21T09:15:24Z",3,2,1,"34c17a648de3ae4cc63e62a2171713088ee70b05"
"IkertxoGM","2021-05-21T09:09:47Z",213,126,87,"fe0d22e6a9ed4ab11567b4c7f2ccb94537f36ae1"
"heeeectorito","2021-05-21T08:43:36Z",91,41,50,"540be3a3339ffbdc071967f322ec2638079836b7"
"heeeectorito","2021-05-20T11:20:03Z",75,71,4,"2ad669233a0fc878ae0a56f9172e36364676efaf"
"IkertxoGM","2021-05-20T11:05:56Z",118,118,0,"29530fecee995d36d3ceec9966008d04d5ecc8ea"
"IkertxoGM","2021-05-20T11:04:49Z",533,481,52,"53c66e18408faec568c185d59eda224bf2b46207"
"IkertxoGM","2021-05-19T10:08:17Z",7,7,0,"8e9fd1bbdf542a0ec60ffb5e40c0077751c29204"
"IkertxoGM","2021-05-19T10:03:46Z",96,55,41,"9ab319d715df6f2082715533bc64b79ebe760fce"
"IkertxoGM","2021-04-17T10:27:50Z",11,11,0,"2ec473dd1ee87abf8d9a4a16c7b6aad1c2ed48af"
"IkertxoGM","2021-04-17T10:25:14Z",137,135,2,"b736ab0a669ce376f70c43c1bbef454e902c3003"
"davidmolano25","2021-03-23T18:14:43Z",2,1,1,"4fcc27cfeec50d7a9ec90706b9a0cb0d5d8bbb41"
"davidmolano25","2021-03-23T18:08:39Z",27,13,14,"9633688ac25b911279d5bfd9f59011e34644f399"
"davidmolano25","2021-03-23T18:06:13Z",48,48,0,"88b7b465e172b99ea9a65507ebedbb38241e7cc0"
"davidmolano25","2021-03-15T15:46:41Z",6,3,3,"81ff29a0e4a92c3615178ef9c8c246c48590053c"
"davidmolano25","2021-03-15T15:45:40Z",4,2,2,"685df9471dca60aff46ab62bdcd019251e991aea"
"davidmolano25","2021-03-15T15:44:44Z",8,5,3,"6d90ba7e3a49e90861b44fdf0715d853272ffb03"
"github-classroom[bot]","2021-03-12T10:21:35Z",737,737,0,"09fb560cf8362118cbfab840af69c05713991fcf"
