"name","date","total","additions","deletions","sha"
"Samuuu-r","2021-05-27T21:55:23Z",0,0,0,"1f29e8299df9cc8c5af9b5905036a027ea47870f"
"Samuuu-r","2021-05-27T21:36:56Z",0,0,0,"d2bdb7027970fc349fcee72e3e934dd47f6f7f57"
"Samuuu-r","2021-05-27T21:31:27Z",0,0,0,"3df5e2c7fcb24d5f9bb0be90de6d1ad2327037e5"
"Samuuu-r","2021-05-27T21:24:51Z",0,0,0,"99f273c5b17f36225135facd381477e2afa212aa"
"Samuuu-r","2021-05-26T08:42:24Z",1,1,0,"d3eb38e34131398ef238cf2c177b6a4ee0197237"
"Samuuu-r","2021-05-23T17:04:14Z",7,4,3,"f75d2f0ba92d1f72df85816fa2e0f2b5770eaa5e"
"Samuuu-r","2021-05-21T13:42:11Z",2,2,0,"8a0a958ee90fcdd1bd5435152dcdff30f5c3ac4f"
"Samuuu-r","2021-05-20T19:32:22Z",5,3,2,"92293db44862780ea1bedd6a9ddf7a4ada6a7165"
"Samuuu-r","2021-05-20T19:14:00Z",643,643,0,"213c9cc8bbe217b891acbbbcf30f155aa84dc55f"
"manuelpenazambrano","2021-03-17T13:15:45Z",2,1,1,"7a75e6f64a2929f411f481e23b1f6ef7c8da57e7"
"Samuuu-r","2021-03-17T08:24:00Z",8,5,3,"2e3b308ecf59b2b40fa68dc227fca50c64c178f0"
"ismaelsaiz","2021-03-16T22:46:52Z",6,3,3,"284c049130dbc48b3f23c1c02ca644afc96f539b"
"github-classroom[bot]","2021-03-16T22:35:42Z",737,737,0,"1c268a7fcdf5f0b495aba1603ad411b0886a1aab"
