"name","date","total","additions","deletions","sha"
"susanaramos02","2021-05-28T21:41:16Z",2,1,1,"7462a7982211de747757beb3fff4494bd26887cd"
"susanaramos02","2021-05-28T21:34:30Z",184,92,92,"0c5acfec7a01d8cf8154aad61717c31989e17b6a"
"darlennev","2021-05-28T21:25:05Z",4,2,2,"11a4c8193af30fa1e693c5cf986be1d43cba04fa"
"darlennev","2021-05-28T20:47:33Z",39,29,10,"c94e13baa8c03f4d2cd3775ef0233e194b456e45"
"susanaramos02","2021-05-28T15:47:22Z",0,0,0,"5cf4b2fdd52ae1300e443a77a4cf9955ce84b80a"
"susanaramos02","2021-05-28T15:46:16Z",0,0,0,"f79ae2d0d29ef5ace75a00a74bfae0fa6e738cc5"
"susanaramos02","2021-05-28T15:45:20Z",0,0,0,"1eb01a8e1765157d94dcc3ce557cddc79fe54d47"
"susanaramos02","2021-05-28T15:45:11Z",0,0,0,"41b189d54ef8ebb10c70f27538c26bd71a4b2331"
"susanaramos02","2021-05-28T15:43:53Z",0,0,0,"b80c68b2446bb26d34319e8702658ba3a3135f12"
"susanaramos02","2021-05-28T15:42:37Z",0,0,0,"e7f47ae163c0e6d0b1c46e16b028fd570b31677a"
"darlennev","2021-05-21T19:13:58Z",0,0,0,"eb0ffb2873cf2a6f132ec8c4d679e11cf61f0a20"
"susanaramos02","2021-05-14T12:22:56Z",2,1,1,"cb9a0f32b28a0a3bf1573933ca98e40de273279f"
"susanaramos02","2021-05-14T12:22:35Z",6,6,0,"422f2b4773e2560794f72a469d50f84ddfac64f5"
"susanaramos02","2021-05-14T12:21:54Z",142,137,5,"d509aab9384449a0c031fadfb572756db918a60f"
"susanaramos02","2021-04-30T12:32:04Z",6,4,2,"aba499d8b1be754e5690040e885d8b83b3c79b85"
"susanaramos02","2021-04-30T12:27:57Z",107,54,53,"381a3b6bc64a9418d008b51d59c1194e44915d5a"
"susanaramos02","2021-04-30T10:06:07Z",107,63,44,"d0d8e9b3b2e695070aa575f41aae8034e2e69d4b"
"susanaramos02","2021-04-16T08:45:24Z",30,27,3,"9f0bdba3b662250067d661315450365e449a92b1"
"susanaramos02","2021-03-24T10:07:13Z",52,52,0,"933e01f1f713ec78ec1a637a9961e566b0395581"
"susanaramos02","2021-03-24T09:53:24Z",4,2,2,"37bc6dfc678721798990604a98a67323ebdda341"
"susanaramos02","2021-03-24T09:53:02Z",4,2,2,"5711c8d5fde6bdc793750d6f1432634cc6096512"
"darlennev","2021-03-17T12:45:20Z",4,2,2,"90fdead4540bc35ef69e37620b06ccf8721b4b4d"
"darlennev","2021-03-17T12:44:26Z",4,2,2,"de3911839f8f7a7f158de441ed2883dce2e35a9f"
"darlennev","2021-03-17T12:43:08Z",4,2,2,"381c1978ae2b0779cb3828e7185ee026210adb20"
"susanaramos02","2021-03-17T11:32:18Z",2,1,1,"a3517f3eb73f2b45baf4f5b31a6a993d8d61cf6e"
"susanaramos02","2021-03-17T11:31:28Z",8,5,3,"682da1e8b05b61a8e46df758d77ae094e5dbc566"
"github-classroom[bot]","2021-03-16T22:47:01Z",737,737,0,"094363254dfcdd08a4109dd990f46a97e66e37aa"
