"name","date"
VivaAsturiaas,2019-05-21T20:43:33Z
VivaAsturiaas,2019-05-21T20:42:21Z
VivaAsturiaas,2019-05-21T20:34:59Z
VivaAsturiaas,2019-05-21T20:34:51Z
VivaAsturiaas,2019-05-21T20:31:23Z
VivaAsturiaas,2019-05-21T20:25:22Z
VivaAsturiaas,2019-05-21T20:23:38Z
Maricrussi,2019-05-21T10:09:16Z
Maricrussi,2019-05-21T10:04:45Z
Maricrussi,2019-05-21T08:50:58Z
Maricrussi,2019-05-21T08:50:13Z
VivaAsturiaas,2019-05-21T08:39:24Z
VivaAsturiaas,2019-05-21T08:36:26Z
Maricrussi,2019-05-19T20:57:03Z
Maricrussi,2019-05-19T20:54:29Z
Maricrussi,2019-05-19T20:53:50Z
Maricrussi,2019-05-19T20:52:53Z
Maricrussi,2019-05-19T20:29:04Z
Maricrussi,2019-05-19T18:34:29Z
RitaLaCantaora,2019-03-21T18:08:45Z
RitaLaCantaora,2019-03-01T20:36:01Z
RitaLaCantaora,2019-03-01T20:34:43Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:33:17Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:03:06Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:00:11Z
