"name";"slug";"id";"nMembers";"members";"repo_name";"url"
".";"team";4610633;2;"victoraragonesp, Avalcarcelg";NA;NA
"21";"21";4598134;4;"estebanhenriquez, arturomm, AdriUpm, samuelpolo59";"twIE_2021-21";"https://github.com/aigora/twIE_2021-21"
"Ahorcado.";"ahorcado-1";4624944;3;"mballard02, silviaacc, ruuthdlf";"twIQ_2021-ahorcado-1";"https://github.com/aigora/twIQ_2021-ahorcado-1"
"Becarios";"becarios";3106678;4;"oscarperpinan, raquelcedazo, lquintanac, orgynmobs";"fundamentos_c";"https://github.com/aigora/fundamentos_c"
"Biblio_etsidi";"biblio_etsidi";4619538;1;"Rq2021";"twIQ_2021-biblio_etsidi";"https://github.com/aigora/twIQ_2021-biblio_etsidi"
"BLACKJACK";"blackjack";4610276;2;"albertolopezramos, JesusPachecoAlonso";"twIA_2021-blackjack";"https://github.com/aigora/twIA_2021-blackjack"
"BrazoROBOT-";"brazorobot";4611416;5;"davidpintollorente, JavierLerinAlonso, AlvaroLVillarroel, dinner123, tobiaskos";"twIA_2021-brazorobot";"https://github.com/aigora/twIA_2021-brazorobot"
"BuscadorDeHoteles";"buscadordehoteles";4621242;1;"anaboston";"twIQ_2021-buscadordehoteles";"https://github.com/aigora/twIQ_2021-buscadordehoteles"
"cafetsidi";"cafetsidi";4619331;3;"Joshgv25, solomiyahav, mcsirvent";"twIE_2021-cafetsidi";"https://github.com/aigora/twIE_2021-cafetsidi"
"Caja_fuerte";"caja_fuerte";4627201;4;"danieldelacruzredondo, cbravosa, David2Santos, raquelclementebastante";"twIA_2021-caja_fuerte";"https://github.com/aigora/twIA_2021-caja_fuerte"
"CarMap_Chikito";"carmap_chikito";4591954;6;"amelie-nader-prieto, luc-39, Fer014, echedey-luis-alvarez, luisrubio27, Celia-t22";"twIA_2021-carmap_chikito";"https://github.com/aigora/twIA_2021-carmap_chikito"
"Champions";"champions";4627567;3;"pcantin8, Danileganes06, Miragallas";"twIQ_2021-champions";"https://github.com/aigora/twIQ_2021-champions"
"CHKR_S.L.";"chkr_s-l";4588734;3;"Vegely, JuanNicolasJimenez, dcblasco";"twIE_2021-chkr_s-l";"https://github.com/aigora/twIE_2021-chkr_s-l"
"Code_Arcade";"code_arcade";4613114;3;"nicoascastrogarcia, oscararrigo, xrubenruizx";"twIE_2021-code_arcade";"https://github.com/aigora/twIE_2021-code_arcade"
"Conecta_4";"conecta_4";4593362;6;"eduardo-luque, lucia-phermosa, Gabriel-Rpascual, ismael45, JaviNico, Iris281";"twIA_2021-conecta_4";"https://github.com/aigora/twIA_2021-conecta_4"
"ConsultorioCFL";"consultoriocfl";4621325;3;"CeliaGonz, luciaalmendros, FaduaJaber";"twIQ_2021-consultoriocfl";"https://github.com/aigora/twIQ_2021-consultoriocfl"
"EDI.ts";"edi-ts";4609743;1;"iriax";"twIQ_2021-edi-ts";"https://github.com/aigora/twIQ_2021-edi-ts"
"El millón";"el-millon";4621319;3;"SolracZ21, Franganillo74, IgnacioBravo013";"twIE_2021-el-millon";"https://github.com/aigora/twIE_2021-el-millon"
"Epic_Quest";"epic_quest";4620298;3;"Edvardo87, SoyJaimeXD, listo2020";"twIQ_2021-epic_quest";"https://github.com/aigora/twIQ_2021-epic_quest"
"Fabrica_de_colorines";"fabrica_de_colorines";4627859;5;"andrianadovhanych, elenadiezdeantonio, SergioGH-byte, SantiagoGarCubCarr, remigg";"twIA_2021-fabrica_de_colorines";"https://github.com/aigora/twIA_2021-fabrica_de_colorines"
"FitnessHub";"fitnesshub";4631729;1;"JesusRinaldi";"twIQ_2021-fitnesshub";"https://github.com/aigora/twIQ_2021-fitnesshub"
"FruityLoopE";"fruityloope";4615558;4;"Dionicaballero, osamabouatman, alvarocamposupm, MihailDimitro";"twIE_2021-fruityloope";"https://github.com/aigora/twIE_2021-fruityloope"
"grupo banco";"grupo-banco";4611270;6;"jaime0010, Pedrooo8, AnaArroyo55130, Jorge-88, victorbarreralopez, pedrogallardolozano";"twIA_2021-grupo-banco";"https://github.com/aigora/twIA_2021-grupo-banco"
"HAZTE CON TODOS";"hazte-con-todos";4631763;3;"adrianlan79, ruben1000iq, Constan-14";"twIQ_2021-hazte-con-todos";"https://github.com/aigora/twIQ_2021-hazte-con-todos"
"Hundir_Laflota";"hundir_laflota";4607070;4;"Raul-Granadero, diegogzabalza, manuelguti99, mariogsc";"twIA_2021-hundir_laflota";"https://github.com/aigora/twIA_2021-hundir_laflota"
"IA projecto fabrica de colorines";"ia-projecto-fabrica-de-colorines";4621383;6;"andrianadovhanych, SaraAparicio22, elenadiezdeantonio, SergioGH-byte, SantiagoGarCubCarr, remigg";NA;NA
