"name";"id";"slug";"nMembers";"members";"group";"repo"
"Air_Hochey";5754119;"air_hochey";2;"almuperezzz, PatriciaPlazaRamos";"A109";"twA109_2122-air_hochey"
"Alarma";5752626;"alarma";2;"Srsanz, antoniogmontes";"A109";"twA109_2122-alarma"
"Barrera_Inteligente";5754147;"barrera_inteligente";2;"AlvaroRibalda, hugovigil";"A109";"twA109_2122-barrera_inteligente"
"Casa_inteligente";5742996;"casa_inteligente";3;"danielsimon-upm, l-rollon, lunasbaciero";"A109";"twA109_2122-casa_inteligente"
"CocheInteligente";5746571;"cocheinteligente";3;"nmurillo09, marcosrechi, javilxpez";"A109";"twA109_2122-cocheinteligente"
"Comedero_Inteligente";5752691;"comedero_inteligente";2;"mariosanchezt, javivaldees";"A109";"twA109_2122-comedero_inteligente"
"Control de Aforos";5717994;"control-de-aforos";2;"aitana-martinez, sofiatoledo";"A109";"twA109_2122-control_de_aforos"
"control de mascotas";5753978;"control-de-mascotas";3;"Jimenalopez02, juanignacio-martin, gmarianini";"A109";"twA109_2122-control-de-mascotas"
"Cuatro_en_raya";5769879;"cuatro_en_raya";2;"monicasacristans, dani-sato";"A109";"twA109_2122-cuatro_en_raya"
"Futuristic_car";5751945;"futuristic_car";3;"bitrix2003, DavidOM23, juliamagallares";"A109";"twA109_2122-futuristic_car"
"Galga_Extensometrica";5751550;"galga_extensometrica";3;"carlosmendozacarpintero, Cnbados55380, alejandro55393";"A109";"twA109_2122-galga_extensometrica"
"Highsecurity_alarm";5754272;"highsecurity_alarm";2;"ineslopez03, Carlota03";"A109";"twA109_2122-highsecurity_alarm"
"Incubadora";5758222;"incubadora";3;"jmunozm2, dimiveselinov, Brunotunstall";"A109";"twA109_2122-incubadora"
"Invernadero_inteligente";5750158;"invernadero_inteligente";3;"carolplaza, LuisVicenteGordon, Patriciopenalver";"A109";"twA109_2122-invernadero_inteligente"
"Juego_Ajedrez";5747574;"juego_ajedrez";3;"andresrosouto, luisrubio27, davidtorrero";"A109";"twA109_2122-juego_ajedrez"
"Juego_De_Precisión";5753825;"juego_de_precision";3;"DanielOlssonAndres, MatiasLopezViagel, Dmeendezz";"A109";"twA109_2122-control_de_reaccion"
"JUEGO_LUCES";5729099;"juego_luces";3;"amelie-nader-prieto, Celia-t22, QINGYUN-XU";"A109";"twA109_2122-juego_luces"
"Lector de tarjetas";5754826;"lector-de-tarjetas";3;"luc-39, manusanchezf, nataliarodriiguez";"A109";"twA109_2122-lector-de-tarjetas"
"Mezclador_bebidas";5743106;"mezclador_bebidas";3;"luciasdominguez, irenesantalices, jsepcar";"A109";"twA109_2122-mezclador_bebidas"
"Piano";5753783;"piano";3;"j-riveiro, JavierLerinAlonso, ammarmayor";"A109";"twA109_2122-piano"
"Registro_estudiantil";5752613;"registro_estudiantil";3;"jqviy, JA1Me23, ASB02";"A109";"twA109_2122-registro_estudiantil"
"Reloj_Digital";5732332;"reloj_digital";3;"zeqilin, lucia-phermosa, JaviNico";"A109";"twA109_2122-reloj_digital"
"Repartidor";5759221;"repartidor";1;"RodrigoRiosZapata";"A109";"twA109_2122-repartidor"
"SEMÁFOROS";5754715;"semaforos";3;"marta-sferrer, javiermonrio, yaacobtkach";"A109";"twA109_2122-semaforos"
"SENSORTEMPERATURA";5752429;"sensortemperatura";3;"AdrianPaiT, VictorMalumbres, Carlos-Martinez-Marcos";"A109";"twA109_2122-sensortemperatura"
"sensor_de_temperatura";5753957;"sensor_de_temperatura";3;"r-roca, iriatourino, inesrico";"A109";"twA109_2122-sensor_de_temperatura"
"Sistema de monitorización inteligente";5754257;"sistema-de-monitorizacion-inteligente";3;"DanielVazquezChuvieco, ManuelVallina, JaviSM03";"A109";"twA109_2122-sistema-de-monitorizacion-inteligente"
"Smart greenhouse";5754076;"smart-greenhouse";3;"Pablomunozmoreno, Osuuunaa, javierrjimenez";"A109";"twA109_2122-smart-greenhouse"
"Test_De_Reaccion";5756855;"test_de_reaccion";1;"PabloSanchz";"A109";"twA109_2122-test_de_reaccion"
