"name";"id";"slug";"nMembers";"members";"group";"repo"
"1NF0RM4T1C4";5834903;"1nf0rm4t1c4";3;"VictoriaLopezLorenzo, Macarenabfernandez, violetttttttt";"Q103";"twQ103_2122-1nf0rm4t1c4"
"3SC4P3";5807228;"3sc4p3";2;"valeeria15, arturobcas";"Q103";"twQ103_2122-3sc4p3"
"AFJ";5806772;"afj";1;"Adri100";"Q103";"twQ103_2122-afj"
"CONTROL Z";5802780;"control-z";3;"emermanu, carloscasete, Franciscojavier03";"Q103";"twQ103_2122-control-z"
"En algún lugar de la ETSIDI";5807322;"en-algun-lugar-de-la-etsidi";3;"celiavicente, ClaudiaAmbros, cachopito";"Q103";"twQ103_2122-en-algun-lugar-de-la-etsidi"
"erlenmeyer";5807211;"erlenmeyer";2;"darlennev, susanaramos02";"Q103";"twQ103_2122-erlenmeyer"
"Escaping the prison";5852343;"escaping-the-prison";2;"GonzaloGV13, SilviaHernandezCuerdas";"Q103";"twQ103_2122-escaping-the-prison"
"ILI";5848325;"ili";2;"isabelvega1, lauranbriz";"Q103";"twQ103_2122-ili"
"Incógnita";5803197;"incognita";4;"solpeena, javiersanmi, irenemercaderlopez, inesvarona";"Q103";"twQ103_2122-incognita"
"INFINITY_ITS";5792450;"infinity_its";3;"IreneRico, xs0fix, Teresa-CorralesTorresano";"Q103";"twQ103_2122-infinity_its"
"La Cámara Secreta";5792469;"la-camara-secreta";3;"pcantin8, Danileganes06, Miragallas";"Q103";"twQ103_2122-la-camara-secreta"
"Los-3";5807389;"los-3";3;"aaronnieto, MartinNieto, alfredosecades";"Q103";"twQ103_2122-los-3"
"MADRILEJOS F.C";5835626;"madrilejos-f-c";3;"alvarotornero, DiegoOrganero, alejandrorodriguez19";"Q103";"twQ103_2122-madrilejos-f-c"
"mai work";5806797;"mai-work";1;"alejandrogomez27";"Q103";"twQ103_2122-mai-work"
"ordago";5807267;"ordago";2;"silviaalfageme, claugmz";"Q103";"twQ103_2122-ordago"
"SAL";5803411;"sal";3;"santisanmartin, alanwinter14, leireemh";"Q103";"twQ103_2122-sal"
"Survival horror";5815800;"survival-horror";3;"heeeectorito, Marcoscg6, miriam-estebanb";"Q103";"twQ103_2122-survival-horror"
"The Black Widow";5795134;"the-black-widow";3;"BeaLightwood, EstrellaPola, mmezquidaf";"Q103";"twQ103_2122-the-black-widow"
"Wombat";5807225;"wombat";2;"miguelagueda1, Escobar-klk";"Q103";"twQ103_2122-wombat"
