"name";"id";"repo_name";"slug";"nMembers";"members"
"Alberto_Viktor";3140700;"twE100-alberto_viktor";"alberto_viktor";1;"albertosanchezperez"
"Arantxa_Alvaro_Tomas";3140703;"twE100-arantxa_alvaro_tomas";"arantxa_alvaro_tomas";3;"tllanomiro, mateos14, arantxagonzalez"
"BannerCM";3149275;"twE100-bannercm";"bannercm";1;"cmontejano"
"Central_ParKing";3150363;"twE100-central_parking";"central_parking";1;"Diegome"
"E-100_Proyecto_Morse";3140698;"twE100-e-100_proyecto_morse";"e-100_proyecto_morse";3;"jvrosillo, tomasherrerabach, PabloHer2000"
"E100_Eduardo_Mario_Moad";3140715;"twE100-e100_eduardo_mario_moad";"e100_eduardo_mario_moad";3;"eduardogomezg, moadhilaly, mgarciademarina"
"E100_ratón_gráfico";3140746;"twE100-e100_raton_grafico";"e100_raton_grafico";3;"helenapinestrosa, asiervicentes, fabiosanchezgarcia"
"Etor_Valeria_Carlos";3140704;"twE100-etor_valeria_carlos";"etor_valeria_carlos";3;"Sarael444, EtorGonzalezPerea, CarlosRdgzFunes"
"Gabriel_Pedro";3140706;"twE100-gabriel_pedro";"gabriel_pedro";1;"Gabrielperezcano"
"MANU_LUISLE_PACHUSKI";3140694;"twE100-manu_luisle_pachuski";"manu_luisle_pachuski";3;"luisleonde, manuelhh00, davidfernandezpascuchi"
"Marta_Jara_Julieta";3135733;"twE100-marta_jara_julieta";"marta_jara_julieta";2;"MartaVT, julietaguerrerov"
"Miki_Edu_Sergio";3140707;"twE100-miki_edu_sergio";"miki_edu_sergio";2;"miguelgtorralba, sergiosgsg"
"Raul_Adrián_ivan";3140722;"twE100-raul_adrian_ivan";"raul_adrian_ivan";1;"raulmolano"
"Roberto_Kike_Jorge";3140134;"twE100-roberto_kike_jorge";"roberto_kike_jorge";3;"rvhuerta, jmerchanteg2019, erg999"
"Team MID";3140702;"twE100-team-mid";"team-mid";3;"danielpiconm, zerepoicangi, marcosmondejar"
"Team_Ligue";3140968;"twE100-team_ligue";"team_ligue";1;"alejandrosanchom"
"TiendaSL";3140928;"twE100-tiendasl";"tiendasl";1;"guillemaru96"
"team_TIENDA_ZARRA";3140732;"twE100-team_tienda_zarra";"team_tienda_zarra";2;"Anniapgarcia, yaizamc"
"twE100-Jorge";3140709;"twE100-twe100-jorge";"twe100-jorge";1;"jgluque"
"twE100_Biblio";3151442;"twE100-twe100_biblio";"twe100_biblio";3;"oscario20, danielrodriguezescudero, mihaitasmetan"
"twE100_Ingenio_2019";3140737;"twE100-twe100_ingenio_2019";"twe100_ingenio_2019";3;"luiscobosgarcia1, dferrandezvega, sololumbreras"
